"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Tomato, State : Karnataka"
"Commodity : Tomato, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
10/12/2025,4.0,Tomato,2500.0,2500.0,2500.0
15/12/2025,4.4,Tomato,1500.0,5000.0,1500.0
22/12/2025,32.5,Tomato,1000.0,5000.0,1000.0
Market Name : Bangarpet APMC
01/12/2025,4.0,Tomato,2000.0,2700.0,2500.0
02/12/2025,2.2,Tomato,2000.0,2700.0,2500.0
03/12/2025,2.2,Tomato,2100.0,2500.0,2300.0
04/12/2025,2.5,Tomato,2000.0,2700.0,2500.0
05/12/2025,2.2,Tomato,2000.0,2700.0,2500.0
06/12/2025,0.7000000000000001,Tomato,2000.0,2700.0,2500.0
10/12/2025,2.5,Tomato,1000.0,2500.0,1500.0
15/12/2025,3.0,Tomato,1000.0,1500.0,1300.0
16/12/2025,2.2,Tomato,1000.0,1500.0,1300.0
17/12/2025,2.5,Tomato,1000.0,2000.0,1700.0
18/12/2025,2.5,Tomato,1000.0,2000.0,1700.0
19/12/2025,2.5,Tomato,1000.0,3000.0,1700.0
20/12/2025,2.2,Tomato,1000.0,2300.0,2000.0
22/12/2025,3.5,Tomato,1000.0,2300.0,2000.0
23/12/2025,2.2,Tomato,2000.0,2500.0,2300.0
24/12/2025,2.1,Tomato,1000.0,2500.0,2300.0
26/12/2025,2.1,Tomato,1500.0,2500.0,2000.0
29/12/2025,2.0,Tomato,1000.0,2500.0,2300.0
30/12/2025,2.0,Tomato,1000.0,3000.0,2000.0
31/12/2025,2.2,Tomato,1500.0,2500.0,2000.0
Market Name : Belgaum APMC
10/12/2025,45.0,Tomato,1500.0,3000.0,2000.0
11/12/2025,25.0,Tomato,900.0,1200.0,1000.0
20/12/2025,37.5,Tomato,3000.0,5000.0,4000.0
31/12/2025,65.5,Tomato,3000.0,5000.0,3800.0
Market Name : Bhagepalli APMC
16/12/2025,1.5,Tomato,1000.0,2461.0,2154.0
17/12/2025,1.3,Tomato,1000.0,2154.0,2000.0
18/12/2025,1.2000000000000002,Tomato,1000.0,3077.0,2692.0
19/12/2025,1.4000000000000001,Tomato,1000.0,4231.0,3846.0
20/12/2025,1.3,Tomato,1000.0,4769.0,4000.0
22/12/2025,1.2000000000000002,Tomato,1000.0,4000.0,3846.0
23/12/2025,1.4000000000000001,Tomato,1000.0,4307.0,4000.0
24/12/2025,1.4000000000000001,Tomato,1000.0,4231.0,3846.0
26/12/2025,1.2000000000000002,Tomato,1000.0,4769.0,4231.0
