date,market,arrival,modal_price
2025-12-10,Arasikere APMC,4.0,2500.0
2025-12-15,Arasikere APMC,4.4,1500.0
2025-12-22,Arasikere APMC,32.5,1000.0
2025-12-01,Bangarpet APMC,4.0,2500.0
2025-12-02,Bangarpet APMC,2.2,2500.0
2025-12-03,Bangarpet APMC,2.2,2300.0
2025-12-04,Bangarpet APMC,2.5,2500.0
2025-12-05,Bangarpet APMC,2.2,2500.0
2025-12-06,Bangarpet APMC,0.7000000000000001,2500.0
2025-12-10,Bangarpet APMC,2.5,1500.0
2025-12-15,Bangarpet APMC,3.0,1300.0
2025-12-16,Bangarpet APMC,2.2,1300.0
2025-12-17,Bangarpet APMC,2.5,1700.0
2025-12-18,Bangarpet APMC,2.5,1700.0
2025-12-19,Bangarpet APMC,2.5,1700.0
2025-12-20,Bangarpet APMC,2.2,2000.0
2025-12-22,Bangarpet APMC,3.5,2000.0
2025-12-23,Bangarpet APMC,2.2,2300.0
2025-12-24,Bangarpet APMC,2.1,2300.0
2025-12-26,Bangarpet APMC,2.1,2000.0
2025-12-29,Bangarpet APMC,2.0,2300.0
2025-12-30,Bangarpet APMC,2.0,2000.0
2025-12-31,Bangarpet APMC,2.2,2000.0
2025-12-10,Belgaum APMC,45.0,2000.0
2025-12-11,Belgaum APMC,25.0,1000.0
2025-12-20,Belgaum APMC,37.5,4000.0
2025-12-31,Belgaum APMC,65.5,3800.0
2025-12-16,Bhagepalli APMC,1.5,2154.0
2025-12-17,Bhagepalli APMC,1.3,2000.0
2025-12-18,Bhagepalli APMC,1.2000000000000002,2692.0
2025-12-19,Bhagepalli APMC,1.4,3846.0
2025-12-20,Bhagepalli APMC,1.3,4000.0
2025-12-22,Bhagepalli APMC,1.2000000000000002,3846.0
2025-12-23,Bhagepalli APMC,1.4,4000.0
2025-12-24,Bhagepalli APMC,1.4,3846.0
2025-12-26,Bhagepalli APMC,1.2000000000000002,4231.0
2025-12-31,Bhagepalli APMC,1.4,4231.0
2025-12-02,Bhagepalli APMC,47.5,4700.0
2025-12-03,Bhagepalli APMC,42.7,4700.0
2025-12-04,Bhagepalli APMC,50.1,4500.0
2025-12-05,Bhagepalli APMC,44.5,4500.0
2025-12-15,Bhagepalli APMC,84.2,3400.0
2025-12-16,Bhagepalli APMC,43.0,3400.0
2025-12-17,Bhagepalli APMC,40.900000000000006,3400.0
2025-12-18,Bhagepalli APMC,43.3,3400.0
2025-12-19,Bhagepalli APMC,40.0,3600.0
2025-12-20,Bhagepalli APMC,48.6,3600.0
2025-12-22,Bhagepalli APMC,41.3,3600.0
2025-12-23,Bhagepalli APMC,44.0,3600.0
2025-12-24,Bhagepalli APMC,47.6,3700.0
2025-12-26,Bhagepalli APMC,89.4,3800.0
2025-12-29,Bhagepalli APMC,80.80000000000001,3700.0
2025-12-30,Bhagepalli APMC,45.0,4300.0
2025-12-31,Bhagepalli APMC,39.3,4700.0
2025-12-01,Chamaraj Nagar APMC,5.5,3300.0
2025-12-04,Chamaraj Nagar APMC,4.5,2300.0
2025-12-05,Chamaraj Nagar APMC,5.0,2750.0
2025-12-06,Chamaraj Nagar APMC,5.5,3750.0
2025-12-08,Chamaraj Nagar APMC,5.5,3300.0
2025-12-09,Chamaraj Nagar APMC,4.5,2750.0
2025-12-10,Chamaraj Nagar APMC,5.5,3750.0
2025-12-11,Chamaraj Nagar APMC,5.5,4300.0
2025-12-12,Chamaraj Nagar APMC,5.0,3750.0
2025-12-13,Chamaraj Nagar APMC,5.5,2300.0
2025-12-15,Chamaraj Nagar APMC,5.0,3300.0
2025-12-16,Chamaraj Nagar APMC,5.5,3750.0
2025-12-17,Chamaraj Nagar APMC,6.0,4300.0
2025-12-18,Chamaraj Nagar APMC,5.5,3750.0
2025-12-19,Chamaraj Nagar APMC,5.5,4300.0
