"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Onion, State : Karnataka"
"Commodity : Onion, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
16/12/2025,15.3,Onion,1500.0,2000.0,1500.0
24/12/2025,7.5,Onion,1000.0,1000.0,1000.0
Market Name : Bagalakot APMC
02/12/2025,268.6,Onion,300.0,1800.0,800.0
13/12/2025,135.3,Onion,500.0,3100.0,2400.0
20/12/2025,170.8,Onion,400.0,2500.0,1800.0
30/12/2025,249.70000000000002,Onion,300.0,2300.0,1400.0
Market Name : Bangalore APMC
01/12/2025,716.7,Bangalore-Samall,200.0,600.0,400.0
,1075.1000000000001,Local,600.0,1200.0,800.0
,716.7,Onion,1200.0,2400.0,1300.0
,1075.0,Puna,500.0,2000.0,800.0
02/12/2025,597.2,Bangalore-Samall,200.0,1000.0,500.0
,895.8000000000001,Local,1000.0,1500.0,1200.0
,597.2,Onion,1500.0,2600.0,1800.0
,895.7,Puna,500.0,2000.0,800.0
03/12/2025,662.4000000000001,Bangalore-Samall,200.0,1000.0,500.0
,993.7,Puna,500.0,2400.0,1100.0
,662.4000000000001,Onion,1500.0,2600.0,1800.0
,993.6,Local,1000.0,1500.0,1200.0
04/12/2025,811.3000000000001,Local,1000.0,1500.0,1200.0
,540.8000000000001,Onion,1500.0,2600.0,1800.0
,540.8000000000001,Bangalore-Samall,200.0,1000.0,500.0
,811.3000000000001,Puna,500.0,2400.0,1200.0
08/12/2025,596.5,Onion,1400.0,2600.0,1700.0
,596.5,Bangalore-Samall,400.0,800.0,500.0
,894.8000000000001,Puna,500.0,2500.0,1200.0
,894.8000000000001,Local,800.0,1400.0,1000.0
09/12/2025,659.2,Puna,500.0,2500.0,1200.0
,439.5,Bangalore-Samall,400.0,800.0,500.0
,659.2,Local,800.0,1400.0,1000.0
,439.5,Onion,1400.0,2600.0,1700.0
10/12/2025,675.1,Local,800.0,1400.0,1000.0
,450.0,Bangalore-Samall,400.0,800.0,500.0
,450.0,Onion,1400.0,2600.0,1700.0
,675.1,Puna,500.0,2500.0,1200.0
11/12/2025,755.5,Puna,500.0,2500.0,1200.0
,503.6,Bangalore-Samall,400.0,800.0,500.0
,755.5,Local,800.0,1400.0,1000.0
,503.70000000000005,Onion,1400.0,2600.0,1700.0
12/12/2025,716.2,Local,800.0,1400.0,1000.0
,477.40000000000003,Bangalore-Samall,400.0,800.0,500.0
,477.40000000000003,Onion,1400.0,2600.0,1700.0
,716.1,Puna,500.0,2500.0,1200.0
15/12/2025,579.2,Bangalore-Samall,500.0,1000.0,700.0
,868.8000000000001,Local,1000.0,2500.0,1500.0
,579.3000000000001,Onion,2000.0,3500.0,2200.0
16/12/2025,553.7,Bangalore-Samall,500.0,1000.0,700.0
,830.7,Local,1000.0,2500.0,1500.0
,830.8000000000001,Puna,2000.0,3400.0,1500.0
,553.7,Onion,2000.0,3500.0,2200.0
17/12/2025,1025.8,Local,1000.0,2500.0,1500.0
,683.8000000000001,Onion,2000.0,3500.0,2200.0
,683.8000000000001,Bangalore-Samall,500.0,1000.0,700.0
,1025.9,Puna,2000.0,3400.0,2000.0
18/12/2025,664.6,Onion,1400.0,2800.0,1600.0
,996.8000000000001,Local,1000.0,1400.0,1100.0
,996.9000000000001,Puna,1000.0,3000.0,1500.0
,664.6,Bangalore-Samall,200.0,1000.0,500.0
19/12/2025,541.7,Onion,1400.0,2800.0,1600.0
,812.7,Local,1000.0,1400.0,1100.0
,541.7,Bangalore-Samall,200.0,1000.0,500.0
,812.8000000000001,Puna,1000.0,3000.0,1500.0
20/12/2025,498.3,Bangalore-Samall,200.0,1000.0,500.0
,747.4000000000001,Local,1000.0,1400.0,1100.0
,498.3,Onion,1400.0,2800.0,1600.0
,747.4000000000001,Puna,1000.0,3000.0,1500.0
22/12/2025,688.6,Onion,1400.0,2800.0,1600.0
,1032.9,Puna,1000.0,3000.0,1500.0
,1032.8,Local,1000.0,1400.0,1100.0
,688.6,Bangalore-Samall,200.0,1000.0,500.0
23/12/2025,1187.7,Puna,1000.0,3000.0,1500.0
,791.9000000000001,Bangalore-Samall,200.0,1000.0,500.0
,791.9000000000001,Onion,1400.0,2800.0,1600.0
,1187.8,Local,1000.0,1400.0,1100.0
24/12/2025,813.4000000000001,Onion,1400.0,2800.0,1600.0
,813.4000000000001,Bangalore-Samall,200.0,1000.0,500.0
,1220.0,Local,1000.0,1400.0,1100.0
,1220.0,Puna,1000.0,3000.0,1500.0
26/12/2025,779.7,Bangalore-Samall,200.0,1000.0,500.0
,1169.7,Onion,1500.0,2500.0,1800.0
,1169.7,Local,1000.0,1800.0,1200.0
,779.8000000000001,Puna,1000.0,2500.0,1200.0
29/12/2025,1124.6000000000001,Local,1000.0,1800.0,1200.0
,743.8000000000001,Bangalore-Samall,200.0,1000.0,500.0
,743.8000000000001,Puna,1000.0,2500.0,1200.0
,1124.6000000000001,Onion,1500.0,2500.0,1800.0
30/12/2025,577.8000000000001,Puna,1000.0,2500.0,1200.0
,866.8000000000001,Onion,1500.0,2500.0,1800.0
,577.8000000000001,Bangalore-Samall,200.0,1000.0,500.0
,866.8000000000001,Local,1000.0,1800.0,1200.0
31/12/2025,482.6,Local,1000.0,1500.0,1200.0
,482.6,Onion,1500.0,2700.0,1700.0
,321.6,Puna,1000.0,2700.0,1400.0
,321.70000000000005,Bangalore-Samall,200.0,1000.0,500.0
Market Name : Bangarpet APMC
01/12/2025,0.7000000000000001,Onion,1500.0,2500.0,2000.0
02/12/2025,0.5,Onion,1500.0,2200.0,2000.0
03/12/2025,0.6000000000000001,Onion,1000.0,2500.0,2000.0
04/12/2025,0.7000000000000001,Onion,1700.0,2300.0,2000.0
05/12/2025,0.8,Onion,1500.0,2300.0,2000.0
06/12/2025,0.5,Onion,1000.0,2300.0,2000.0
08/12/2025,0.9,Onion,1500.0,2300.0,2000.0
09/12/2025,0.8,Onion,1200.0,2200.0,2000.0
10/12/2025,0.5,Onion,1700.0,2300.0,2000.0
11/12/2025,0.5,Onion,2000.0,2300.0,2000.0
12/12/2025,0.7000000000000001,Onion,1300.0,2000.0,1700.0
15/12/2025,1.1,Onion,1500.0,2000.0,1700.0
16/12/2025,0.4,Onion,1000.0,2000.0,1700.0
17/12/2025,0.8,Onion,1000.0,2300.0,2000.0
18/12/2025,1.0,Onion,1700.0,2300.0,2000.0
19/12/2025,0.5,Onion,1200.0,2000.0,1500.0
20/12/2025,1.0,Onion,1300.0,2500.0,2000.0
22/12/2025,0.7000000000000001,Onion,1500.0,2500.0,2000.0
23/12/2025,1.0,Onion,1500.0,2500.0,2000.0
24/12/2025,0.5,Onion,1000.0,2500.0,2000.0
26/12/2025,0.8,Onion,1000.0,2000.0,1500.0
29/12/2025,1.5,Onion,700.0,2300.0,2000.0
30/12/2025,0.5,Onion,1000.0,2000.0,1500.0
31/12/2025,0.8,Onion,1500.0,2300.0,2000.0
Market Name : Belgaum APMC
03/12/2025,769.9000000000001,Pusa-Red,1000.0,2000.0,1600.0
10/12/2025,583.2,Pusa-Red,1000.0,2200.0,1800.0
11/12/2025,33.4,Pusa-Red,1000.0,2200.0,1800.0
13/12/2025,532.1,Pusa-Red,1500.0,3500.0,3000.0
15/12/2025,62.5,Pusa-Red,1500.0,3500.0,3000.0
17/12/2025,801.8000000000001,Pusa-Red,1000.0,3500.0,3000.0
19/12/2025,165.3,Pusa-Red,1000.0,3500.0,3000.0
20/12/2025,1007.3000000000001,Pusa-Red,1000.0,2200.0,1800.0
24/12/2025,745.3000000000001,Pusa-Red,1000.0,2500.0,2000.0
27/12/2025,999.5,Pusa-Red,1000.0,2500.0,2000.0
31/12/2025,1068.2,Pusa-Red,800.0,2300.0,1800.0
Market Name : Bijapur APMC
01/12/2025,319.8,Onion,300.0,1800.0,1000.0
11/12/2025,230.3,Onion,500.0,3000.0,1500.0
19/12/2025,140.0,Onion,600.0,2500.0,1700.0
23/12/2025,155.5,Onion,600.0,2500.0,1600.0
26/12/2025,133.0,Onion,300.0,2300.0,1500.0
30/12/2025,163.9,Onion,300.0,2000.0,1400.0
Market Name : Chikkamagalore APMC
02/12/2025,24.0,Other,1428.0,1628.0,1528.0
03/12/2025,7.2,Other,1521.0,1721.0,1621.0
05/12/2025,6.1000000000000005,Other,1540.0,1740.0,1640.0
08/12/2025,4.0,Other,1667.0,1667.0,1667.0
15/12/2025,16.0,Other,1671.0,1871.0,1771.0
16/12/2025,4.7,Other,2028.0,2228.0,2128.0
17/12/2025,5.0,Other,2233.0,2433.0,2333.0
18/12/2025,2.3000000000000003,Other,2174.0,2174.0,2174.0
19/12/2025,4.1000000000000005,Other,2339.0,2539.0,2439.0
20/12/2025,16.8,Other,2345.0,2545.0,2445.0
22/12/2025,6.2,Other,2320.0,2520.0,2420.0
24/12/2025,5.5,Other,2324.0,2524.0,2424.0
29/12/2025,15.5,Other,2266.0,2466.0,2366.0
31/12/2025,6.300000000000001,Other,2281.0,2481.0,2381.0
Market Name : Davangere APMC
03/12/2025,390.0,Onion,200.0,2100.0,1200.0
04/12/2025,380.0,Onion,200.0,2100.0,1200.0
09/12/2025,385.0,Onion,200.0,2200.0,1200.0
10/12/2025,320.0,Onion,200.0,2200.0,1200.0
11/12/2025,400.0,Onion,200.0,2200.0,1200.0
12/12/2025,372.0,Onion,200.0,2200.0,1200.0
15/12/2025,415.0,Onion,500.0,3400.0,2000.0
16/12/2025,384.0,Onion,500.0,3300.0,2000.0
17/12/2025,480.0,Onion,500.0,3200.0,2000.0
18/12/2025,343.0,Onion,1500.0,2700.0,2300.0
19/12/2025,500.0,Onion,1400.0,2800.0,2300.0
20/12/2025,469.0,Onion,1500.0,2900.0,2300.0
22/12/2025,519.0,Onion,1500.0,2600.0,2000.0
23/12/2025,478.0,Onion,1500.0,2500.0,2100.0
24/12/2025,506.0,Onion,1000.0,2700.0,1800.0
26/12/2025,510.0,Onion,1000.0,2750.0,1800.0
29/12/2025,570.0,Onion,1000.0,2400.0,1700.0
30/12/2025,584.0,Onion,800.0,2400.0,1600.0
31/12/2025,540.0,Onion,1000.0,2400.0,1700.0
Market Name : Doddaballa Pur APMC
01/12/2025,2.0,Onion,2000.0,2500.0,2200.0
02/12/2025,2.5,Onion,1500.0,2000.0,1700.0
03/12/2025,2.0,Onion,2000.0,2500.0,2200.0
04/12/2025,2.4000000000000004,Onion,2000.0,2500.0,2200.0
06/12/2025,2.5,Onion,2000.0,2500.0,2200.0
08/12/2025,2.2,Onion,2000.0,2500.0,2200.0
09/12/2025,2.5,Onion,2000.0,2500.0,2200.0
10/12/2025,2.0,Onion,2000.0,2400.0,2200.0
11/12/2025,2.5,Onion,2000.0,2500.0,2200.0
12/12/2025,2.1,Onion,2000.0,2400.0,2200.0
15/12/2025,1.8,Onion,2000.0,2400.0,2200.0
16/12/2025,2.4000000000000004,Onion,2000.0,2600.0,2300.0
18/12/2025,2.0,Onion,2000.0,2500.0,2200.0
19/12/2025,2.0,Onion,2000.0,2400.0,2200.0
20/12/2025,2.0,Onion,2000.0,2500.0,2000.0
22/12/2025,2.9000000000000004,Onion,2000.0,2500.0,2200.0
23/12/2025,2.1,Onion,2000.0,2500.0,2200.0
24/12/2025,2.8000000000000003,Onion,2000.0,2600.0,2300.0
26/12/2025,2.8000000000000003,Onion,2000.0,2500.0,2200.0
29/12/2025,2.0,Onion,2000.0,3000.0,2400.0
30/12/2025,2.0,Onion,2000.0,2600.0,2300.0
Market Name : Gadag APMC
16/12/2025,363.1,Onion,200.0,2000.0,1000.0
20/12/2025,186.0,Onion,200.0,2000.0,800.0
22/12/2025,336.0,Onion,200.0,2200.0,1000.0
23/12/2025,350.0,Onion,200.0,2200.0,900.0
24/12/2025,535.0,Onion,200.0,1800.0,700.0
27/12/2025,435.5,Onion,200.0,1800.0,500.0
30/12/2025,208.5,Onion,200.0,2000.0,600.0
Market Name : Gowribidanoor APMC
03/12/2025,0.4,Onion,1500.0,2500.0,2000.0
04/12/2025,0.4,Onion,1500.0,2500.0,2000.0
12/12/2025,0.4,Onion,1500.0,2500.0,2000.0
17/12/2025,0.30000000000000004,Onion,1500.0,2500.0,2000.0
18/12/2025,0.4,Onion,1500.0,2500.0,2000.0
22/12/2025,0.4,Onion,1500.0,2500.0,2000.0
24/12/2025,0.4,Onion,1500.0,2500.0,2000.0
26/12/2025,0.30000000000000004,Onion,2000.0,3000.0,2500.0
29/12/2025,0.4,Onion,2000.0,3000.0,2500.0
31/12/2025,0.4,Onion,2000.0,3000.0,2500.0
Market Name : Hospet APMC
01/12/2025,2.0,Local,1000.0,1000.0,1000.0
06/12/2025,7.5,Local,1500.0,1500.0,1500.0
07/12/2025,2.0,Local,1400.0,1400.0,1400.0
08/12/2025,10.5,Local,1400.0,2100.0,2100.0
09/12/2025,2.5,Local,1200.0,1200.0,1200.0
10/12/2025,17.0,Local,1200.0,1800.0,1400.0
13/12/2025,16.5,Local,1000.0,1400.0,1400.0
15/12/2025,3.5,Local,1000.0,1400.0,1400.0
17/12/2025,3.8000000000000003,Local,1500.0,2000.0,2000.0
20/12/2025,7.5,Local,1600.0,1600.0,1600.0
23/12/2025,8.0,Local,1800.0,2000.0,2000.0
24/12/2025,15.4,Local,1000.0,2500.0,1800.0
27/12/2025,7.5,Local,1600.0,1600.0,1600.0
28/12/2025,1.5,Local,1800.0,1800.0,1800.0
29/12/2025,1.0,Local,1500.0,1500.0,1500.0
Market Name : Hubli (Amaragol) APMC
09/12/2025,105.0,Puna,500.0,1900.0,1400.0
,145.0,Local,300.0,1700.0,1000.0
10/12/2025,120.0,Puna,500.0,2100.0,1600.0
,105.0,Local,500.0,2050.0,1500.0
11/12/2025,120.0,Puna,500.0,2300.0,1400.0
,51.0,Local,300.0,1900.0,1200.0
12/12/2025,176.5,Puna,1000.0,2400.0,1500.0
,96.0,Local,500.0,2100.0,1200.0
15/12/2025,110.0,Puna,500.0,3300.0,1500.0
,110.0,Local,500.0,3000.0,1250.0
16/12/2025,150.0,Puna,1000.0,3400.0,1800.0
,99.0,Local,500.0,2650.0,1400.0
17/12/2025,185.0,Puna,1200.0,2800.0,1500.0
,110.0,Local,1000.0,2400.0,1200.0
18/12/2025,185.0,Local,500.0,2400.0,1300.0
,180.0,Puna,1000.0,3000.0,1600.0
19/12/2025,84.0,Local,500.0,2200.0,1000.0
,132.0,Puna,500.0,3000.0,1600.0
20/12/2025,110.0,Local,700.0,2000.0,1200.0
,185.0,Puna,1000.0,3100.0,1500.0
22/12/2025,337.6,Puna,600.0,2500.0,1500.0
,214.70000000000002,Local,500.0,2200.0,1400.0
24/12/2025,150.0,Puna,500.0,2750.0,1700.0
