date,market,arrival,modal_price
2025-12-16,Arasikere APMC,15.3,1500.0
2025-12-24,Arasikere APMC,7.5,1000.0
2025-12-02,Bagalakot APMC,268.6,800.0
2025-12-13,Bagalakot APMC,135.3,2400.0
2025-12-20,Bagalakot APMC,170.8,1800.0
2025-12-30,Bagalakot APMC,249.7,1400.0
2025-12-01,Bangalore APMC,716.7,400.0
2025-12-02,Bangalore APMC,597.2,500.0
2025-12-03,Bangalore APMC,662.4000000000001,500.0
2025-12-04,Bangalore APMC,811.3000000000001,1200.0
2025-12-08,Bangalore APMC,596.5,1700.0
2025-12-09,Bangalore APMC,659.2,1200.0
2025-12-10,Bangalore APMC,675.1,1000.0
2025-12-11,Bangalore APMC,755.5,1200.0
2025-12-12,Bangalore APMC,716.2,1000.0
2025-12-15,Bangalore APMC,579.2,700.0
2025-12-16,Bangalore APMC,553.7,700.0
2025-12-17,Bangalore APMC,1025.8,1500.0
2025-12-18,Bangalore APMC,664.6,1600.0
2025-12-19,Bangalore APMC,541.7,1600.0
2025-12-20,Bangalore APMC,498.3,500.0
2025-12-22,Bangalore APMC,688.6,1600.0
2025-12-23,Bangalore APMC,1187.7,1500.0
2025-12-24,Bangalore APMC,813.4000000000001,1600.0
2025-12-26,Bangalore APMC,779.7,500.0
2025-12-29,Bangalore APMC,1124.6,1200.0
2025-12-30,Bangalore APMC,577.8000000000001,1200.0
2025-12-31,Bangalore APMC,482.6,1200.0
2025-12-01,Bangarpet APMC,0.7000000000000001,2000.0
2025-12-02,Bangarpet APMC,0.5,2000.0
2025-12-03,Bangarpet APMC,0.6000000000000001,2000.0
2025-12-04,Bangarpet APMC,0.7000000000000001,2000.0
2025-12-05,Bangarpet APMC,0.8,2000.0
2025-12-06,Bangarpet APMC,0.5,2000.0
2025-12-08,Bangarpet APMC,0.9,2000.0
2025-12-09,Bangarpet APMC,0.8,2000.0
2025-12-10,Bangarpet APMC,0.5,2000.0
2025-12-11,Bangarpet APMC,0.5,2000.0
2025-12-12,Bangarpet APMC,0.7000000000000001,1700.0
2025-12-15,Bangarpet APMC,1.1,1700.0
2025-12-16,Bangarpet APMC,0.4,1700.0
2025-12-17,Bangarpet APMC,0.8,2000.0
2025-12-18,Bangarpet APMC,1.0,2000.0
2025-12-19,Bangarpet APMC,0.5,1500.0
2025-12-20,Bangarpet APMC,1.0,2000.0
2025-12-22,Bangarpet APMC,0.7000000000000001,2000.0
2025-12-23,Bangarpet APMC,1.0,2000.0
2025-12-24,Bangarpet APMC,0.5,2000.0
2025-12-26,Bangarpet APMC,0.8,1500.0
2025-12-29,Bangarpet APMC,1.5,2000.0
2025-12-30,Bangarpet APMC,0.5,1500.0
2025-12-31,Bangarpet APMC,0.8,2000.0
2025-12-03,Belgaum APMC,769.9000000000001,1600.0
2025-12-10,Belgaum APMC,583.2,1800.0
