date,market,arrival,modal_price
2025-12-02,Arasikere APMC,0.4,2500.0
2025-12-15,Arasikere APMC,3.6,2000.0
2025-12-22,Arasikere APMC,6.6000000000000005,1500.0
2025-12-01,Bangalore APMC,1314.7,1800.0
2025-12-02,Bangalore APMC,297.2,2000.0
2025-12-03,Bangalore APMC,1001.0,1800.0
2025-12-04,Bangalore APMC,236.2,2000.0
2025-12-08,Bangalore APMC,328.70000000000005,2100.0
2025-12-09,Bangalore APMC,1175.6,2000.0
2025-12-10,Bangalore APMC,234.8,2100.0
2025-12-11,Bangalore APMC,282.2,2100.0
2025-12-12,Bangalore APMC,972.4,2000.0
2025-12-15,Bangalore APMC,203.2,2000.0
2025-12-16,Bangalore APMC,183.1,2000.0
2025-12-17,Bangalore APMC,204.0,2000.0
2025-12-18,Bangalore APMC,217.2,2100.0
2025-12-19,Bangalore APMC,249.8,2100.0
2025-12-20,Bangalore APMC,1151.4,2000.0
2025-12-22,Bangalore APMC,345.40000000000003,2100.0
2025-12-23,Bangalore APMC,116.2,2100.0
2025-12-24,Bangalore APMC,847.6,2000.0
2025-12-26,Bangalore APMC,1057.6,2000.0
2025-12-29,Bangalore APMC,348.90000000000003,2100.0
2025-12-30,Bangalore APMC,613.1,2000.0
2025-12-31,Bangalore APMC,925.8,1800.0
2025-12-01,Bangarpet APMC,0.9,2500.0
2025-12-02,Bangarpet APMC,0.6000000000000001,2500.0
2025-12-03,Bangarpet APMC,0.4,2500.0
2025-12-04,Bangarpet APMC,0.8,2300.0
2025-12-05,Bangarpet APMC,1.2000000000000002,2500.0
2025-12-06,Bangarpet APMC,0.4,2300.0
2025-12-08,Bangarpet APMC,1.5,2300.0
2025-12-09,Bangarpet APMC,0.4,2500.0
2025-12-10,Bangarpet APMC,0.5,2500.0
2025-12-11,Bangarpet APMC,0.9,2000.0
2025-12-12,Bangarpet APMC,0.5,2000.0
2025-12-15,Bangarpet APMC,1.0,2300.0
2025-12-16,Bangarpet APMC,805.5,1854.0
2025-12-17,Bangarpet APMC,0.9,2500.0
2025-12-18,Bangarpet APMC,0.6000000000000001,2300.0
2025-12-19,Bangarpet APMC,1.0,2300.0
2025-12-20,Bangarpet APMC,0.9,2000.0
2025-12-22,Bangarpet APMC,1.0,2300.0
2025-12-23,Bangarpet APMC,1.0,2300.0
2025-12-24,Bangarpet APMC,0.8,2000.0
2025-12-26,Bangarpet APMC,0.7000000000000001,2300.0
2025-12-29,Bangarpet APMC,0.9,2000.0
2025-12-30,Bangarpet APMC,0.9,2000.0
2025-12-31,Bangarpet APMC,0.4,1700.0
2025-12-03,Belgaum APMC,393.5,1500.0
2025-12-10,Belgaum APMC,333.70000000000005,1500.0
2025-12-11,Belgaum APMC,61.7,1500.0
2025-12-13,Belgaum APMC,191.8,1500.0
2025-12-15,Belgaum APMC,170.10000000000002,1500.0
2025-12-17,Belgaum APMC,293.0,1500.0
2025-12-19,Belgaum APMC,272.1,1500.0
2025-12-20,Belgaum APMC,236.2,1800.0
2025-12-24,Belgaum APMC,238.1,1500.0
2025-12-27,Belgaum APMC,302.1,1500.0
2025-12-31,Belgaum APMC,382.5,1150.0
2025-12-16,Bhagepalli APMC,0.2,1750.0
2025-12-24,Bhagepalli APMC,0.4,1800.0
2025-12-02,Chikkamagalore APMC,20.3,1642.0
2025-12-03,Chikkamagalore APMC,4.2,1984.0
2025-12-05,Chikkamagalore APMC,7.800000000000001,1923.0
2025-12-08,Chikkamagalore APMC,3.2,2604.0
2025-12-15,Chikkamagalore APMC,12.1,2066.0
2025-12-16,Chikkamagalore APMC,2.7,1856.0
2025-12-17,Chikkamagalore APMC,9.0,1945.0
2025-12-18,Chikkamagalore APMC,1.0,1667.0
2025-12-19,Chikkamagalore APMC,4.800000000000001,2084.0
2025-12-20,Chikkamagalore APMC,8.9,2060.0
2025-12-22,Chikkamagalore APMC,10.3,2104.0
2025-12-24,Chikkamagalore APMC,5.6000000000000005,2084.0
2025-12-29,Chikkamagalore APMC,15.0,2000.0
2025-12-31,Chikkamagalore APMC,4.2,1985.0
2025-12-18,Chintamani APMC,5.0,2500.0
2025-12-03,Davangere APMC,4.0,2200.0
2025-12-04,Davangere APMC,4.5,2000.0
2025-12-09,Davangere APMC,4.5,2000.0
2025-12-10,Davangere APMC,4.0,2000.0
2025-12-11,Davangere APMC,4.5,2200.0
2025-12-12,Davangere APMC,4.0,2000.0
2025-12-16,Davangere APMC,4.5,2200.0
2025-12-17,Davangere APMC,4.0,2000.0
2025-12-18,Davangere APMC,4.5,2100.0
2025-12-19,Davangere APMC,4.0,2100.0
2025-12-20,Davangere APMC,4.0,2100.0
2025-12-23,Davangere APMC,4.0,2100.0
2025-12-24,Davangere APMC,4.0,2000.0
2025-12-26,Davangere APMC,4.5,1900.0
2025-12-30,Davangere APMC,4.5,2000.0
2025-12-31,Davangere APMC,4.0,2000.0
2025-12-01,Doddaballa Pur APMC,1.8,2000.0
2025-12-02,Doddaballa Pur APMC,2.4000000000000004,2200.0
2025-12-03,Doddaballa Pur APMC,2.4000000000000004,2000.0
2025-12-04,Doddaballa Pur APMC,1.8,2200.0
2025-12-06,Doddaballa Pur APMC,1.8,2200.0
2025-12-08,Doddaballa Pur APMC,1.8,2200.0
2025-12-09,Doddaballa Pur APMC,2.0,2200.0
2025-12-10,Doddaballa Pur APMC,1.8,2300.0
2025-12-11,Doddaballa Pur APMC,1.8,2300.0
2025-12-12,Doddaballa Pur APMC,1.8,2300.0
