"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Brinjal, State : Karnataka"
"Commodity : Brinjal, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
01/12/2025,0.6000000000000001,Brinjal,2000.0,2800.0,2500.0
03/12/2025,0.7000000000000001,Brinjal,1000.0,1500.0,1200.0
04/12/2025,0.7000000000000001,Brinjal,1000.0,2000.0,1700.0
05/12/2025,0.6000000000000001,Brinjal,1000.0,1700.0,1500.0
06/12/2025,0.5,Brinjal,2000.0,2500.0,2200.0
08/12/2025,1.0,Brinjal,1000.0,2000.0,1700.0
09/12/2025,0.8,Brinjal,500.0,1300.0,1000.0
10/12/2025,0.30000000000000004,Brinjal,500.0,1500.0,1000.0
12/12/2025,0.6000000000000001,Brinjal,1000.0,1500.0,1200.0
15/12/2025,0.9,Brinjal,600.0,1300.0,1000.0
16/12/2025,0.30000000000000004,Brinjal,1000.0,1700.0,1500.0
18/12/2025,0.4,Brinjal,500.0,1200.0,1000.0
19/12/2025,0.6000000000000001,Brinjal,1000.0,1500.0,1200.0
20/12/2025,0.4,Brinjal,1000.0,1500.0,1300.0
23/12/2025,0.8,Brinjal,1000.0,2000.0,1500.0
24/12/2025,0.7000000000000001,Brinjal,800.0,1500.0,1000.0
26/12/2025,0.6000000000000001,Brinjal,1000.0,1500.0,1000.0
30/12/2025,0.8,Brinjal,1000.0,1500.0,1300.0
Market Name : Bhagepalli APMC
18/12/2025,0.30000000000000004,Brinjal,1200.0,2200.0,1800.0
20/12/2025,0.2,Brinjal,1500.0,2200.0,1800.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,13.3,Brinjal,2500.0,3000.0,2800.0
03/12/2025,10.9,Brinjal,2600.0,3100.0,2900.0
04/12/2025,13.200000000000001,Brinjal,2500.0,3000.0,2800.0
05/12/2025,16.5,Brinjal,2600.0,3100.0,2900.0
15/12/2025,29.0,Brinjal,2500.0,3000.0,2800.0
16/12/2025,17.900000000000002,Brinjal,2500.0,3000.0,2800.0
17/12/2025,12.100000000000001,Brinjal,2600.0,3100.0,2900.0
18/12/2025,15.8,Brinjal,2500.0,3000.0,2700.0
19/12/2025,15.4,Brinjal,2200.0,2600.0,2400.0
20/12/2025,11.0,Brinjal,2500.0,3000.0,2700.0
22/12/2025,11.5,Brinjal,1000.0,1500.0,1300.0
23/12/2025,18.8,Brinjal,1000.0,1500.0,1300.0
24/12/2025,13.8,Brinjal,1000.0,1500.0,1300.0
26/12/2025,30.5,Brinjal,1200.0,1400.0,1300.0
