date,market,arrival,modal_price
2025-12-01,Bangarpet APMC,0.6000000000000001,2500.0
2025-12-03,Bangarpet APMC,0.7000000000000001,1200.0
2025-12-04,Bangarpet APMC,0.7000000000000001,1700.0
2025-12-05,Bangarpet APMC,0.6000000000000001,1500.0
2025-12-06,Bangarpet APMC,0.5,2200.0
2025-12-08,Bangarpet APMC,1.0,1700.0
2025-12-09,Bangarpet APMC,0.8,1000.0
2025-12-10,Bangarpet APMC,0.3,1000.0
2025-12-12,Bangarpet APMC,0.6000000000000001,1200.0
2025-12-15,Bangarpet APMC,0.9,1000.0
2025-12-16,Bangarpet APMC,0.3,1500.0
2025-12-18,Bangarpet APMC,0.4,1000.0
2025-12-19,Bangarpet APMC,0.6000000000000001,1200.0
2025-12-20,Bangarpet APMC,0.4,1300.0
2025-12-23,Bangarpet APMC,0.8,1500.0
2025-12-24,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-26,Bangarpet APMC,0.6000000000000001,1000.0
2025-12-30,Bangarpet APMC,0.8,1300.0
2025-12-18,Bhagepalli APMC,0.3,1800.0
2025-12-20,Bhagepalli APMC,0.2,1800.0
2025-12-02,Bhagepalli APMC,13.3,2800.0
2025-12-03,Bhagepalli APMC,10.9,2900.0
2025-12-04,Bhagepalli APMC,13.2,2800.0
2025-12-05,Bhagepalli APMC,16.5,2900.0
2025-12-15,Bhagepalli APMC,29.0,2800.0
2025-12-16,Bhagepalli APMC,17.900000000000002,2800.0
2025-12-17,Bhagepalli APMC,12.1,2900.0
2025-12-18,Bhagepalli APMC,15.8,2700.0
2025-12-19,Bhagepalli APMC,15.4,2400.0
2025-12-20,Bhagepalli APMC,11.0,2700.0
2025-12-22,Bhagepalli APMC,11.5,1300.0
2025-12-23,Bhagepalli APMC,18.8,1300.0
2025-12-24,Bhagepalli APMC,13.8,1300.0
2025-12-26,Bhagepalli APMC,30.5,1300.0
2025-12-29,Bhagepalli APMC,32.4,2800.0
2025-12-30,Bhagepalli APMC,16.7,2700.0
2025-12-31,Bhagepalli APMC,16.7,2000.0
2025-12-01,Chamaraj Nagar APMC,4.5,2300.0
2025-12-04,Chamaraj Nagar APMC,3.5,2650.0
2025-12-05,Chamaraj Nagar APMC,5.0,2750.0
2025-12-06,Chamaraj Nagar APMC,4.5,2750.0
2025-12-08,Chamaraj Nagar APMC,5.0,2750.0
2025-12-09,Chamaraj Nagar APMC,4.0,2300.0
2025-12-10,Chamaraj Nagar APMC,4.5,2300.0
2025-12-11,Chamaraj Nagar APMC,4.0,2300.0
2025-12-12,Chamaraj Nagar APMC,4.0,2300.0
2025-12-16,Chamaraj Nagar APMC,4.0,1450.0
2025-12-17,Chamaraj Nagar APMC,4.5,1350.0
2025-12-18,Chamaraj Nagar APMC,3.5,1300.0
2025-12-19,Chamaraj Nagar APMC,3.5,1750.0
2025-12-20,Chamaraj Nagar APMC,4.5,2300.0
2025-12-22,Chamaraj Nagar APMC,4.0,1750.0
2025-12-23,Chamaraj Nagar APMC,4.0,2300.0
2025-12-24,Chamaraj Nagar APMC,4.0,1750.0
2025-12-25,Chamaraj Nagar APMC,4.0,2300.0
2025-12-26,Chamaraj Nagar APMC,3.0,900.0
2025-12-27,Chamaraj Nagar APMC,4.5,1750.0
2025-12-29,Chamaraj Nagar APMC,3.5,900.0
2025-12-30,Chamaraj Nagar APMC,4.0,1900.0
2025-12-31,Chamaraj Nagar APMC,3.0,1700.0
2025-12-03,Channapatana APMC,0.4,1800.0
2025-12-16,Channapatana APMC,0.4,2700.0
2025-12-17,Channapatana APMC,0.4,2700.0
2025-12-18,Channapatana APMC,0.4,2300.0
2025-12-22,Channapatana APMC,0.3,2700.0
2025-12-01,Chintamani APMC,0.7000000000000001,2000.0
2025-12-02,Chintamani APMC,0.8,2000.0
2025-12-04,Chintamani APMC,0.7000000000000001,2000.0
2025-12-05,Chintamani APMC,0.7000000000000001,2000.0
2025-12-06,Chintamani APMC,0.7000000000000001,2000.0
2025-12-08,Chintamani APMC,0.7000000000000001,2000.0
2025-12-09,Chintamani APMC,0.7000000000000001,1800.0
2025-12-11,Chintamani APMC,0.7000000000000001,2000.0
2025-12-12,Chintamani APMC,0.8,2000.0
2025-12-15,Chintamani APMC,0.6000000000000001,1500.0
2025-12-16,Chintamani APMC,0.6000000000000001,1500.0
2025-12-18,Chintamani APMC,0.7000000000000001,2000.0
2025-12-19,Chintamani APMC,0.6000000000000001,1500.0
2025-12-20,Chintamani APMC,0.6000000000000001,2000.0
2025-12-22,Chintamani APMC,0.7000000000000001,1500.0
2025-12-23,Chintamani APMC,0.8,1800.0
2025-12-26,Chintamani APMC,0.7000000000000001,1500.0
2025-12-29,Chintamani APMC,0.6000000000000001,1500.0
2025-12-30,Chintamani APMC,0.8,1500.0
2025-12-03,Davangere APMC,3.0,1400.0
2025-12-04,Davangere APMC,3.5,1400.0
2025-12-09,Davangere APMC,3.5,1400.0
2025-12-10,Davangere APMC,3.0,1500.0
2025-12-11,Davangere APMC,3.5,1500.0
2025-12-12,Davangere APMC,3.0,1600.0
2025-12-16,Davangere APMC,3.0,1500.0
2025-12-17,Davangere APMC,2.5,1600.0
2025-12-18,Davangere APMC,3.0,1500.0
2025-12-19,Davangere APMC,2.5,1800.0
2025-12-20,Davangere APMC,2.0,2000.0
2025-12-23,Davangere APMC,2.5,1600.0
2025-12-24,Davangere APMC,2.0,1500.0
2025-12-26,Davangere APMC,3.0,1400.0
2025-12-30,Davangere APMC,3.0,1200.0
2025-12-31,Davangere APMC,2.5,1200.0
2025-12-01,Doddaballa Pur APMC,0.8,2200.0
2025-12-02,Doddaballa Pur APMC,0.8,2300.0
2025-12-03,Doddaballa Pur APMC,0.8,2200.0
2025-12-04,Doddaballa Pur APMC,0.6000000000000001,1700.0
2025-12-06,Doddaballa Pur APMC,0.8,1750.0
2025-12-08,Doddaballa Pur APMC,0.8,1700.0
2025-12-09,Doddaballa Pur APMC,0.6000000000000001,1800.0
2025-12-10,Doddaballa Pur APMC,1.2000000000000002,2000.0
2025-12-11,Doddaballa Pur APMC,0.9,2300.0
2025-12-12,Doddaballa Pur APMC,0.5,2600.0
2025-12-15,Doddaballa Pur APMC,0.8,2000.0
2025-12-16,Doddaballa Pur APMC,0.6000000000000001,2500.0
2025-12-18,Doddaballa Pur APMC,0.6000000000000001,2500.0
2025-12-19,Doddaballa Pur APMC,0.6000000000000001,2500.0
2025-12-20,Doddaballa Pur APMC,0.6000000000000001,2300.0
2025-12-22,Doddaballa Pur APMC,0.8,2000.0
2025-12-23,Doddaballa Pur APMC,0.8,2500.0
2025-12-24,Doddaballa Pur APMC,0.6000000000000001,2400.0
2025-12-29,Doddaballa Pur APMC,0.8,1560.0
2025-12-30,Doddaballa Pur APMC,0.6000000000000001,1600.0
2025-12-03,Gowribidanoor APMC,1.0,1300.0
2025-12-04,Gowribidanoor APMC,1.0,1200.0
2025-12-12,Gowribidanoor APMC,0.8,1200.0
2025-12-17,Gowribidanoor APMC,0.8,1200.0
2025-12-22,Gowribidanoor APMC,1.0,1200.0
2025-12-24,Gowribidanoor APMC,1.2000000000000002,1200.0
2025-12-26,Gowribidanoor APMC,1.0,1000.0
2025-12-29,Gowribidanoor APMC,1.2000000000000002,1000.0
2025-12-31,Gowribidanoor APMC,1.0,1200.0
2025-12-04,Honnali APMC,1.5,1520.0
2025-12-12,Honnali APMC,2.0,1550.0
2025-12-17,Honnali APMC,1.3,1820.0
2025-12-18,Honnali APMC,1.5,1650.0
2025-12-19,Honnali APMC,1.3,2010.0
2025-12-22,Honnali APMC,1.5,1520.0
2025-12-24,Honnali APMC,1.2000000000000002,1520.0
2025-12-26,Honnali APMC,3.5,1652.0
2025-12-29,Honnali APMC,1.5,1460.0
2025-12-31,Honnali APMC,1.5,1620.0
2025-12-01,Hospet APMC,2.0,2500.0
2025-12-06,Hospet APMC,5.0,2000.0
2025-12-07,Hospet APMC,1.0,2000.0
2025-12-08,Hospet APMC,3.4000000000000004,3000.0
2025-12-09,Hospet APMC,2.0,2500.0
2025-12-10,Hospet APMC,0.5,2400.0
2025-12-13,Hospet APMC,1.6,2500.0
2025-12-15,Hospet APMC,1.0,2000.0
2025-12-17,Hospet APMC,1.0,2000.0
2025-12-20,Hospet APMC,6.0,2400.0
2025-12-23,Hospet APMC,2.0,2500.0
2025-12-24,Hospet APMC,0.5,1600.0
2025-12-27,Hospet APMC,5.0,2500.0
2025-12-28,Hospet APMC,2.0,2500.0
2025-12-29,Hospet APMC,1.0,2500.0
2025-12-15,Kadur APMC,1.5,2082.0
2025-12-16,Kadur APMC,0.4,2082.0
2025-12-19,Kadur APMC,0.3,2776.0
2025-12-20,Kadur APMC,0.8,2081.0
2025-12-26,Kadur APMC,1.2000000000000002,2081.0
2025-12-01,Kalburgi APMC,0.2,2000.0
2025-12-02,Kalburgi APMC,0.1,2500.0
2025-12-03,Kalburgi APMC,0.2,2500.0
2025-12-04,Kalburgi APMC,0.3,2000.0
2025-12-09,Kalburgi APMC,0.2,1750.0
2025-12-10,Kalburgi APMC,0.3,1750.0
2025-12-12,Kalburgi APMC,0.2,2000.0
2025-12-15,Kalburgi APMC,0.2,2000.0
2025-12-16,Kalburgi APMC,0.2,2000.0
2025-12-17,Kalburgi APMC,0.3,2000.0
2025-12-18,Kalburgi APMC,0.2,2000.0
2025-12-19,Kalburgi APMC,0.2,2000.0
2025-12-20,Kalburgi APMC,0.2,2000.0
2025-12-22,Kalburgi APMC,0.3,1750.0
2025-12-23,Kalburgi APMC,0.3,2000.0
2025-12-24,Kalburgi APMC,0.4,2000.0
2025-12-26,Kalburgi APMC,0.2,2000.0
2025-12-29,Kalburgi APMC,0.2,2000.0
2025-12-30,Kalburgi APMC,0.3,2100.0
2025-12-31,Kalburgi APMC,0.3,2500.0
2025-12-18,Kolar APMC,2.3000000000000003,1300.0
2025-12-22,Kolar APMC,2.5,1300.0
2025-12-09,Mysore (Bandipalya) APMC,2.0,1100.0
2025-12-15,Mysore (Bandipalya) APMC,1.8,1500.0
2025-12-16,Mysore (Bandipalya) APMC,4.800000000000001,1400.0
2025-12-22,Mysore (Bandipalya) APMC,1.8,1200.0
2025-12-29,Mysore (Bandipalya) APMC,3.6,900.0
