"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Cabbage, State : Karnataka"
"Commodity : Cabbage, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
15/12/2025,10.0,Cabbage,1000.0,1000.0,1000.0
22/12/2025,10.3,Cabbage,950.0,950.0,950.0
Market Name : Bangarpet APMC
01/12/2025,0.4,Cabbage,1000.0,2300.0,2000.0
02/12/2025,0.8,Cabbage,700.0,1300.0,1000.0
04/12/2025,0.4,Cabbage,500.0,1000.0,700.0
06/12/2025,0.30000000000000004,Cabbage,500.0,1000.0,800.0
08/12/2025,0.8,Cabbage,600.0,1300.0,1000.0
09/12/2025,0.5,Cabbage,700.0,1200.0,1000.0
10/12/2025,0.4,Cabbage,700.0,1200.0,1000.0
15/12/2025,0.7000000000000001,Cabbage,900.0,1500.0,1100.0
17/12/2025,0.5,Cabbage,600.0,1000.0,800.0
19/12/2025,0.4,Cabbage,400.0,1000.0,600.0
22/12/2025,0.4,Cabbage,500.0,1000.0,700.0
23/12/2025,0.4,Cabbage,300.0,800.0,500.0
24/12/2025,0.6000000000000001,Cabbage,600.0,800.0,700.0
26/12/2025,0.4,Cabbage,700.0,1300.0,1000.0
30/12/2025,0.5,Cabbage,400.0,800.0,500.0
Market Name : Belgaum APMC
10/12/2025,20.5,Cabbage,1050.0,1200.0,1150.0
31/12/2025,14.0,Cabbage,1000.0,1500.0,1400.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,18.8,Cabbage,1100.0,1300.0,1200.0
03/12/2025,25.6,Cabbage,1100.0,1300.0,1200.0
04/12/2025,15.600000000000001,Cabbage,1000.0,1200.0,1100.0
05/12/2025,20.400000000000002,Cabbage,1000.0,1200.0,1100.0
15/12/2025,43.300000000000004,Cabbage,1000.0,1200.0,1100.0
16/12/2025,8.8,Cabbage,1000.0,1200.0,1100.0
17/12/2025,28.0,Cabbage,1000.0,1200.0,1100.0
18/12/2025,21.200000000000003,Cabbage,1000.0,1200.0,1100.0
19/12/2025,23.0,Cabbage,1000.0,1200.0,1100.0
20/12/2025,23.700000000000003,Cabbage,900.0,1200.0,1100.0
22/12/2025,24.6,Cabbage,1000.0,1200.0,1100.0
23/12/2025,22.400000000000002,Cabbage,1000.0,1200.0,1100.0
24/12/2025,33.2,Cabbage,1000.0,1200.0,1100.0
26/12/2025,67.3,Cabbage,1100.0,1300.0,1200.0
29/12/2025,46.1,Cabbage,1000.0,1200.0,1100.0
30/12/2025,31.1,Cabbage,1000.0,1200.0,1100.0
31/12/2025,21.400000000000002,Cabbage,900.0,1200.0,1100.0
Market Name : Chamaraj Nagar APMC
01/12/2025,4.0,Cabbage,1800.0,2000.0,1900.0
04/12/2025,4.0,Cabbage,1500.0,2000.0,1750.0
05/12/2025,4.0,Cabbage,2000.0,2500.0,2300.0
06/12/2025,4.0,Cabbage,2000.0,2500.0,2300.0
08/12/2025,4.5,Cabbage,2000.0,2500.0,2300.0
09/12/2025,3.5,Cabbage,1500.0,2000.0,1750.0
10/12/2025,4.5,Cabbage,2000.0,2500.0,2300.0
11/12/2025,4.0,Cabbage,2000.0,2500.0,2300.0
12/12/2025,4.5,Cabbage,2000.0,3500.0,2800.0
15/12/2025,3.0,Cabbage,1000.0,1500.0,1300.0
16/12/2025,2.0,Cabbage,1200.0,1600.0,1400.0
17/12/2025,4.0,Cabbage,1200.0,1500.0,1350.0
18/12/2025,3.5,Cabbage,1000.0,1500.0,1300.0
19/12/2025,3.0,Cabbage,2000.0,2500.0,2300.0
20/12/2025,4.5,Cabbage,2000.0,2500.0,2300.0
22/12/2025,4.5,Cabbage,2000.0,2500.0,2300.0
23/12/2025,3.0,Cabbage,1500.0,2000.0,1750.0
24/12/2025,4.0,Cabbage,1500.0,2000.0,1750.0
25/12/2025,4.0,Cabbage,1500.0,2000.0,1750.0
26/12/2025,3.5,Cabbage,1400.0,1600.0,1500.0
27/12/2025,3.5,Cabbage,1500.0,1800.0,1650.0
29/12/2025,4.0,Cabbage,1500.0,1600.0,1550.0
30/12/2025,2.5,Cabbage,1200.0,1500.0,1350.0
31/12/2025,4.5,Cabbage,1200.0,1500.0,1350.0
Market Name : Chikkamagalore APMC
08/12/2025,4.6000000000000005,Cabbage,1450.0,1450.0,1450.0
15/12/2025,5.1000000000000005,Cabbage,1634.0,1634.0,1634.0
