date,market,arrival,modal_price
2025-12-15,Arasikere APMC,10.0,1000.0
2025-12-22,Arasikere APMC,10.3,950.0
2025-12-01,Bangarpet APMC,0.4,2000.0
2025-12-02,Bangarpet APMC,0.8,1000.0
2025-12-04,Bangarpet APMC,0.4,700.0
2025-12-06,Bangarpet APMC,0.3,800.0
2025-12-08,Bangarpet APMC,0.8,1000.0
2025-12-09,Bangarpet APMC,0.5,1000.0
2025-12-10,Bangarpet APMC,0.4,1000.0
2025-12-15,Bangarpet APMC,0.7000000000000001,1100.0
2025-12-17,Bangarpet APMC,0.5,800.0
2025-12-19,Bangarpet APMC,0.4,600.0
2025-12-22,Bangarpet APMC,0.4,700.0
2025-12-23,Bangarpet APMC,0.4,500.0
2025-12-24,Bangarpet APMC,0.6000000000000001,700.0
2025-12-26,Bangarpet APMC,0.4,1000.0
2025-12-30,Bangarpet APMC,0.5,500.0
2025-12-10,Belgaum APMC,20.5,1150.0
2025-12-31,Belgaum APMC,14.0,1400.0
2025-12-02,Belgaum APMC,18.8,1200.0
2025-12-03,Belgaum APMC,25.6,1200.0
2025-12-04,Belgaum APMC,15.6,1100.0
2025-12-05,Belgaum APMC,20.4,1100.0
2025-12-15,Belgaum APMC,43.3,1100.0
2025-12-16,Belgaum APMC,8.8,1100.0
2025-12-17,Belgaum APMC,28.0,1100.0
2025-12-18,Belgaum APMC,21.200000000000003,1100.0
2025-12-19,Belgaum APMC,23.0,1100.0
2025-12-20,Belgaum APMC,23.700000000000003,1100.0
2025-12-22,Belgaum APMC,24.6,1100.0
2025-12-23,Belgaum APMC,22.4,1100.0
2025-12-24,Belgaum APMC,33.2,1100.0
2025-12-26,Belgaum APMC,67.3,1200.0
2025-12-29,Belgaum APMC,46.1,1100.0
2025-12-30,Belgaum APMC,31.1,1100.0
2025-12-31,Belgaum APMC,21.4,1100.0
2025-12-01,Chamaraj Nagar APMC,4.0,1900.0
2025-12-04,Chamaraj Nagar APMC,4.0,1750.0
2025-12-05,Chamaraj Nagar APMC,4.0,2300.0
2025-12-06,Chamaraj Nagar APMC,4.0,2300.0
2025-12-08,Chamaraj Nagar APMC,4.5,2300.0
2025-12-09,Chamaraj Nagar APMC,3.5,1750.0
2025-12-10,Chamaraj Nagar APMC,4.5,2300.0
2025-12-11,Chamaraj Nagar APMC,4.0,2300.0
2025-12-12,Chamaraj Nagar APMC,4.5,2800.0
2025-12-15,Chamaraj Nagar APMC,3.0,1300.0
2025-12-16,Chamaraj Nagar APMC,2.0,1400.0
2025-12-17,Chamaraj Nagar APMC,4.0,1350.0
