"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Cauliflower, State : Karnataka"
"Commodity : Cauliflower, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
02/12/2025,0.4,Local,1000.0,2300.0,2000.0
04/12/2025,0.8,Local,400.0,1000.0,900.0
06/12/2025,0.4,Local,600.0,1500.0,1000.0
08/12/2025,0.5,Local,1000.0,1700.0,1500.0
09/12/2025,0.4,Local,700.0,1500.0,1000.0
10/12/2025,0.4,Local,700.0,1500.0,1000.0
12/12/2025,0.8,Local,900.0,1300.0,1000.0
15/12/2025,0.6000000000000001,Local,500.0,1000.0,700.0
16/12/2025,0.4,Local,700.0,1300.0,1000.0
17/12/2025,0.4,Local,700.0,1500.0,1000.0
19/12/2025,0.7000000000000001,Local,700.0,1500.0,1000.0
22/12/2025,0.5,Local,700.0,1500.0,1000.0
23/12/2025,0.30000000000000004,Local,700.0,1500.0,1000.0
24/12/2025,0.4,Local,1200.0,1800.0,1500.0
26/12/2025,0.30000000000000004,Local,1000.0,1700.0,1500.0
30/12/2025,0.4,Local,1000.0,1200.0,1000.0
Market Name : Belgaum APMC
11/12/2025,14.5,Local,1500.0,2000.0,1800.0
20/12/2025,21.0,Local,5000.0,6000.0,5500.0
31/12/2025,26.0,Local,2500.0,3000.0,2800.0
Market Name : Bhagepalli APMC
22/12/2025,0.2,Cauliflower,500.0,1000.0,800.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,8.200000000000001,Cauliflower,2400.0,2700.0,2500.0
03/12/2025,8.700000000000001,Cauliflower,2500.0,2800.0,2600.0
04/12/2025,9.200000000000001,Cauliflower,2000.0,2500.0,2300.0
05/12/2025,6.7,Cauliflower,2200.0,2700.0,2500.0
15/12/2025,12.8,Cauliflower,2100.0,2500.0,2400.0
16/12/2025,8.0,Cauliflower,2200.0,2600.0,2500.0
17/12/2025,7.1000000000000005,Cauliflower,2500.0,2700.0,2600.0
18/12/2025,8.4,Cauliflower,2200.0,2800.0,2500.0
19/12/2025,7.1000000000000005,Cauliflower,2000.0,3000.0,2500.0
20/12/2025,9.4,Cauliflower,2200.0,2800.0,2500.0
22/12/2025,10.0,Cauliflower,2000.0,2300.0,2200.0
23/12/2025,7.4,Cauliflower,2100.0,2400.0,2300.0
24/12/2025,8.200000000000001,Cauliflower,2200.0,2500.0,2400.0
26/12/2025,17.6,Cauliflower,2100.0,2500.0,2400.0
29/12/2025,17.0,Cauliflower,2500.0,3100.0,2800.0
30/12/2025,8.5,Cauliflower,2500.0,3000.0,2800.0
31/12/2025,5.5,Cauliflower,2000.0,2500.0,2300.0
Market Name : Chikkamagalore APMC
08/12/2025,3.9000000000000004,Local,1710.0,1710.0,1710.0
15/12/2025,5.800000000000001,Local,1912.0,2112.0,2012.0
17/12/2025,1.1,Local,1667.0,1667.0,1667.0
19/12/2025,4.6000000000000005,Local,1812.0,1812.0,1812.0
22/12/2025,2.0,Local,1667.0,1667.0,1667.0
29/12/2025,3.9000000000000004,Local,1610.0,1810.0,1710.0
31/12/2025,2.8000000000000003,Local,1786.0,1786.0,1786.0
Market Name : Davangere APMC
03/12/2025,2.0,Cauliflower,1500.0,2800.0,2200.0
04/12/2025,2.5,Cauliflower,1600.0,3000.0,2800.0
09/12/2025,2.5,Cauliflower,1500.0,2800.0,2200.0
10/12/2025,2.0,Cauliflower,1400.0,2600.0,2000.0
11/12/2025,2.5,Cauliflower,1500.0,2800.0,2200.0
12/12/2025,2.0,Cauliflower,1400.0,2700.0,2100.0
16/12/2025,2.5,Cauliflower,1500.0,2800.0,2200.0
17/12/2025,2.0,Cauliflower,1600.0,3000.0,2300.0
18/12/2025,2.5,Cauliflower,1500.0,2700.0,2100.0
19/12/2025,2.0,Cauliflower,1600.0,2900.0,2300.0
20/12/2025,2.0,Cauliflower,1500.0,2800.0,2200.0
23/12/2025,2.5,Cauliflower,1400.0,2700.0,2000.0
24/12/2025,2.0,Cauliflower,1500.0,2900.0,2200.0
26/12/2025,2.0,Cauliflower,1400.0,2800.0,2100.0
30/12/2025,2.0,Cauliflower,1500.0,3000.0,2300.0
31/12/2025,1.5,Cauliflower,1400.0,2800.0,2100.0
Market Name : Doddaballa Pur APMC
01/12/2025,0.6000000000000001,Cauliflower,1500.0,2000.0,1700.0
02/12/2025,0.6000000000000001,Cauliflower,1000.0,2000.0,1600.0
03/12/2025,0.6000000000000001,Cauliflower,1500.0,2000.0,1700.0
04/12/2025,0.6000000000000001,Cauliflower,1000.0,1500.0,1250.0
06/12/2025,0.8,Cauliflower,1000.0,1500.0,1300.0
08/12/2025,0.30000000000000004,Cauliflower,1000.0,1500.0,1200.0
09/12/2025,0.6000000000000001,Cauliflower,1000.0,1500.0,1250.0
10/12/2025,1.0,Cauliflower,1000.0,1600.0,1300.0
11/12/2025,0.9,Cauliflower,1000.0,1600.0,1300.0
12/12/2025,0.4,Cauliflower,1000.0,1600.0,1300.0
15/12/2025,0.6000000000000001,Cauliflower,1000.0,1600.0,1300.0
16/12/2025,0.6000000000000001,Cauliflower,1000.0,1600.0,1300.0
18/12/2025,0.6000000000000001,Cauliflower,1000.0,1500.0,1250.0
19/12/2025,0.6000000000000001,Cauliflower,1000.0,1500.0,1200.0
20/12/2025,0.6000000000000001,Cauliflower,1000.0,1600.0,1300.0
22/12/2025,0.6000000000000001,Cauliflower,1000.0,1600.0,1300.0
23/12/2025,0.6000000000000001,Cauliflower,1000.0,1600.0,1300.0
24/12/2025,0.2,Cauliflower,1000.0,1600.0,1300.0
29/12/2025,0.30000000000000004,Cauliflower,1000.0,1500.0,1250.0
30/12/2025,0.6000000000000001,Cauliflower,1000.0,1500.0,1200.0
Market Name : Gowribidanoor APMC
03/12/2025,0.30000000000000004,Local,2500.0,3500.0,3000.0
04/12/2025,0.30000000000000004,Local,1500.0,2500.0,2000.0
12/12/2025,0.30000000000000004,Local,1500.0,2500.0,2000.0
17/12/2025,0.30000000000000004,Local,1500.0,2800.0,2000.0
18/12/2025,0.30000000000000004,Local,1500.0,3000.0,2500.0
22/12/2025,0.30000000000000004,Local,2000.0,3000.0,2500.0
24/12/2025,0.30000000000000004,Local,2000.0,3000.0,2500.0
26/12/2025,0.2,Local,2000.0,2800.0,2500.0
29/12/2025,0.2,Local,2000.0,3000.0,2500.0
31/12/2025,0.30000000000000004,Local,2500.0,3500.0,3000.0
Market Name : Hoskote APMC
01/12/2025,35.0,Cauliflower,2900.0,3100.0,3000.0
