date,market,arrival,modal_price
2025-12-02,Bangarpet APMC,0.4,2000.0
2025-12-04,Bangarpet APMC,0.8,900.0
2025-12-06,Bangarpet APMC,0.4,1000.0
2025-12-08,Bangarpet APMC,0.5,1500.0
2025-12-09,Bangarpet APMC,0.4,1000.0
2025-12-10,Bangarpet APMC,0.4,1000.0
2025-12-12,Bangarpet APMC,0.8,1000.0
2025-12-15,Bangarpet APMC,0.6000000000000001,700.0
2025-12-16,Bangarpet APMC,0.4,1000.0
2025-12-17,Bangarpet APMC,0.4,1000.0
2025-12-19,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-22,Bangarpet APMC,0.5,1000.0
2025-12-23,Bangarpet APMC,0.3,1000.0
2025-12-24,Bangarpet APMC,0.4,1500.0
2025-12-26,Bangarpet APMC,0.3,1500.0
2025-12-30,Bangarpet APMC,0.4,1000.0
2025-12-11,Belgaum APMC,14.5,1800.0
2025-12-20,Belgaum APMC,21.0,5500.0
2025-12-31,Belgaum APMC,26.0,2800.0
2025-12-22,Bhagepalli APMC,0.2,800.0
2025-12-02,Bhagepalli APMC,8.200000000000001,2500.0
2025-12-03,Bhagepalli APMC,8.700000000000001,2600.0
2025-12-04,Bhagepalli APMC,9.2,2300.0
2025-12-05,Bhagepalli APMC,6.7,2500.0
2025-12-15,Bhagepalli APMC,12.8,2400.0
2025-12-16,Bhagepalli APMC,8.0,2500.0
2025-12-17,Bhagepalli APMC,7.1000000000000005,2600.0
2025-12-18,Bhagepalli APMC,8.4,2500.0
2025-12-19,Bhagepalli APMC,7.1000000000000005,2500.0
2025-12-20,Bhagepalli APMC,9.4,2500.0
2025-12-22,Bhagepalli APMC,10.0,2200.0
2025-12-23,Bhagepalli APMC,7.4,2300.0
2025-12-24,Bhagepalli APMC,8.200000000000001,2400.0
2025-12-26,Bhagepalli APMC,17.6,2400.0
2025-12-29,Bhagepalli APMC,17.0,2800.0
2025-12-30,Bhagepalli APMC,8.5,2800.0
2025-12-31,Bhagepalli APMC,5.5,2300.0
2025-12-08,Chikkamagalore APMC,3.9,1710.0
2025-12-15,Chikkamagalore APMC,5.800000000000001,2012.0
2025-12-17,Chikkamagalore APMC,1.1,1667.0
2025-12-19,Chikkamagalore APMC,4.6000000000000005,1812.0
2025-12-22,Chikkamagalore APMC,2.0,1667.0
2025-12-29,Chikkamagalore APMC,3.9,1710.0
2025-12-31,Chikkamagalore APMC,2.8000000000000003,1786.0
2025-12-03,Davangere APMC,2.0,2200.0
2025-12-04,Davangere APMC,2.5,2800.0
2025-12-09,Davangere APMC,2.5,2200.0
2025-12-10,Davangere APMC,2.0,2000.0
2025-12-11,Davangere APMC,2.5,2200.0
2025-12-12,Davangere APMC,2.0,2100.0
2025-12-16,Davangere APMC,2.5,2200.0
2025-12-17,Davangere APMC,2.0,2300.0
2025-12-18,Davangere APMC,2.5,2100.0
2025-12-19,Davangere APMC,2.0,2300.0
2025-12-20,Davangere APMC,2.0,2200.0
2025-12-23,Davangere APMC,2.5,2000.0
2025-12-24,Davangere APMC,2.0,2200.0
2025-12-26,Davangere APMC,2.0,2100.0
2025-12-30,Davangere APMC,2.0,2300.0
2025-12-31,Davangere APMC,1.5,2100.0
2025-12-01,Doddaballa Pur APMC,0.6000000000000001,1700.0
2025-12-02,Doddaballa Pur APMC,0.6000000000000001,1600.0
2025-12-03,Doddaballa Pur APMC,0.6000000000000001,1700.0
2025-12-04,Doddaballa Pur APMC,0.6000000000000001,1250.0
2025-12-06,Doddaballa Pur APMC,0.8,1300.0
2025-12-08,Doddaballa Pur APMC,0.3,1200.0
2025-12-09,Doddaballa Pur APMC,0.6000000000000001,1250.0
2025-12-10,Doddaballa Pur APMC,1.0,1300.0
2025-12-11,Doddaballa Pur APMC,0.9,1300.0
2025-12-12,Doddaballa Pur APMC,0.4,1300.0
2025-12-15,Doddaballa Pur APMC,0.6000000000000001,1300.0
2025-12-16,Doddaballa Pur APMC,0.6000000000000001,1300.0
2025-12-18,Doddaballa Pur APMC,0.6000000000000001,1250.0
2025-12-19,Doddaballa Pur APMC,0.6000000000000001,1200.0
2025-12-20,Doddaballa Pur APMC,0.6000000000000001,1300.0
2025-12-22,Doddaballa Pur APMC,0.6000000000000001,1300.0
2025-12-23,Doddaballa Pur APMC,0.6000000000000001,1300.0
2025-12-24,Doddaballa Pur APMC,0.2,1300.0
2025-12-29,Doddaballa Pur APMC,0.3,1250.0
2025-12-30,Doddaballa Pur APMC,0.6000000000000001,1200.0
2025-12-03,Gowribidanoor APMC,0.3,3000.0
2025-12-04,Gowribidanoor APMC,0.3,2000.0
2025-12-12,Gowribidanoor APMC,0.3,2000.0
2025-12-17,Gowribidanoor APMC,0.3,2000.0
2025-12-18,Gowribidanoor APMC,0.3,2500.0
2025-12-22,Gowribidanoor APMC,0.3,2500.0
2025-12-24,Gowribidanoor APMC,0.3,2500.0
2025-12-26,Gowribidanoor APMC,0.2,2500.0
2025-12-29,Gowribidanoor APMC,0.2,2500.0
2025-12-31,Gowribidanoor APMC,0.3,3000.0
2025-12-01,Hoskote APMC,35.0,3000.0
2025-12-03,Hoskote APMC,16.0,2800.0
2025-12-15,Hoskote APMC,9.0,2700.0
2025-12-29,Hoskote APMC,18.0,2850.0
2025-12-17,Kolar APMC,7.0,1800.0
2025-12-18,Kolar APMC,7.6,1600.0
2025-12-22,Kolar APMC,11.0,1300.0
2025-12-09,Mysore (Bandipalya) APMC,1.5,2900.0
2025-12-11,Mysore (Bandipalya) APMC,1.7000000000000002,2400.0
2025-12-15,Mysore (Bandipalya) APMC,3.2,3100.0
2025-12-16,Mysore (Bandipalya) APMC,2.5,3100.0
2025-12-22,Mysore (Bandipalya) APMC,3.1,1400.0
2025-12-29,Mysore (Bandipalya) APMC,2.1,1000.0
2025-12-30,Mysore (Bandipalya) APMC,3.7,1500.0
2025-12-01,Ramanagara APMC,1.6,3000.0
2025-12-02,Ramanagara APMC,1.6,3000.0
2025-12-03,Ramanagara APMC,1.4,2500.0
2025-12-04,Ramanagara APMC,1.4,2400.0
2025-12-05,Ramanagara APMC,1.6,3200.0
2025-12-06,Ramanagara APMC,1.6,3000.0
2025-12-07,Ramanagara APMC,1.2000000000000002,3000.0
2025-12-08,Ramanagara APMC,1.6,2400.0
2025-12-09,Ramanagara APMC,1.2000000000000002,2800.0
2025-12-10,Ramanagara APMC,1.4,3000.0
2025-12-11,Ramanagara APMC,1.6,2400.0
2025-12-12,Ramanagara APMC,1.3,2400.0
2025-12-13,Ramanagara APMC,1.6,4000.0
2025-12-14,Ramanagara APMC,1.5,3200.0
2025-12-15,Ramanagara APMC,1.2000000000000002,3000.0
2025-12-16,Ramanagara APMC,1.5,3200.0
2025-12-17,Ramanagara APMC,1.6,4000.0
2025-12-18,Ramanagara APMC,1.2000000000000002,3500.0
2025-12-19,Ramanagara APMC,1.2000000000000002,3500.0
2025-12-20,Ramanagara APMC,1.2000000000000002,3500.0
2025-12-21,Ramanagara APMC,1.6,3300.0
2025-12-22,Ramanagara APMC,1.2000000000000002,3000.0
2025-12-23,Ramanagara APMC,1.6,2400.0
2025-12-24,Ramanagara APMC,1.6,2400.0
2025-12-26,Ramanagara APMC,1.6,2800.0
2025-12-27,Ramanagara APMC,1.6,3000.0
2025-12-29,Ramanagara APMC,1.4,3000.0
2025-12-30,Ramanagara APMC,1.6,2000.0
2025-12-31,Ramanagara APMC,1.6,2000.0
2025-12-11,Ranebennur APMC,0.5,2300.0
2025-12-31,Ranebennur APMC,0.6000000000000001,1800.0
2025-12-01,Shimoga APMC,4.5,1400.0
2025-12-02,Shimoga APMC,1.9,2250.0
2025-12-03,Shimoga APMC,1.1,2400.0
2025-12-08,Shimoga APMC,0.6000000000000001,2750.0
2025-12-11,Shimoga APMC,3.0,1800.0
2025-12-12,Shimoga APMC,0.1,1800.0
