"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Green Chilli, State : Karnataka"
"Commodity : Green Chilli, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
15/12/2025,9.0,Green Chilly,2500.0,5000.0,4000.0
22/12/2025,7.2,Green Chilly,1250.0,5000.0,3000.0
Market Name : Bangarpet APMC
01/12/2025,0.8,Green Chilly,2300.0,2700.0,2500.0
02/12/2025,0.7000000000000001,Green Chilly,1300.0,2700.0,2500.0
03/12/2025,0.6000000000000001,Green Chilly,2300.0,2700.0,2500.0
04/12/2025,0.8,Green Chilly,2000.0,2500.0,2300.0
05/12/2025,0.6000000000000001,Green Chilly,2000.0,2700.0,2500.0
06/12/2025,0.6000000000000001,Green Chilly,2000.0,2600.0,2300.0
08/12/2025,1.3,Green Chilly,1500.0,2500.0,2000.0
09/12/2025,0.7000000000000001,Green Chilly,2000.0,2500.0,2300.0
11/12/2025,0.7000000000000001,Green Chilly,2000.0,2500.0,2200.0
12/12/2025,1.0,Green Chilly,2000.0,2500.0,2300.0
15/12/2025,1.0,Green Chilly,2000.0,2500.0,2300.0
16/12/2025,0.8,Green Chilly,2000.0,2500.0,2300.0
17/12/2025,0.9,Green Chilly,1500.0,2500.0,2300.0
18/12/2025,1.0,Green Chilly,2000.0,3000.0,2700.0
19/12/2025,0.8,Green Chilly,2000.0,2500.0,2300.0
20/12/2025,0.8,Green Chilly,2000.0,2500.0,2300.0
22/12/2025,1.0,Green Chilly,2500.0,3500.0,3000.0
23/12/2025,0.8,Green Chilly,2000.0,3000.0,2500.0
24/12/2025,0.8,Green Chilly,2000.0,3000.0,2500.0
26/12/2025,0.8,Green Chilly,2000.0,2500.0,2300.0
29/12/2025,0.9,Green Chilly,1500.0,2500.0,2300.0
30/12/2025,0.8,Green Chilly,1500.0,2500.0,2000.0
31/12/2025,0.8,Green Chilly,2000.0,2500.0,2000.0
Market Name : Belgaum APMC
10/12/2025,12.0,Green Chilly,2500.0,2700.0,2600.0
11/12/2025,21.5,Green Chilly,3700.0,5000.0,4500.0
20/12/2025,28.0,Green Chilly,2550.0,2800.0,2700.0
31/12/2025,31.0,Green Chilly,2500.0,5500.0,3500.0
Market Name : Bhagepalli APMC
16/12/2025,0.8,Green Chilly,2000.0,3200.0,2900.0
17/12/2025,0.6000000000000001,Green Chilly,2200.0,3200.0,2900.0
18/12/2025,1.1,Green Chilly,2500.0,3500.0,3000.0
20/12/2025,0.9,Green Chilly,2200.0,3200.0,3000.0
22/12/2025,0.6000000000000001,Green Chilly,2400.0,3500.0,3000.0
23/12/2025,0.7000000000000001,Green Chilly,2600.0,3800.0,3500.0
24/12/2025,1.0,Green Chilly,2500.0,3500.0,3200.0
31/12/2025,1.1,Green Chilly,2800.0,3600.0,3200.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,20.1,Green Chilly,3500.0,4000.0,3800.0
03/12/2025,24.6,Green Chilly,3500.0,4000.0,3800.0
04/12/2025,24.400000000000002,Green Chilly,4000.0,4500.0,4300.0
05/12/2025,20.0,Green Chilly,4000.0,4500.0,4300.0
15/12/2025,51.300000000000004,Green Chilly,4000.0,5000.0,4500.0
16/12/2025,20.8,Green Chilly,4000.0,5000.0,4500.0
17/12/2025,33.1,Green Chilly,4000.0,5000.0,4500.0
18/12/2025,25.3,Green Chilly,4000.0,5000.0,4500.0
19/12/2025,23.6,Green Chilly,4000.0,5000.0,4500.0
20/12/2025,26.900000000000002,Green Chilly,4000.0,5000.0,4500.0
22/12/2025,30.900000000000002,Green Chilly,3800.0,4200.0,4100.0
23/12/2025,30.6,Green Chilly,3800.0,4200.0,4100.0
24/12/2025,27.5,Green Chilly,3800.0,4200.0,4100.0
26/12/2025,64.5,Green Chilly,4000.0,5000.0,4500.0
29/12/2025,57.300000000000004,Green Chilly,4000.0,5000.0,4500.0
30/12/2025,24.900000000000002,Green Chilly,4500.0,5000.0,4800.0
31/12/2025,33.0,Green Chilly,4000.0,5000.0,4500.0
Market Name : Chamaraj Nagar APMC
04/12/2025,3.5,Green Chilly,2000.0,2500.0,2300.0
05/12/2025,5.0,Green Chilly,2500.0,3000.0,2750.0
06/12/2025,4.0,Green Chilly,2500.0,2800.0,2650.0
08/12/2025,5.0,Green Chilly,3000.0,3500.0,3300.0
09/12/2025,4.0,Green Chilly,2000.0,2500.0,2300.0
10/12/2025,5.5,Green Chilly,3000.0,3500.0,3300.0
11/12/2025,5.0,Green Chilly,3000.0,3500.0,3300.0
12/12/2025,4.5,Green Chilly,3000.0,3500.0,3300.0
13/12/2025,2.5,Green Chilly,3000.0,4000.0,3500.0
