date,market,arrival,modal_price
2025-12-15,Arasikere APMC,9.0,4000.0
2025-12-22,Arasikere APMC,7.2,3000.0
2025-12-01,Bangarpet APMC,0.8,2500.0
2025-12-02,Bangarpet APMC,0.7000000000000001,2500.0
2025-12-03,Bangarpet APMC,0.6000000000000001,2500.0
2025-12-04,Bangarpet APMC,0.8,2300.0
2025-12-05,Bangarpet APMC,0.6000000000000001,2500.0
2025-12-06,Bangarpet APMC,0.6000000000000001,2300.0
2025-12-08,Bangarpet APMC,1.3,2000.0
2025-12-09,Bangarpet APMC,0.7000000000000001,2300.0
2025-12-11,Bangarpet APMC,0.7000000000000001,2200.0
2025-12-12,Bangarpet APMC,1.0,2300.0
2025-12-15,Bangarpet APMC,1.0,2300.0
2025-12-16,Bangarpet APMC,0.8,2300.0
2025-12-17,Bangarpet APMC,0.9,2300.0
2025-12-18,Bangarpet APMC,1.0,2700.0
2025-12-19,Bangarpet APMC,0.8,2300.0
2025-12-20,Bangarpet APMC,0.8,2300.0
2025-12-22,Bangarpet APMC,1.0,3000.0
2025-12-23,Bangarpet APMC,0.8,2500.0
2025-12-24,Bangarpet APMC,0.8,2500.0
2025-12-26,Bangarpet APMC,0.8,2300.0
2025-12-29,Bangarpet APMC,0.9,2300.0
2025-12-30,Bangarpet APMC,0.8,2000.0
2025-12-31,Bangarpet APMC,0.8,2000.0
2025-12-10,Belgaum APMC,12.0,2600.0
2025-12-11,Belgaum APMC,21.5,4500.0
2025-12-20,Belgaum APMC,28.0,2700.0
2025-12-31,Belgaum APMC,31.0,3500.0
2025-12-16,Bhagepalli APMC,0.8,2900.0
2025-12-17,Bhagepalli APMC,0.6000000000000001,2900.0
2025-12-18,Bhagepalli APMC,1.1,3000.0
2025-12-20,Bhagepalli APMC,0.9,3000.0
2025-12-22,Bhagepalli APMC,0.6000000000000001,3000.0
2025-12-23,Bhagepalli APMC,0.7000000000000001,3500.0
2025-12-24,Bhagepalli APMC,1.0,3200.0
2025-12-31,Bhagepalli APMC,1.1,3200.0
2025-12-02,Bhagepalli APMC,20.1,3800.0
2025-12-03,Bhagepalli APMC,24.6,3800.0
2025-12-04,Bhagepalli APMC,24.4,4300.0
2025-12-05,Bhagepalli APMC,20.0,4300.0
2025-12-15,Bhagepalli APMC,51.3,4500.0
2025-12-16,Bhagepalli APMC,20.8,4500.0
2025-12-17,Bhagepalli APMC,33.1,4500.0
2025-12-18,Bhagepalli APMC,25.3,4500.0
2025-12-19,Bhagepalli APMC,23.6,4500.0
2025-12-20,Bhagepalli APMC,26.9,4500.0
2025-12-22,Bhagepalli APMC,30.9,4100.0
2025-12-23,Bhagepalli APMC,30.6,4100.0
2025-12-24,Bhagepalli APMC,27.5,4100.0
2025-12-26,Bhagepalli APMC,64.5,4500.0
2025-12-29,Bhagepalli APMC,57.3,4500.0
2025-12-30,Bhagepalli APMC,24.9,4800.0
2025-12-31,Bhagepalli APMC,33.0,4500.0
2025-12-04,Chamaraj Nagar APMC,3.5,2300.0
2025-12-05,Chamaraj Nagar APMC,5.0,2750.0
2025-12-06,Chamaraj Nagar APMC,4.0,2650.0
2025-12-08,Chamaraj Nagar APMC,5.0,3300.0
2025-12-09,Chamaraj Nagar APMC,4.0,2300.0
2025-12-10,Chamaraj Nagar APMC,5.5,3300.0
2025-12-11,Chamaraj Nagar APMC,5.0,3300.0
2025-12-12,Chamaraj Nagar APMC,4.5,3300.0
2025-12-13,Chamaraj Nagar APMC,2.5,3500.0
2025-12-15,Chamaraj Nagar APMC,3.0,4000.0
2025-12-16,Chamaraj Nagar APMC,3.0,4300.0
2025-12-18,Chamaraj Nagar APMC,5.5,4300.0
2025-12-19,Chamaraj Nagar APMC,5.0,3750.0
2025-12-20,Chamaraj Nagar APMC,4.0,3750.0
2025-12-22,Chamaraj Nagar APMC,5.0,3750.0
2025-12-23,Chamaraj Nagar APMC,3.5,3750.0
2025-12-24,Chamaraj Nagar APMC,5.5,4300.0
2025-12-25,Chamaraj Nagar APMC,5.5,3750.0
2025-12-26,Chamaraj Nagar APMC,3.0,4000.0
2025-12-27,Chamaraj Nagar APMC,3.0,4300.0
2025-12-29,Chamaraj Nagar APMC,4.0,3300.0
2025-12-30,Chamaraj Nagar APMC,3.5,3500.0
2025-12-31,Chamaraj Nagar APMC,4.0,2750.0
2025-12-03,Channapatana APMC,0.3,3200.0
2025-12-16,Channapatana APMC,0.2,5300.0
2025-12-17,Channapatana APMC,6.0,3800.0
2025-12-18,Channapatana APMC,0.3,5400.0
2025-12-22,Channapatana APMC,0.2,5300.0
2025-12-03,Chikkamagalore APMC,1.0,3334.0
2025-12-05,Chikkamagalore APMC,2.2,3031.0
2025-12-08,Chikkamagalore APMC,2.8000000000000003,3274.0
2025-12-15,Chikkamagalore APMC,4.5,3334.0
2025-12-16,Chikkamagalore APMC,1.1,3031.0
2025-12-17,Chikkamagalore APMC,1.1,3031.0
2025-12-18,Chikkamagalore APMC,0.9,3704.0
2025-12-19,Chikkamagalore APMC,1.1,3031.0
2025-12-20,Chikkamagalore APMC,2.7,3087.0
2025-12-22,Chikkamagalore APMC,1.4,3571.0
2025-12-24,Chikkamagalore APMC,2.5,3334.0
2025-12-29,Chikkamagalore APMC,6.6000000000000005,3788.0
2025-12-31,Chikkamagalore APMC,1.4,3571.0
2025-12-01,Chintamani APMC,1.0,2500.0
2025-12-05,Chintamani APMC,1.0,3000.0
2025-12-06,Chintamani APMC,1.0,3000.0
2025-12-08,Chintamani APMC,1.0,3000.0
2025-12-09,Chintamani APMC,1.0,3000.0
2025-12-11,Chintamani APMC,1.0,3000.0
2025-12-12,Chintamani APMC,0.9,3000.0
2025-12-15,Chintamani APMC,1.0,3000.0
2025-12-16,Chintamani APMC,0.9,3000.0
2025-12-19,Chintamani APMC,1.0,3000.0
2025-12-20,Chintamani APMC,0.9,2500.0
2025-12-22,Chintamani APMC,0.9,3000.0
2025-12-23,Chintamani APMC,1.0,3000.0
2025-12-26,Chintamani APMC,0.8,2500.0
2025-12-29,Chintamani APMC,0.9,3000.0
2025-12-30,Chintamani APMC,1.0,2500.0
2025-12-03,Davangere APMC,4.0,2200.0
