date,market,arrival,modal_price
2025-12-15,Arasikere APMC,0.5,5000.0
2025-12-22,Arasikere APMC,2.0,1500.0
2025-12-03,Bangarpet APMC,0.8,2000.0
2025-12-04,Bangarpet APMC,0.5,2000.0
2025-12-05,Bangarpet APMC,0.7000000000000001,2000.0
2025-12-06,Bangarpet APMC,0.6000000000000001,1700.0
2025-12-08,Bangarpet APMC,1.0,1700.0
2025-12-10,Bangarpet APMC,0.6000000000000001,3500.0
2025-12-11,Bangarpet APMC,0.4,1300.0
2025-12-12,Bangarpet APMC,0.4,3000.0
2025-12-15,Bangarpet APMC,0.9,1500.0
2025-12-16,Bangarpet APMC,0.4,2200.0
2025-12-17,Bangarpet APMC,0.6000000000000001,4000.0
2025-12-18,Bangarpet APMC,0.7000000000000001,3000.0
2025-12-19,Bangarpet APMC,0.6000000000000001,1500.0
2025-12-20,Bangarpet APMC,0.7000000000000001,2000.0
2025-12-22,Bangarpet APMC,1.1,2000.0
2025-12-23,Bangarpet APMC,0.7000000000000001,2300.0
2025-12-24,Bangarpet APMC,0.7000000000000001,3000.0
2025-12-29,Bangarpet APMC,0.8,2000.0
2025-12-30,Bangarpet APMC,0.7000000000000001,3000.0
2025-12-31,Bangarpet APMC,0.8,2500.0
2025-12-10,Belgaum APMC,10.0,3700.0
2025-12-31,Belgaum APMC,25.0,3500.0
2025-12-20,Bhagepalli APMC,0.2,2500.0
2025-12-02,Bhagepalli APMC,14.3,4700.0
2025-12-03,Bhagepalli APMC,11.2,4700.0
2025-12-04,Bhagepalli APMC,13.4,3800.0
2025-12-05,Bhagepalli APMC,10.8,3800.0
2025-12-15,Bhagepalli APMC,26.1,4300.0
2025-12-16,Bhagepalli APMC,12.5,4300.0
2025-12-17,Bhagepalli APMC,12.0,4300.0
2025-12-18,Bhagepalli APMC,13.0,4300.0
2025-12-19,Bhagepalli APMC,14.0,4300.0
2025-12-20,Bhagepalli APMC,18.8,4300.0
2025-12-22,Bhagepalli APMC,11.7,3600.0
2025-12-23,Bhagepalli APMC,12.2,3600.0
2025-12-24,Bhagepalli APMC,15.9,3600.0
2025-12-26,Bhagepalli APMC,37.4,3700.0
2025-12-29,Bhagepalli APMC,26.3,3700.0
2025-12-30,Bhagepalli APMC,14.1,3600.0
2025-12-31,Bhagepalli APMC,11.9,3800.0
2025-12-15,Chikkamagalore APMC,0.5,3334.0
2025-12-16,Chikkamagalore APMC,0.7000000000000001,4763.0
2025-12-01,Chintamani APMC,0.6000000000000001,2500.0
2025-12-05,Chintamani APMC,0.7000000000000001,3000.0
2025-12-06,Chintamani APMC,0.7000000000000001,2500.0
2025-12-08,Chintamani APMC,0.7000000000000001,2000.0
2025-12-09,Chintamani APMC,0.7000000000000001,2500.0
2025-12-11,Chintamani APMC,0.5,2500.0
2025-12-12,Chintamani APMC,0.4,2000.0
2025-12-15,Chintamani APMC,0.5,3000.0
2025-12-16,Chintamani APMC,0.5,3000.0
2025-12-18,Chintamani APMC,0.6000000000000001,3000.0
2025-12-19,Chintamani APMC,0.6000000000000001,2000.0
2025-12-20,Chintamani APMC,0.6000000000000001,3000.0
2025-12-22,Chintamani APMC,0.5,3000.0
2025-12-23,Chintamani APMC,0.7000000000000001,2500.0
2025-12-26,Chintamani APMC,0.6000000000000001,2500.0
2025-12-29,Chintamani APMC,0.6000000000000001,2500.0
2025-12-30,Chintamani APMC,0.6000000000000001,2500.0
2025-12-03,Davangere APMC,1.5,4000.0
2025-12-04,Davangere APMC,2.0,4000.0
2025-12-09,Davangere APMC,2.0,4200.0
2025-12-10,Davangere APMC,1.5,4000.0
2025-12-11,Davangere APMC,2.0,4000.0
2025-12-12,Davangere APMC,1.5,4000.0
2025-12-16,Davangere APMC,2.0,4000.0
2025-12-17,Davangere APMC,1.5,4000.0
2025-12-18,Davangere APMC,2.5,2100.0
2025-12-19,Davangere APMC,1.0,4300.0
2025-12-20,Davangere APMC,1.0,4000.0
2025-12-23,Davangere APMC,1.0,3800.0
2025-12-24,Davangere APMC,0.5,3700.0
2025-12-26,Davangere APMC,1.0,3400.0
2025-12-30,Davangere APMC,1.0,3500.0
2025-12-31,Davangere APMC,1.0,3500.0
2025-12-01,Doddaballa Pur APMC,0.5,4200.0
2025-12-02,Doddaballa Pur APMC,0.5,4000.0
2025-12-04,Doddaballa Pur APMC,0.6000000000000001,3500.0
2025-12-10,Doddaballa Pur APMC,0.3,3600.0
2025-12-11,Doddaballa Pur APMC,0.5,3600.0
2025-12-16,Doddaballa Pur APMC,0.4,3500.0
2025-12-22,Doddaballa Pur APMC,0.6000000000000001,3600.0
2025-12-23,Doddaballa Pur APMC,0.3,3600.0
2025-12-29,Doddaballa Pur APMC,0.5,2750.0
2025-12-30,Doddaballa Pur APMC,0.2,2800.0
2025-12-01,Kalburgi APMC,0.4,1500.0
2025-12-02,Kalburgi APMC,0.3,2000.0
2025-12-03,Kalburgi APMC,0.4,2000.0
2025-12-04,Kalburgi APMC,0.3,1500.0
2025-12-09,Kalburgi APMC,0.3,1750.0
2025-12-10,Kalburgi APMC,0.4,1750.0
2025-12-12,Kalburgi APMC,0.3,2000.0
2025-12-15,Kalburgi APMC,0.3,2000.0
2025-12-16,Kalburgi APMC,0.3,2250.0
2025-12-17,Kalburgi APMC,0.5,2500.0
2025-12-18,Kalburgi APMC,0.3,2500.0
2025-12-19,Kalburgi APMC,0.4,2500.0
2025-12-20,Kalburgi APMC,0.4,3000.0
2025-12-22,Kalburgi APMC,0.4,3000.0
2025-12-23,Kalburgi APMC,0.3,3000.0
2025-12-24,Kalburgi APMC,0.5,3000.0
2025-12-26,Kalburgi APMC,0.3,3000.0
2025-12-29,Kalburgi APMC,0.3,3000.0
2025-12-30,Kalburgi APMC,0.2,3000.0
2025-12-31,Kalburgi APMC,0.3,2750.0
2025-12-17,Kolar APMC,3.0,4000.0
2025-12-22,Kolar APMC,7.5,3200.0
2025-12-31,Malur APMC,53.8,4500.0
2025-12-09,Mysore (Bandipalya) APMC,3.4000000000000004,4000.0
2025-12-11,Mysore (Bandipalya) APMC,4.800000000000001,4000.0
2025-12-15,Mysore (Bandipalya) APMC,5.800000000000001,4400.0
2025-12-16,Mysore (Bandipalya) APMC,6.5,4400.0
2025-12-22,Mysore (Bandipalya) APMC,5.800000000000001,4400.0
2025-12-29,Mysore (Bandipalya) APMC,5.800000000000001,3900.0
2025-12-30,Mysore (Bandipalya) APMC,6.300000000000001,3900.0
2025-12-01,Ramanagara APMC,0.7000000000000001,6000.0
2025-12-02,Ramanagara APMC,0.8,5000.0
2025-12-03,Ramanagara APMC,0.8,4400.0
2025-12-04,Ramanagara APMC,0.8,4400.0
2025-12-05,Ramanagara APMC,0.8,4400.0
2025-12-06,Ramanagara APMC,0.8,4400.0
2025-12-07,Ramanagara APMC,0.8,5500.0
2025-12-08,Ramanagara APMC,0.8,5000.0
2025-12-09,Ramanagara APMC,0.8,5000.0
2025-12-10,Ramanagara APMC,0.6000000000000001,6500.0
2025-12-11,Ramanagara APMC,0.8,6000.0
2025-12-12,Ramanagara APMC,0.6000000000000001,7200.0
2025-12-13,Ramanagara APMC,0.8,7200.0
2025-12-14,Ramanagara APMC,0.8,5000.0
2025-12-15,Ramanagara APMC,0.8,6000.0
2025-12-16,Ramanagara APMC,0.8,5500.0
2025-12-17,Ramanagara APMC,0.8,5000.0
2025-12-18,Ramanagara APMC,0.6000000000000001,6000.0
2025-12-19,Ramanagara APMC,0.8,5500.0
2025-12-20,Ramanagara APMC,0.8,5000.0
2025-12-21,Ramanagara APMC,0.8,5500.0
2025-12-22,Ramanagara APMC,0.8,6200.0
2025-12-23,Ramanagara APMC,0.7000000000000001,5500.0
2025-12-24,Ramanagara APMC,0.8,5000.0
2025-12-26,Ramanagara APMC,0.8,5000.0
2025-12-27,Ramanagara APMC,0.7000000000000001,4400.0
2025-12-29,Ramanagara APMC,0.8,6800.0
2025-12-30,Ramanagara APMC,0.8,6000.0
2025-12-31,Ramanagara APMC,0.8,5000.0
2025-12-10,Ranebennur APMC,0.5,2500.0
2025-12-29,Ranebennur APMC,0.4,2600.0
