"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Ladies Finger, State : Karnataka"
"Commodity : Ladies Finger, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
01/12/2025,0.7000000000000001,Ladies Finger,700.0,1300.0,1000.0
03/12/2025,0.5,Ladies Finger,1100.0,1800.0,1400.0
04/12/2025,0.7000000000000001,Ladies Finger,1000.0,2000.0,1500.0
06/12/2025,0.5,Ladies Finger,1200.0,1800.0,1500.0
08/12/2025,0.5,Ladies Finger,1000.0,1700.0,1500.0
09/12/2025,0.5,Ladies Finger,1500.0,2300.0,2000.0
11/12/2025,0.4,Ladies Finger,1000.0,2000.0,1500.0
15/12/2025,0.9,Ladies Finger,700.0,1300.0,1000.0
17/12/2025,0.6000000000000001,Ladies Finger,900.0,1500.0,1000.0
19/12/2025,0.6000000000000001,Ladies Finger,700.0,1200.0,1000.0
20/12/2025,0.30000000000000004,Ladies Finger,500.0,1300.0,1000.0
22/12/2025,0.7000000000000001,Ladies Finger,500.0,1000.0,700.0
23/12/2025,0.4,Ladies Finger,500.0,1000.0,800.0
24/12/2025,0.6000000000000001,Ladies Finger,700.0,1300.0,1000.0
26/12/2025,0.30000000000000004,Ladies Finger,1000.0,1500.0,1300.0
29/12/2025,0.4,Ladies Finger,2000.0,2500.0,2300.0
30/12/2025,0.7000000000000001,Ladies Finger,500.0,1300.0,1000.0
Market Name : Bhagepalli APMC
18/12/2025,0.2,Ladies Finger,1000.0,2000.0,1600.0
22/12/2025,0.2,Ladies Finger,1200.0,2200.0,1800.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,9.700000000000001,Ladies Finger,4000.0,5000.0,4700.0
03/12/2025,15.5,Ladies Finger,4000.0,5000.0,4700.0
04/12/2025,15.700000000000001,Ladies Finger,3800.0,4000.0,3900.0
05/12/2025,10.9,Ladies Finger,3800.0,4000.0,3900.0
15/12/2025,27.3,Ladies Finger,3300.0,3600.0,3400.0
16/12/2025,11.9,Ladies Finger,3300.0,3600.0,3400.0
17/12/2025,9.3,Ladies Finger,3300.0,3600.0,3400.0
18/12/2025,16.7,Ladies Finger,3000.0,3600.0,3400.0
19/12/2025,14.200000000000001,Ladies Finger,3000.0,3600.0,3400.0
20/12/2025,16.5,Ladies Finger,3000.0,3600.0,3400.0
22/12/2025,20.5,Ladies Finger,5000.0,7000.0,6000.0
23/12/2025,16.7,Ladies Finger,5000.0,7000.0,6000.0
24/12/2025,16.3,Ladies Finger,5000.0,7000.0,6000.0
26/12/2025,36.9,Ladies Finger,4500.0,5000.0,4700.0
29/12/2025,31.400000000000002,Ladies Finger,4500.0,5000.0,4700.0
30/12/2025,16.8,Ladies Finger,4500.0,5000.0,4700.0
31/12/2025,12.0,Ladies Finger,3800.0,4200.0,4000.0
Market Name : Channapatana APMC
03/12/2025,0.30000000000000004,Ladies Finger,2500.0,3000.0,2800.0
16/12/2025,0.30000000000000004,Ladies Finger,3600.0,4000.0,3800.0
17/12/2025,0.2,Ladies Finger,3600.0,4000.0,3800.0
18/12/2025,0.2,Ladies Finger,3600.0,4000.0,3800.0
22/12/2025,0.2,Ladies Finger,3800.0,4200.0,4000.0
Market Name : Chikkamagalore APMC
03/12/2025,2.0,Ladies Finger,2917.0,2917.0,2917.0
05/12/2025,1.1,Ladies Finger,3031.0,3031.0,3031.0
08/12/2025,2.3000000000000003,Ladies Finger,3623.0,3623.0,3623.0
15/12/2025,1.2000000000000002,Ladies Finger,2778.0,2778.0,2778.0
17/12/2025,1.7000000000000002,Ladies Finger,2941.0,2941.0,2941.0
19/12/2025,1.1,Ladies Finger,3031.0,3031.0,3031.0
20/12/2025,1.3,Ladies Finger,2565.0,2565.0,2565.0
22/12/2025,1.1,Ladies Finger,3031.0,3031.0,3031.0
24/12/2025,2.1,Ladies Finger,2778.0,2778.0,2778.0
29/12/2025,1.1,Ladies Finger,3031.0,3031.0,3031.0
31/12/2025,1.8,Ladies Finger,2778.0,2778.0,2778.0
Market Name : Chintamani APMC
01/12/2025,0.6000000000000001,Ladies Finger,1500.0,3000.0,2000.0
02/12/2025,0.7000000000000001,Ladies Finger,2000.0,3500.0,2500.0
04/12/2025,0.7000000000000001,Ladies Finger,1500.0,3000.0,2500.0
05/12/2025,0.7000000000000001,Ladies Finger,1500.0,3000.0,2000.0
06/12/2025,0.6000000000000001,Ladies Finger,2000.0,3500.0,2500.0
08/12/2025,0.7000000000000001,Ladies Finger,1500.0,3000.0,2000.0
09/12/2025,0.7000000000000001,Ladies Finger,2000.0,4000.0,2500.0
11/12/2025,0.7000000000000001,Ladies Finger,2000.0,3500.0,3000.0
12/12/2025,0.7000000000000001,Ladies Finger,2000.0,3500.0,2500.0
15/12/2025,0.6000000000000001,Ladies Finger,2000.0,3000.0,2500.0
