date,market,arrival,modal_price
2025-12-01,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-03,Bangarpet APMC,0.5,1400.0
2025-12-04,Bangarpet APMC,0.7000000000000001,1500.0
2025-12-06,Bangarpet APMC,0.5,1500.0
2025-12-08,Bangarpet APMC,0.5,1500.0
2025-12-09,Bangarpet APMC,0.5,2000.0
2025-12-11,Bangarpet APMC,0.4,1500.0
2025-12-15,Bangarpet APMC,0.9,1000.0
2025-12-17,Bangarpet APMC,0.6000000000000001,1000.0
2025-12-19,Bangarpet APMC,0.6000000000000001,1000.0
2025-12-20,Bangarpet APMC,0.3,1000.0
2025-12-22,Bangarpet APMC,0.7000000000000001,700.0
2025-12-23,Bangarpet APMC,0.4,800.0
2025-12-24,Bangarpet APMC,0.6000000000000001,1000.0
2025-12-26,Bangarpet APMC,0.3,1300.0
2025-12-29,Bangarpet APMC,0.4,2300.0
2025-12-30,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-18,Bhagepalli APMC,0.2,1600.0
2025-12-22,Bhagepalli APMC,0.2,1800.0
2025-12-02,Bhagepalli APMC,9.7,4700.0
2025-12-03,Bhagepalli APMC,15.5,4700.0
2025-12-04,Bhagepalli APMC,15.7,3900.0
2025-12-05,Bhagepalli APMC,10.9,3900.0
2025-12-15,Bhagepalli APMC,27.3,3400.0
2025-12-16,Bhagepalli APMC,11.9,3400.0
2025-12-17,Bhagepalli APMC,9.3,3400.0
2025-12-18,Bhagepalli APMC,16.7,3400.0
2025-12-19,Bhagepalli APMC,14.2,3400.0
2025-12-20,Bhagepalli APMC,16.5,3400.0
2025-12-22,Bhagepalli APMC,20.5,6000.0
2025-12-23,Bhagepalli APMC,16.7,6000.0
2025-12-24,Bhagepalli APMC,16.3,6000.0
2025-12-26,Bhagepalli APMC,36.9,4700.0
2025-12-29,Bhagepalli APMC,31.4,4700.0
2025-12-30,Bhagepalli APMC,16.8,4700.0
2025-12-31,Bhagepalli APMC,12.0,4000.0
2025-12-03,Channapatana APMC,0.3,2800.0
2025-12-16,Channapatana APMC,0.3,3800.0
2025-12-17,Channapatana APMC,0.2,3800.0
2025-12-18,Channapatana APMC,0.2,3800.0
2025-12-22,Channapatana APMC,0.2,4000.0
2025-12-03,Chikkamagalore APMC,2.0,2917.0
2025-12-05,Chikkamagalore APMC,1.1,3031.0
2025-12-08,Chikkamagalore APMC,2.3000000000000003,3623.0
2025-12-15,Chikkamagalore APMC,1.2000000000000002,2778.0
2025-12-17,Chikkamagalore APMC,1.7000000000000002,2941.0
2025-12-19,Chikkamagalore APMC,1.1,3031.0
2025-12-20,Chikkamagalore APMC,1.3,2565.0
2025-12-22,Chikkamagalore APMC,1.1,3031.0
2025-12-24,Chikkamagalore APMC,2.1,2778.0
2025-12-29,Chikkamagalore APMC,1.1,3031.0
2025-12-31,Chikkamagalore APMC,1.8,2778.0
2025-12-01,Chintamani APMC,0.6000000000000001,2000.0
2025-12-02,Chintamani APMC,0.7000000000000001,2500.0
2025-12-04,Chintamani APMC,0.7000000000000001,2500.0
2025-12-05,Chintamani APMC,0.7000000000000001,2000.0
2025-12-06,Chintamani APMC,0.6000000000000001,2500.0
2025-12-08,Chintamani APMC,0.7000000000000001,2000.0
2025-12-09,Chintamani APMC,0.7000000000000001,2500.0
2025-12-11,Chintamani APMC,0.7000000000000001,3000.0
2025-12-12,Chintamani APMC,0.7000000000000001,2500.0
2025-12-15,Chintamani APMC,0.6000000000000001,2500.0
2025-12-16,Chintamani APMC,0.6000000000000001,2500.0
2025-12-18,Chintamani APMC,0.7000000000000001,2000.0
2025-12-19,Chintamani APMC,0.6000000000000001,2500.0
2025-12-20,Chintamani APMC,0.6000000000000001,2500.0
2025-12-22,Chintamani APMC,0.6000000000000001,2500.0
2025-12-23,Chintamani APMC,0.8,2500.0
2025-12-26,Chintamani APMC,0.6000000000000001,2000.0
