"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Bottle gourd, State : Karnataka"
"Commodity : Bottle gourd, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
22/12/2025,1.0,Bottle Gourd,1000.0,1000.0,1000.0
Market Name : Bangarpet APMC
04/12/2025,0.4,Bottle Gourd,900.0,1700.0,1300.0
09/12/2025,0.7000000000000001,Bottle Gourd,1500.0,2300.0,2000.0
15/12/2025,0.30000000000000004,Bottle Gourd,500.0,1500.0,1000.0
23/12/2025,0.8,Bottle Gourd,1000.0,1500.0,1200.0
31/12/2025,0.4,Bottle Gourd,700.0,1300.0,1000.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,5.6000000000000005,Bottle Gourd,2200.0,2500.0,2400.0
03/12/2025,3.0,Bottle Gourd,2200.0,2500.0,2400.0
04/12/2025,5.300000000000001,Bottle Gourd,2000.0,2400.0,2300.0
05/12/2025,6.2,Bottle Gourd,2000.0,2400.0,2300.0
15/12/2025,15.9,Bottle Gourd,2000.0,2500.0,2300.0
16/12/2025,5.6000000000000005,Bottle Gourd,2000.0,2500.0,2300.0
17/12/2025,6.5,Bottle Gourd,2000.0,2500.0,2300.0
18/12/2025,7.300000000000001,Bottle Gourd,2000.0,2500.0,2300.0
19/12/2025,6.5,Bottle Gourd,2000.0,2500.0,2300.0
20/12/2025,6.9,Bottle Gourd,2200.0,2600.0,2400.0
22/12/2025,7.4,Bottle Gourd,2000.0,2500.0,2300.0
23/12/2025,7.7,Bottle Gourd,2000.0,2500.0,2300.0
24/12/2025,4.0,Bottle Gourd,2000.0,2500.0,2300.0
26/12/2025,17.1,Bottle Gourd,2000.0,2500.0,2300.0
29/12/2025,16.2,Bottle Gourd,2000.0,2500.0,2300.0
30/12/2025,6.1000000000000005,Bottle Gourd,2200.0,2400.0,2300.0
31/12/2025,13.5,Bottle Gourd,1800.0,2200.0,2000.0
Market Name : Davangere APMC
03/12/2025,1.5,Bottle Gourd,1600.0,2800.0,2200.0
04/12/2025,2.0,Bottle Gourd,1700.0,3000.0,2400.0
09/12/2025,2.5,Bottle Gourd,1400.0,2800.0,2100.0
10/12/2025,2.0,Bottle Gourd,1300.0,2700.0,2000.0
11/12/2025,2.5,Bottle Gourd,1200.0,2500.0,1800.0
12/12/2025,2.0,Bottle Gourd,1300.0,2600.0,2000.0
16/12/2025,2.5,Bottle Gourd,1400.0,2700.0,2000.0
17/12/2025,2.0,Bottle Gourd,1500.0,2900.0,2200.0
18/12/2025,2.5,Bottle Gourd,1300.0,2800.0,2100.0
19/12/2025,2.0,Bottle Gourd,1500.0,2900.0,2200.0
20/12/2025,1.5,Bottle Gourd,1400.0,2700.0,2000.0
23/12/2025,2.0,Bottle Gourd,1300.0,2600.0,2000.0
24/12/2025,2.0,Bottle Gourd,1400.0,2700.0,2000.0
26/12/2025,2.0,Bottle Gourd,1500.0,2800.0,2200.0
30/12/2025,2.0,Bottle Gourd,1400.0,2700.0,2000.0
31/12/2025,1.5,Bottle Gourd,1300.0,2600.0,2000.0
Market Name : Doddaballa Pur APMC
04/12/2025,0.30000000000000004,Bottle Gourd,1000.0,1500.0,1200.0
19/12/2025,0.2,Bottle Gourd,1000.0,1800.0,1500.0
29/12/2025,0.30000000000000004,Bottle Gourd,1500.0,2000.0,1750.0
Market Name : Gowribidanoor APMC
03/12/2025,0.2,Bottle Gourd,1400.0,2000.0,1800.0
04/12/2025,0.1,Bottle Gourd,1500.0,2200.0,1800.0
12/12/2025,0.30000000000000004,Bottle Gourd,1500.0,2200.0,1800.0
17/12/2025,0.2,Bottle Gourd,1500.0,2500.0,2000.0
18/12/2025,0.2,Bottle Gourd,1600.0,2200.0,1800.0
22/12/2025,0.30000000000000004,Bottle Gourd,1500.0,2500.0,2000.0
24/12/2025,0.2,Bottle Gourd,1500.0,2500.0,2000.0
29/12/2025,0.2,Bottle Gourd,1500.0,2500.0,2000.0
31/12/2025,0.30000000000000004,Bottle Gourd,1500.0,2500.0,2000.0
Market Name : Mysore (Bandipalya) APMC
09/12/2025,1.2000000000000002,Bottle Gourd,1200.0,1400.0,1300.0
11/12/2025,1.9000000000000001,Bottle Gourd,1200.0,1400.0,1300.0
15/12/2025,1.0,Bottle Gourd,1300.0,1500.0,1400.0
16/12/2025,1.8,Bottle Gourd,1300.0,1500.0,1400.0
22/12/2025,1.0,Bottle Gourd,800.0,1000.0,900.0
29/12/2025,1.1,Bottle Gourd,600.0,800.0,700.0
30/12/2025,0.8,Bottle Gourd,600.0,800.0,700.0
Market Name : Nanjangud APMC
20/12/2025,7.6000000000000005,Bottle Gourd,2380.0,2777.0,2564.0
22/12/2025,7.6000000000000005,Bottle Gourd,2380.0,2777.0,2564.0
Market Name : Ramanagara APMC
01/12/2025,1.2000000000000002,Bottle Gourd,1000.0,1600.0,1200.0
02/12/2025,1.2000000000000002,Bottle Gourd,1000.0,1600.0,1400.0
03/12/2025,1.0,Bottle Gourd,1000.0,1500.0,1200.0
04/12/2025,1.0,Bottle Gourd,1000.0,1600.0,1400.0
05/12/2025,1.0,Bottle Gourd,1000.0,1600.0,1400.0
06/12/2025,1.0,Bottle Gourd,1000.0,1600.0,1400.0
07/12/2025,1.0,Bottle Gourd,1000.0,1600.0,1100.0
08/12/2025,1.2000000000000002,Bottle Gourd,1200.0,1800.0,1500.0
09/12/2025,0.8,Bottle Gourd,1600.0,2500.0,2000.0
10/12/2025,0.8,Bottle Gourd,1000.0,1800.0,1500.0
12/12/2025,1.2000000000000002,Bottle Gourd,1400.0,2000.0,1500.0
13/12/2025,1.0,Bottle Gourd,1600.0,2400.0,2000.0
14/12/2025,1.0,Bottle Gourd,1600.0,2000.0,1800.0
15/12/2025,1.0,Bottle Gourd,1400.0,2000.0,1800.0
16/12/2025,1.0,Bottle Gourd,2000.0,2400.0,2200.0
17/12/2025,1.0,Bottle Gourd,1800.0,2400.0,2000.0
18/12/2025,0.8,Bottle Gourd,2000.0,2500.0,2300.0
19/12/2025,0.8,Bottle Gourd,1600.0,2000.0,1800.0
