"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Bitter gourd, State : Karnataka"
"Commodity : Bitter gourd, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
01/12/2025,0.9,Bitter Gourd,1500.0,2300.0,2000.0
02/12/2025,0.4,Bitter Gourd,1000.0,2000.0,1300.0
04/12/2025,0.4,Bitter Gourd,1300.0,1700.0,1500.0
05/12/2025,0.30000000000000004,Bitter Gourd,1500.0,2300.0,2000.0
06/12/2025,0.4,Bitter Gourd,1000.0,1500.0,1300.0
08/12/2025,0.7000000000000001,Bitter Gourd,2200.0,2700.0,2500.0
09/12/2025,0.4,Bitter Gourd,900.0,1500.0,1000.0
10/12/2025,0.4,Bitter Gourd,2000.0,3000.0,2700.0
11/12/2025,0.6000000000000001,Bitter Gourd,1500.0,2500.0,1700.0
15/12/2025,0.7000000000000001,Bitter Gourd,900.0,1300.0,1100.0
16/12/2025,0.30000000000000004,Bitter Gourd,1000.0,1500.0,1300.0
17/12/2025,0.8,Bitter Gourd,2000.0,3000.0,2700.0
18/12/2025,0.6000000000000001,Bitter Gourd,1000.0,1500.0,1200.0
19/12/2025,0.5,Bitter Gourd,2500.0,3000.0,2700.0
20/12/2025,0.4,Bitter Gourd,500.0,1500.0,1000.0
22/12/2025,0.8,Bitter Gourd,2000.0,2700.0,2500.0
23/12/2025,0.5,Bitter Gourd,2000.0,3000.0,2500.0
24/12/2025,0.9,Bitter Gourd,2500.0,3500.0,3200.0
26/12/2025,0.5,Bitter Gourd,700.0,1300.0,1000.0
29/12/2025,0.7000000000000001,Bitter Gourd,700.0,1500.0,1000.0
30/12/2025,0.5,Bitter Gourd,700.0,1500.0,1000.0
31/12/2025,0.4,Bitter Gourd,1500.0,2000.0,1700.0
Market Name : Bhagepalli APMC
20/12/2025,0.30000000000000004,Bitter Gourd,1000.0,1600.0,1200.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,10.700000000000001,Bitter Gourd,2000.0,2400.0,2200.0
03/12/2025,7.300000000000001,Bitter Gourd,2000.0,2400.0,2200.0
04/12/2025,8.5,Bitter Gourd,2200.0,2600.0,2400.0
05/12/2025,7.1000000000000005,Bitter Gourd,2200.0,2600.0,2400.0
15/12/2025,15.9,Bitter Gourd,2200.0,2600.0,2400.0
16/12/2025,4.9,Bitter Gourd,2200.0,2600.0,2400.0
17/12/2025,7.7,Bitter Gourd,2200.0,2600.0,2400.0
18/12/2025,8.3,Bitter Gourd,2200.0,2600.0,2400.0
19/12/2025,10.4,Bitter Gourd,2200.0,2600.0,2400.0
20/12/2025,9.600000000000001,Bitter Gourd,2200.0,2600.0,2400.0
22/12/2025,8.9,Bitter Gourd,2200.0,2600.0,2400.0
23/12/2025,7.7,Bitter Gourd,2200.0,2600.0,2400.0
24/12/2025,8.3,Bitter Gourd,2200.0,2600.0,2400.0
26/12/2025,24.400000000000002,Bitter Gourd,2500.0,3000.0,2700.0
29/12/2025,19.700000000000003,Bitter Gourd,2500.0,3000.0,2700.0
30/12/2025,6.1000000000000005,Bitter Gourd,2600.0,3100.0,2900.0
31/12/2025,10.4,Bitter Gourd,2500.0,2800.0,2700.0
Market Name : Davangere APMC
03/12/2025,2.0,Bitter Gourd,1800.0,2800.0,2300.0
04/12/2025,2.8000000000000003,Bitter Gourd,1900.0,3000.0,2500.0
09/12/2025,2.5,Bitter Gourd,1800.0,2900.0,2400.0
