date,market,arrival,modal_price
2025-12-01,Bangarpet APMC,0.9,2000.0
2025-12-02,Bangarpet APMC,0.4,1300.0
2025-12-04,Bangarpet APMC,0.4,1500.0
2025-12-05,Bangarpet APMC,0.3,2000.0
2025-12-06,Bangarpet APMC,0.4,1300.0
2025-12-08,Bangarpet APMC,0.7000000000000001,2500.0
2025-12-09,Bangarpet APMC,0.4,1000.0
2025-12-10,Bangarpet APMC,0.4,2700.0
2025-12-11,Bangarpet APMC,0.6000000000000001,1700.0
2025-12-15,Bangarpet APMC,0.7000000000000001,1100.0
2025-12-16,Bangarpet APMC,0.3,1300.0
2025-12-17,Bangarpet APMC,0.8,2700.0
2025-12-18,Bangarpet APMC,0.6000000000000001,1200.0
2025-12-19,Bangarpet APMC,0.5,2700.0
2025-12-20,Bangarpet APMC,0.4,1000.0
2025-12-22,Bangarpet APMC,0.8,2500.0
2025-12-23,Bangarpet APMC,0.5,2500.0
2025-12-24,Bangarpet APMC,0.9,3200.0
2025-12-26,Bangarpet APMC,0.5,1000.0
2025-12-29,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-30,Bangarpet APMC,0.5,1000.0
2025-12-31,Bangarpet APMC,0.4,1700.0
2025-12-20,Bhagepalli APMC,0.3,1200.0
2025-12-02,Bhagepalli APMC,10.7,2200.0
2025-12-03,Bhagepalli APMC,7.300000000000001,2200.0
2025-12-04,Bhagepalli APMC,8.5,2400.0
2025-12-05,Bhagepalli APMC,7.1000000000000005,2400.0
2025-12-15,Bhagepalli APMC,15.9,2400.0
2025-12-16,Bhagepalli APMC,4.9,2400.0
2025-12-17,Bhagepalli APMC,7.7,2400.0
2025-12-18,Bhagepalli APMC,8.3,2400.0
2025-12-19,Bhagepalli APMC,10.4,2400.0
2025-12-20,Bhagepalli APMC,9.6,2400.0
2025-12-22,Bhagepalli APMC,8.9,2400.0
2025-12-23,Bhagepalli APMC,7.7,2400.0
2025-12-24,Bhagepalli APMC,8.3,2400.0
2025-12-26,Bhagepalli APMC,24.4,2700.0
2025-12-29,Bhagepalli APMC,19.700000000000003,2700.0
2025-12-30,Bhagepalli APMC,6.1000000000000005,2900.0
2025-12-31,Bhagepalli APMC,10.4,2700.0
2025-12-03,Davangere APMC,2.0,2300.0
2025-12-04,Davangere APMC,2.8000000000000003,2500.0
2025-12-09,Davangere APMC,2.5,2400.0
2025-12-10,Davangere APMC,2.0,2500.0
2025-12-11,Davangere APMC,3.0,2600.0
2025-12-12,Davangere APMC,2.5,2700.0
