"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Ridgeguard(Tori), State : Karnataka"
"Commodity : Ridgeguard(Tori), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
15/12/2025,0.30000000000000004,Ridgeguard(Tori),4000.0,4000.0,4000.0
22/12/2025,0.9,Ridgeguard(Tori),2500.0,2500.0,2500.0
Market Name : Bangarpet APMC
02/12/2025,0.7000000000000001,Ridgeguard(Tori),1300.0,2500.0,2100.0
05/12/2025,0.4,Ridgeguard(Tori),1000.0,2000.0,1500.0
06/12/2025,0.4,Ridgeguard(Tori),2000.0,2500.0,2200.0
08/12/2025,0.8,Ridgeguard(Tori),1000.0,1700.0,1500.0
10/12/2025,0.7000000000000001,Ridgeguard(Tori),1000.0,2700.0,2500.0
12/12/2025,0.30000000000000004,Ridgeguard(Tori),1500.0,3000.0,2700.0
15/12/2025,0.6000000000000001,Ridgeguard(Tori),1000.0,2000.0,1500.0
17/12/2025,0.4,Ridgeguard(Tori),2500.0,3500.0,3000.0
18/12/2025,0.4,Ridgeguard(Tori),1500.0,2300.0,2000.0
19/12/2025,0.6000000000000001,Ridgeguard(Tori),2000.0,2700.0,2500.0
20/12/2025,0.8,Ridgeguard(Tori),2000.0,2700.0,2500.0
22/12/2025,0.8,Ridgeguard(Tori),2000.0,2500.0,2300.0
23/12/2025,0.4,Ridgeguard(Tori),2000.0,3000.0,2700.0
24/12/2025,0.8,Ridgeguard(Tori),2000.0,3000.0,2500.0
26/12/2025,0.5,Ridgeguard(Tori),700.0,1500.0,1000.0
29/12/2025,0.5,Ridgeguard(Tori),1000.0,1700.0,1500.0
30/12/2025,0.7000000000000001,Ridgeguard(Tori),2000.0,3200.0,3000.0
31/12/2025,0.7000000000000001,Ridgeguard(Tori),800.0,1200.0,1000.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,6.9,Ridgeguard(Tori),2500.0,3000.0,2800.0
03/12/2025,4.9,Ridgeguard(Tori),2500.0,3000.0,2800.0
04/12/2025,8.700000000000001,Ridgeguard(Tori),2700.0,3000.0,2800.0
05/12/2025,5.7,Ridgeguard(Tori),2700.0,3000.0,2800.0
15/12/2025,10.700000000000001,Ridgeguard(Tori),2000.0,3000.0,2800.0
16/12/2025,5.5,Ridgeguard(Tori),2000.0,3000.0,2800.0
17/12/2025,4.7,Ridgeguard(Tori),2600.0,3000.0,2800.0
