date,market,arrival,modal_price
2025-12-15,Arasikere APMC,0.3,4000.0
2025-12-22,Arasikere APMC,0.9,2500.0
2025-12-02,Bangarpet APMC,0.7000000000000001,2100.0
2025-12-05,Bangarpet APMC,0.4,1500.0
2025-12-06,Bangarpet APMC,0.4,2200.0
2025-12-08,Bangarpet APMC,0.8,1500.0
2025-12-10,Bangarpet APMC,0.7000000000000001,2500.0
2025-12-12,Bangarpet APMC,0.3,2700.0
2025-12-15,Bangarpet APMC,0.6000000000000001,1500.0
2025-12-17,Bangarpet APMC,0.4,3000.0
2025-12-18,Bangarpet APMC,0.4,2000.0
2025-12-19,Bangarpet APMC,0.6000000000000001,2500.0
2025-12-20,Bangarpet APMC,0.8,2500.0
2025-12-22,Bangarpet APMC,0.8,2300.0
2025-12-23,Bangarpet APMC,0.4,2700.0
2025-12-24,Bangarpet APMC,0.8,2500.0
2025-12-26,Bangarpet APMC,0.5,1000.0
2025-12-29,Bangarpet APMC,0.5,1500.0
2025-12-30,Bangarpet APMC,0.7000000000000001,3000.0
2025-12-31,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-02,Bangarpet APMC,6.9,2800.0
2025-12-03,Bangarpet APMC,4.9,2800.0
2025-12-04,Bangarpet APMC,8.700000000000001,2800.0
2025-12-05,Bangarpet APMC,5.7,2800.0
2025-12-15,Bangarpet APMC,10.7,2800.0
2025-12-16,Bangarpet APMC,5.5,2800.0
2025-12-17,Bangarpet APMC,4.7,2800.0
2025-12-18,Bangarpet APMC,8.1,2800.0
2025-12-19,Bangarpet APMC,7.4,2800.0
2025-12-20,Bangarpet APMC,7.9,2800.0
2025-12-22,Bangarpet APMC,4.6000000000000005,2700.0
2025-12-23,Bangarpet APMC,6.2,2700.0
2025-12-24,Bangarpet APMC,6.800000000000001,2700.0
2025-12-26,Bangarpet APMC,19.0,2400.0
2025-12-29,Bangarpet APMC,13.3,2400.0
2025-12-30,Bangarpet APMC,5.300000000000001,2500.0
2025-12-31,Bangarpet APMC,5.5,2800.0
2025-12-01,Chamaraj Nagar APMC,5.0,3300.0
2025-12-04,Chamaraj Nagar APMC,4.5,2400.0
2025-12-05,Chamaraj Nagar APMC,5.5,3300.0
2025-12-06,Chamaraj Nagar APMC,5.0,3300.0
2025-12-08,Chamaraj Nagar APMC,5.0,3300.0
2025-12-09,Chamaraj Nagar APMC,4.0,2750.0
2025-12-10,Chamaraj Nagar APMC,5.5,3300.0
2025-12-11,Chamaraj Nagar APMC,5.0,3300.0
2025-12-12,Chamaraj Nagar APMC,4.0,3750.0
2025-12-13,Chamaraj Nagar APMC,3.0,2300.0
2025-12-15,Chamaraj Nagar APMC,2.0,2750.0
2025-12-16,Chamaraj Nagar APMC,2.0,3300.0
2025-12-17,Chamaraj Nagar APMC,3.5,4400.0
2025-12-18,Chamaraj Nagar APMC,5.0,3300.0
2025-12-19,Chamaraj Nagar APMC,5.0,3750.0
2025-12-20,Chamaraj Nagar APMC,4.0,3300.0
2025-12-22,Chamaraj Nagar APMC,5.0,3750.0
2025-12-23,Chamaraj Nagar APMC,5.5,3300.0
2025-12-24,Chamaraj Nagar APMC,5.0,3300.0
2025-12-25,Chamaraj Nagar APMC,5.0,3300.0
2025-12-26,Chamaraj Nagar APMC,3.5,2750.0
2025-12-27,Chamaraj Nagar APMC,2.0,2900.0
2025-12-29,Chamaraj Nagar APMC,3.5,2300.0
2025-12-30,Chamaraj Nagar APMC,2.5,2500.0
2025-12-31,Chamaraj Nagar APMC,3.5,2300.0
2025-12-03,Chikkamagalore APMC,1.9,2632.0
2025-12-05,Chikkamagalore APMC,1.2000000000000002,2778.0
2025-12-08,Chikkamagalore APMC,1.3,2565.0
2025-12-15,Chikkamagalore APMC,3.2,2865.0
2025-12-17,Chikkamagalore APMC,1.8,2778.0
2025-12-19,Chikkamagalore APMC,1.7000000000000002,2941.0
2025-12-20,Chikkamagalore APMC,2.3000000000000003,2537.0
2025-12-24,Chikkamagalore APMC,1.8,2778.0
2025-12-29,Chikkamagalore APMC,4.1000000000000005,2642.0
2025-12-31,Chikkamagalore APMC,2.4000000000000004,2431.0
2025-12-01,Chintamani APMC,0.5,2000.0
2025-12-02,Chintamani APMC,0.7000000000000001,2000.0
2025-12-05,Chintamani APMC,0.6000000000000001,2000.0
2025-12-06,Chintamani APMC,0.7000000000000001,2000.0
2025-12-08,Chintamani APMC,0.6000000000000001,2000.0
2025-12-09,Chintamani APMC,0.8,2000.0
2025-12-11,Chintamani APMC,0.7000000000000001,2500.0
2025-12-12,Chintamani APMC,0.6000000000000001,2500.0
2025-12-15,Chintamani APMC,0.6000000000000001,2500.0
2025-12-16,Chintamani APMC,0.7000000000000001,2500.0
2025-12-19,Chintamani APMC,0.6000000000000001,2000.0
2025-12-20,Chintamani APMC,0.6000000000000001,2500.0
2025-12-22,Chintamani APMC,0.7000000000000001,2500.0
2025-12-23,Chintamani APMC,0.7000000000000001,2500.0
2025-12-26,Chintamani APMC,0.5,2500.0
2025-12-29,Chintamani APMC,0.7000000000000001,2000.0
2025-12-30,Chintamani APMC,0.7000000000000001,2000.0
2025-12-03,Davangere APMC,3.0,2000.0
2025-12-04,Davangere APMC,3.5,2000.0
2025-12-09,Davangere APMC,3.5,2000.0
2025-12-10,Davangere APMC,3.0,2100.0
2025-12-11,Davangere APMC,3.5,2300.0
2025-12-12,Davangere APMC,3.0,2200.0
2025-12-16,Davangere APMC,3.0,2200.0
2025-12-17,Davangere APMC,2.5,2100.0
2025-12-18,Davangere APMC,3.0,2300.0
2025-12-19,Davangere APMC,2.5,2400.0
2025-12-20,Davangere APMC,2.5,2400.0
2025-12-23,Davangere APMC,3.5,2500.0
2025-12-24,Davangere APMC,3.0,2600.0
2025-12-26,Davangere APMC,2.5,2500.0
2025-12-30,Davangere APMC,2.5,2300.0
2025-12-31,Davangere APMC,2.0,2300.0
2025-12-01,Doddaballa Pur APMC,0.6000000000000001,2600.0
2025-12-02,Doddaballa Pur APMC,0.8,2700.0
2025-12-03,Doddaballa Pur APMC,0.6000000000000001,1800.0
2025-12-04,Doddaballa Pur APMC,0.6000000000000001,2700.0
2025-12-06,Doddaballa Pur APMC,0.7000000000000001,2400.0
2025-12-08,Doddaballa Pur APMC,0.6000000000000001,2800.0
2025-12-09,Doddaballa Pur APMC,0.5,2700.0
2025-12-10,Doddaballa Pur APMC,0.5,3000.0
2025-12-11,Doddaballa Pur APMC,0.8,2750.0
