date,market,arrival,modal_price
2025-12-03,Davangere APMC,1.0,1200.0
2025-12-09,Davangere APMC,1.0,1200.0
2025-12-10,Davangere APMC,0.5,1300.0
2025-12-11,Davangere APMC,1.0,1400.0
2025-12-12,Davangere APMC,0.8,1300.0
2025-12-16,Davangere APMC,1.0,1400.0
2025-12-17,Davangere APMC,0.5,1300.0
2025-12-18,Davangere APMC,1.0,1700.0
2025-12-19,Davangere APMC,0.5,1500.0
2025-12-20,Davangere APMC,0.4,2500.0
2025-12-23,Davangere APMC,1.5,1500.0
2025-12-24,Davangere APMC,1.0,1300.0
2025-12-26,Davangere APMC,1.0,1300.0
2025-12-30,Davangere APMC,0.5,2200.0
2025-12-31,Davangere APMC,0.5,2200.0
2025-12-11,Mysore (Bandipalya) APMC,5.800000000000001,700.0
2025-12-15,Mysore (Bandipalya) APMC,6.300000000000001,600.0
2025-12-16,Mysore (Bandipalya) APMC,6.5,600.0
2025-12-22,Mysore (Bandipalya) APMC,8.5,600.0
2025-12-29,Mysore (Bandipalya) APMC,8.5,600.0
2025-12-30,Mysore (Bandipalya) APMC,6.9,700.0
2025-12-01,Ramanagara APMC,1.4,1200.0
2025-12-02,Ramanagara APMC,1.5,1200.0
2025-12-03,Ramanagara APMC,1.1,1800.0
2025-12-04,Ramanagara APMC,1.2000000000000002,1800.0
2025-12-05,Ramanagara APMC,1.6,1600.0
2025-12-06,Ramanagara APMC,1.4,1200.0
2025-12-07,Ramanagara APMC,1.2000000000000002,1200.0
2025-12-08,Ramanagara APMC,1.5,1000.0
2025-12-09,Ramanagara APMC,1.4,1200.0
2025-12-10,Ramanagara APMC,1.2000000000000002,1200.0
2025-12-11,Ramanagara APMC,1.2000000000000002,1200.0
2025-12-12,Ramanagara APMC,1.3,1000.0
2025-12-13,Ramanagara APMC,1.2000000000000002,1200.0
2025-12-14,Ramanagara APMC,1.2000000000000002,1200.0
2025-12-15,Ramanagara APMC,1.6,1200.0
2025-12-16,Ramanagara APMC,1.4,1200.0
2025-12-17,Ramanagara APMC,1.2000000000000002,1200.0
2025-12-18,Ramanagara APMC,1.5,1600.0
2025-12-19,Ramanagara APMC,1.0,1400.0
2025-12-20,Ramanagara APMC,1.6,1200.0
2025-12-21,Ramanagara APMC,1.2000000000000002,1400.0
2025-12-22,Ramanagara APMC,1.4,1400.0
2025-12-23,Ramanagara APMC,1.3,1400.0
2025-12-24,Ramanagara APMC,1.6,1200.0
2025-12-26,Ramanagara APMC,1.1,1000.0
2025-12-27,Ramanagara APMC,1.4,1000.0
2025-12-29,Ramanagara APMC,1.0,1000.0
2025-12-30,Ramanagara APMC,1.8,1000.0
2025-12-31,Ramanagara APMC,2.4000000000000004,1000.0
