date,avg_modal_price
2025-12-01,1200.0
2025-12-02,1200.0
2025-12-03,1500.0
2025-12-04,1800.0
2025-12-05,1600.0
2025-12-06,1200.0
2025-12-07,1200.0
2025-12-08,1000.0
2025-12-09,1200.0
2025-12-10,1250.0
2025-12-11,1100.0
2025-12-12,1150.0
2025-12-13,1200.0
2025-12-14,1200.0
2025-12-15,900.0
2025-12-16,1066.6666666666667
2025-12-17,1250.0
2025-12-18,1650.0
2025-12-19,1450.0
2025-12-20,1850.0
2025-12-21,1400.0
2025-12-22,1000.0
2025-12-23,1450.0
2025-12-24,1250.0
2025-12-26,1150.0
2025-12-27,1000.0
2025-12-29,800.0
2025-12-30,1300.0
2025-12-31,1600.0
