"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Cucumbar(Kheera), State : Karnataka"
"Commodity : Cucumbar(Kheera), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
01/12/2025,1.5,Cucumbar,900.0,1500.0,1000.0
02/12/2025,0.5,Cucumbar,1000.0,1800.0,1500.0
03/12/2025,0.9,Cucumbar,1000.0,1700.0,1500.0
04/12/2025,0.6000000000000001,Cucumbar,700.0,1200.0,1000.0
05/12/2025,0.7000000000000001,Cucumbar,900.0,1200.0,1000.0
06/12/2025,0.4,Cucumbar,900.0,1200.0,1000.0
08/12/2025,1.1,Cucumbar,1000.0,1500.0,1200.0
09/12/2025,0.4,Cucumbar,1000.0,1500.0,1300.0
10/12/2025,0.7000000000000001,Cucumbar,1000.0,1200.0,1000.0
12/12/2025,0.9,Cucumbar,300.0,1200.0,1000.0
16/12/2025,0.5,Cucumbar,500.0,1100.0,900.0
17/12/2025,0.6000000000000001,Cucumbar,1000.0,2000.0,1700.0
18/12/2025,0.7000000000000001,Cucumbar,700.0,1300.0,1000.0
19/12/2025,0.7000000000000001,Cucumbar,900.0,1300.0,1000.0
20/12/2025,0.4,Cucumbar,700.0,2000.0,1500.0
22/12/2025,1.0,Cucumbar,1200.0,2000.0,1500.0
24/12/2025,0.7000000000000001,Cucumbar,500.0,1300.0,1000.0
26/12/2025,0.8,Cucumbar,500.0,1500.0,1000.0
29/12/2025,0.8,Cucumbar,700.0,1500.0,1000.0
30/12/2025,0.6000000000000001,Cucumbar,900.0,1700.0,1000.0
31/12/2025,0.5,Cucumbar,700.0,1500.0,1000.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,16.6,Cucumbar,1300.0,1500.0,1400.0
03/12/2025,10.8,Cucumbar,1300.0,1500.0,1400.0
04/12/2025,9.1,Cucumbar,1500.0,1800.0,1600.0
05/12/2025,19.400000000000002,Cucumbar,1500.0,1800.0,1600.0
15/12/2025,35.1,Cucumbar,1400.0,1600.0,1500.0
16/12/2025,12.9,Cucumbar,1400.0,1600.0,1500.0
17/12/2025,12.0,Cucumbar,1400.0,1600.0,1500.0
18/12/2025,17.400000000000002,Cucumbar,1500.0,1800.0,1600.0
19/12/2025,14.100000000000001,Cucumbar,1500.0,1800.0,1600.0
20/12/2025,10.700000000000001,Cucumbar,1500.0,1800.0,1600.0
22/12/2025,14.200000000000001,Cucumbar,1300.0,1500.0,1400.0
23/12/2025,15.9,Cucumbar,1300.0,1500.0,1400.0
24/12/2025,9.8,Cucumbar,1300.0,1500.0,1400.0
26/12/2025,44.5,Cucumbar,1500.0,1700.0,1600.0
29/12/2025,33.7,Cucumbar,1600.0,1800.0,1700.0
30/12/2025,15.700000000000001,Cucumbar,1500.0,1800.0,1700.0
31/12/2025,11.4,Cucumbar,1700.0,2000.0,1800.0
Market Name : Chamaraj Nagar APMC
01/12/2025,2.5,Cucumbar,1000.0,1300.0,1150.0
04/12/2025,2.0,Cucumbar,1000.0,1200.0,1100.0
05/12/2025,2.5,Cucumbar,1000.0,1500.0,1250.0
06/12/2025,2.5,Cucumbar,1500.0,1800.0,1650.0
08/12/2025,2.5,Cucumbar,1000.0,1300.0,1150.0
09/12/2025,2.5,Cucumbar,1000.0,1300.0,1150.0
10/12/2025,2.5,Cucumbar,1500.0,1800.0,1650.0
11/12/2025,3.0,Cucumbar,1500.0,1800.0,1650.0
12/12/2025,2.5,Cucumbar,1500.0,2000.0,1750.0
13/12/2025,4.0,Cucumbar,1200.0,1400.0,1300.0
15/12/2025,3.5,Cucumbar,1000.0,1500.0,1300.0
16/12/2025,1.5,Cucumbar,2000.0,2500.0,2300.0
17/12/2025,4.0,Cucumbar,2000.0,2800.0,2400.0
18/12/2025,3.0,Cucumbar,1500.0,1800.0,1650.0
19/12/2025,2.5,Cucumbar,2000.0,2500.0,2300.0
20/12/2025,3.5,Cucumbar,2000.0,2500.0,2300.0
22/12/2025,3.5,Cucumbar,2000.0,2500.0,2300.0
23/12/2025,2.0,Cucumbar,1500.0,2000.0,1750.0
24/12/2025,3.5,Cucumbar,2000.0,2500.0,2300.0
25/12/2025,3.5,Cucumbar,2000.0,2500.0,2300.0
