date,market,arrival,modal_price
2025-12-01,Bangarpet APMC,1.5,1000.0
2025-12-02,Bangarpet APMC,0.5,1500.0
2025-12-03,Bangarpet APMC,0.9,1500.0
2025-12-04,Bangarpet APMC,0.6000000000000001,1000.0
2025-12-05,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-06,Bangarpet APMC,0.4,1000.0
2025-12-08,Bangarpet APMC,1.1,1200.0
2025-12-09,Bangarpet APMC,0.4,1300.0
2025-12-10,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-12,Bangarpet APMC,0.9,1000.0
2025-12-16,Bangarpet APMC,0.5,900.0
2025-12-17,Bangarpet APMC,0.6000000000000001,1700.0
2025-12-18,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-19,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-20,Bangarpet APMC,0.4,1500.0
2025-12-22,Bangarpet APMC,1.0,1500.0
2025-12-24,Bangarpet APMC,0.7000000000000001,1000.0
2025-12-26,Bangarpet APMC,0.8,1000.0
2025-12-29,Bangarpet APMC,0.8,1000.0
2025-12-30,Bangarpet APMC,0.6000000000000001,1000.0
2025-12-31,Bangarpet APMC,0.5,1000.0
2025-12-02,Bangarpet APMC,16.6,1400.0
2025-12-03,Bangarpet APMC,10.8,1400.0
2025-12-04,Bangarpet APMC,9.1,1600.0
2025-12-05,Bangarpet APMC,19.4,1600.0
2025-12-15,Bangarpet APMC,35.1,1500.0
2025-12-16,Bangarpet APMC,12.9,1500.0
2025-12-17,Bangarpet APMC,12.0,1500.0
2025-12-18,Bangarpet APMC,17.400000000000002,1600.0
2025-12-19,Bangarpet APMC,14.1,1600.0
2025-12-20,Bangarpet APMC,10.7,1600.0
2025-12-22,Bangarpet APMC,14.2,1400.0
2025-12-23,Bangarpet APMC,15.9,1400.0
2025-12-24,Bangarpet APMC,9.8,1400.0
2025-12-26,Bangarpet APMC,44.5,1600.0
2025-12-29,Bangarpet APMC,33.7,1700.0
2025-12-30,Bangarpet APMC,15.7,1700.0
2025-12-31,Bangarpet APMC,11.4,1800.0
2025-12-01,Chamaraj Nagar APMC,2.5,1150.0
2025-12-04,Chamaraj Nagar APMC,2.0,1100.0
2025-12-05,Chamaraj Nagar APMC,2.5,1250.0
2025-12-06,Chamaraj Nagar APMC,2.5,1650.0
2025-12-08,Chamaraj Nagar APMC,2.5,1150.0
2025-12-09,Chamaraj Nagar APMC,2.5,1150.0
2025-12-10,Chamaraj Nagar APMC,2.5,1650.0
2025-12-11,Chamaraj Nagar APMC,3.0,1650.0
2025-12-12,Chamaraj Nagar APMC,2.5,1750.0
2025-12-13,Chamaraj Nagar APMC,4.0,1300.0
2025-12-15,Chamaraj Nagar APMC,3.5,1300.0
2025-12-16,Chamaraj Nagar APMC,1.5,2300.0
2025-12-17,Chamaraj Nagar APMC,4.0,2400.0
2025-12-18,Chamaraj Nagar APMC,3.0,1650.0
2025-12-19,Chamaraj Nagar APMC,2.5,2300.0
2025-12-20,Chamaraj Nagar APMC,3.5,2300.0
2025-12-22,Chamaraj Nagar APMC,3.5,2300.0
2025-12-23,Chamaraj Nagar APMC,2.0,1750.0
2025-12-24,Chamaraj Nagar APMC,3.5,2300.0
2025-12-25,Chamaraj Nagar APMC,3.5,2300.0
2025-12-26,Chamaraj Nagar APMC,2.0,900.0
2025-12-27,Chamaraj Nagar APMC,3.5,1000.0
2025-12-29,Chamaraj Nagar APMC,3.5,1100.0
2025-12-30,Chamaraj Nagar APMC,3.0,1100.0
2025-12-31,Chamaraj Nagar APMC,4.0,1000.0
2025-12-03,Channapatana APMC,1.2000000000000002,1000.0
2025-12-16,Channapatana APMC,1.2000000000000002,1800.0
2025-12-17,Channapatana APMC,1.2000000000000002,1800.0
2025-12-18,Channapatana APMC,1.4,1600.0
2025-12-22,Channapatana APMC,1.6,1200.0
2025-12-03,Chikkamagalore APMC,2.6,1923.0
2025-12-05,Chikkamagalore APMC,2.6,1923.0
2025-12-08,Chikkamagalore APMC,4.5,1852.0
2025-12-15,Chikkamagalore APMC,5.300000000000001,1887.0
2025-12-17,Chikkamagalore APMC,2.7,1852.0
2025-12-20,Chikkamagalore APMC,2.6,1923.0
2025-12-22,Chikkamagalore APMC,4.4,1894.0
2025-12-24,Chikkamagalore APMC,2.6,1923.0
2025-12-29,Chikkamagalore APMC,5.7,1901.0
2025-12-31,Chikkamagalore APMC,2.7,1852.0
2025-12-01,Chintamani APMC,2.0,500.0
2025-12-02,Chintamani APMC,2.0,500.0
2025-12-05,Chintamani APMC,2.0,500.0
2025-12-06,Chintamani APMC,2.0,500.0
2025-12-08,Chintamani APMC,2.0,500.0
2025-12-09,Chintamani APMC,2.0,500.0
2025-12-11,Chintamani APMC,2.0,500.0
2025-12-12,Chintamani APMC,2.0,500.0
2025-12-15,Chintamani APMC,1.0,500.0
2025-12-16,Chintamani APMC,2.0,500.0
2025-12-18,Chintamani APMC,2.0,500.0
2025-12-19,Chintamani APMC,2.0,500.0
2025-12-20,Chintamani APMC,2.0,500.0
2025-12-22,Chintamani APMC,2.0,500.0
2025-12-23,Chintamani APMC,2.0,500.0
2025-12-26,Chintamani APMC,2.0,500.0
2025-12-29,Chintamani APMC,2.0,500.0
2025-12-30,Chintamani APMC,2.0,500.0
2025-12-03,Davangere APMC,3.0,1500.0
2025-12-04,Davangere APMC,3.5,1400.0
2025-12-09,Davangere APMC,3.5,1200.0
2025-12-10,Davangere APMC,3.0,1300.0
2025-12-11,Davangere APMC,3.5,1500.0
2025-12-12,Davangere APMC,3.0,1500.0
2025-12-16,Davangere APMC,2.5,1400.0
2025-12-17,Davangere APMC,2.0,1600.0
2025-12-18,Davangere APMC,2.5,1500.0
2025-12-19,Davangere APMC,2.0,1600.0
2025-12-20,Davangere APMC,2.0,1700.0
2025-12-23,Davangere APMC,2.5,1500.0
2025-12-24,Davangere APMC,2.0,1600.0
2025-12-26,Davangere APMC,2.5,1500.0
2025-12-30,Davangere APMC,2.5,1500.0
2025-12-31,Davangere APMC,2.0,1400.0
2025-12-01,Doddaballa Pur APMC,1.8,1600.0
2025-12-02,Doddaballa Pur APMC,2.0,1400.0
2025-12-03,Doddaballa Pur APMC,1.8,1600.0
2025-12-04,Doddaballa Pur APMC,2.4000000000000004,1250.0
2025-12-06,Doddaballa Pur APMC,1.8,1300.0
2025-12-08,Doddaballa Pur APMC,1.5,1300.0
2025-12-09,Doddaballa Pur APMC,2.4000000000000004,1300.0
2025-12-10,Doddaballa Pur APMC,1.8,1300.0
2025-12-11,Doddaballa Pur APMC,1.7000000000000002,1400.0
2025-12-12,Doddaballa Pur APMC,2.4000000000000004,1400.0
2025-12-15,Doddaballa Pur APMC,2.4000000000000004,1500.0
2025-12-16,Doddaballa Pur APMC,2.4000000000000004,1400.0
2025-12-19,Doddaballa Pur APMC,0.8,1400.0
2025-12-20,Doddaballa Pur APMC,1.2000000000000002,1400.0
2025-12-22,Doddaballa Pur APMC,2.4000000000000004,1400.0
2025-12-23,Doddaballa Pur APMC,2.0,1400.0
2025-12-24,Doddaballa Pur APMC,1.8,1400.0
2025-12-26,Doddaballa Pur APMC,2.0,1500.0
2025-12-29,Doddaballa Pur APMC,2.4000000000000004,1200.0
2025-12-30,Doddaballa Pur APMC,2.0,1200.0
2025-12-03,Gowribidanoor APMC,1.0,800.0
2025-12-04,Gowribidanoor APMC,0.8,800.0
2025-12-12,Gowribidanoor APMC,1.0,600.0
2025-12-17,Gowribidanoor APMC,1.2000000000000002,600.0
2025-12-18,Gowribidanoor APMC,1.5,850.0
2025-12-22,Gowribidanoor APMC,1.0,600.0
2025-12-24,Gowribidanoor APMC,1.5,600.0
2025-12-29,Gowribidanoor APMC,1.5,600.0
2025-12-31,Gowribidanoor APMC,1.5,600.0
2025-12-01,Honnali APMC,2.5,1520.0
2025-12-03,Honnali APMC,4.0,1150.0
2025-12-06,Honnali APMC,3.5,1105.0
2025-12-08,Honnali APMC,3.5,1110.0
2025-12-09,Honnali APMC,4.5,1310.0
2025-12-10,Honnali APMC,4.5,910.0
2025-12-15,Honnali APMC,4.5,1121.0
2025-12-16,Honnali APMC,4.5,1120.0
2025-12-17,Honnali APMC,1.5,1050.0
2025-12-18,Honnali APMC,2.5,1250.0
2025-12-19,Honnali APMC,3.5,1050.0
2025-12-22,Honnali APMC,1.5,1450.0
2025-12-26,Honnali APMC,9.0,1450.0
2025-12-29,Honnali APMC,1.2000000000000002,1450.0
2025-12-01,Hoskote APMC,30.0,2000.0
2025-12-02,Hoskote APMC,20.0,1500.0
2025-12-01,Hospet APMC,3.0,1600.0
2025-12-06,Hospet APMC,9.0,1600.0
2025-12-07,Hospet APMC,1.0,1600.0
2025-12-08,Hospet APMC,1.6,1600.0
2025-12-09,Hospet APMC,3.0,1600.0
2025-12-10,Hospet APMC,1.0,1600.0
2025-12-13,Hospet APMC,5.0,1600.0
2025-12-15,Hospet APMC,2.0,1600.0
2025-12-17,Hospet APMC,1.0,1500.0
2025-12-23,Hospet APMC,2.0,1600.0
2025-12-24,Hospet APMC,4.0,1500.0
2025-12-27,Hospet APMC,5.0,2500.0
2025-12-28,Hospet APMC,3.0,1500.0
2025-12-29,Hospet APMC,1.0,1500.0
2025-12-18,Kolar APMC,7.2,1100.0
2025-12-31,Malur APMC,153.3,1500.0
2025-12-09,Mysore (Bandipalya) APMC,4.5,1100.0
2025-12-11,Mysore (Bandipalya) APMC,5.6000000000000005,1100.0
2025-12-15,Mysore (Bandipalya) APMC,5.300000000000001,2100.0
2025-12-16,Mysore (Bandipalya) APMC,7.5,2700.0
2025-12-22,Mysore (Bandipalya) APMC,4.9,1100.0
2025-12-29,Mysore (Bandipalya) APMC,6.5,1100.0
2025-12-30,Mysore (Bandipalya) APMC,4.3,1100.0
2025-12-01,Ramanagara APMC,4.4,1500.0
2025-12-02,Ramanagara APMC,4.4,1700.0
2025-12-03,Ramanagara APMC,3.2,1800.0
2025-12-04,Ramanagara APMC,4.0,1700.0
2025-12-05,Ramanagara APMC,4.4,1500.0
2025-12-06,Ramanagara APMC,6.4,1200.0
2025-12-07,Ramanagara APMC,4.4,1100.0
2025-12-08,Ramanagara APMC,4.4,1200.0
2025-12-09,Ramanagara APMC,4.4,1100.0
2025-12-10,Ramanagara APMC,3.0,1400.0
2025-12-11,Ramanagara APMC,3.2,1800.0
