"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Carrot, State : Karnataka"
"Commodity : Carrot, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
15/12/2025,7.6000000000000005,Carrot,2500.0,5000.0,3000.0
Market Name : Bangarpet APMC
01/12/2025,1.1,Carrot,1500.0,2800.0,2500.0
02/12/2025,0.8,Carrot,1300.0,2700.0,2500.0
03/12/2025,0.7000000000000001,Carrot,2000.0,2700.0,2500.0
04/12/2025,0.7000000000000001,Carrot,2600.0,3500.0,3100.0
05/12/2025,0.8,Carrot,3000.0,3700.0,3500.0
06/12/2025,0.5,Carrot,3000.0,3900.0,3700.0
08/12/2025,1.4000000000000001,Carrot,1000.0,2000.0,1500.0
09/12/2025,0.7000000000000001,Carrot,2000.0,2700.0,2500.0
10/12/2025,0.8,Carrot,2500.0,3500.0,3000.0
11/12/2025,0.5,Carrot,3000.0,4000.0,3600.0
12/12/2025,0.4,Carrot,2500.0,3500.0,3000.0
15/12/2025,0.8,Carrot,2500.0,3500.0,3000.0
16/12/2025,0.6000000000000001,Carrot,2000.0,2500.0,2300.0
17/12/2025,0.8,Carrot,3000.0,4000.0,3700.0
18/12/2025,0.8,Carrot,2000.0,4000.0,3500.0
19/12/2025,0.9,Carrot,2000.0,3500.0,3000.0
20/12/2025,0.9,Carrot,3500.0,4000.0,3700.0
22/12/2025,1.0,Carrot,2000.0,2700.0,2500.0
23/12/2025,0.8,Carrot,1500.0,3000.0,2500.0
24/12/2025,0.5,Carrot,2000.0,3000.0,2700.0
26/12/2025,0.7000000000000001,Carrot,3000.0,4000.0,3500.0
29/12/2025,0.6000000000000001,Carrot,3000.0,4000.0,3500.0
30/12/2025,0.5,Carrot,3000.0,4000.0,3500.0
31/12/2025,0.9,Carrot,1000.0,2000.0,1500.0
Market Name : Bhagepalli APMC
16/12/2025,0.7000000000000001,Carrot,1800.0,2200.0,2000.0
17/12/2025,0.8,Carrot,1200.0,2200.0,2000.0
18/12/2025,1.0,Carrot,1500.0,2200.0,1800.0
20/12/2025,0.7000000000000001,Carrot,1500.0,2500.0,2000.0
22/12/2025,0.7000000000000001,Carrot,2000.0,3000.0,2600.0
23/12/2025,0.8,Carrot,1800.0,2800.0,2500.0
24/12/2025,0.8,Carrot,1500.0,2200.0,1800.0
31/12/2025,0.7000000000000001,Carrot,1800.0,2500.0,2300.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,25.8,Carrot,4500.0,5000.0,4800.0
03/12/2025,33.300000000000004,Carrot,4500.0,5000.0,4800.0
04/12/2025,43.6,Carrot,4000.0,4500.0,4400.0
05/12/2025,26.0,Carrot,4000.0,4500.0,4400.0
15/12/2025,65.7,Carrot,4000.0,4600.0,4500.0
16/12/2025,36.5,Carrot,4000.0,4600.0,4500.0
17/12/2025,27.900000000000002,Carrot,4000.0,4600.0,4500.0
18/12/2025,29.400000000000002,Carrot,4000.0,4600.0,4500.0
19/12/2025,36.5,Carrot,4000.0,4600.0,4500.0
20/12/2025,37.7,Carrot,4000.0,4600.0,4500.0
22/12/2025,28.1,Carrot,3500.0,4500.0,4000.0
23/12/2025,32.6,Carrot,3500.0,4500.0,4000.0
24/12/2025,25.8,Carrot,3500.0,4500.0,4000.0
26/12/2025,66.9,Carrot,3000.0,4000.0,3500.0
29/12/2025,60.0,Carrot,3000.0,4000.0,3500.0
30/12/2025,27.900000000000002,Carrot,3500.0,4000.0,3800.0
31/12/2025,28.200000000000003,Carrot,3700.0,4000.0,3800.0
Market Name : Chamaraj Nagar APMC
01/12/2025,5.0,Carrot,2000.0,2500.0,2300.0
04/12/2025,4.5,Carrot,2000.0,2500.0,2300.0
05/12/2025,4.5,Carrot,2000.0,2500.0,2300.0
06/12/2025,5.0,Carrot,2000.0,2500.0,2300.0
08/12/2025,5.0,Carrot,2500.0,3000.0,2750.0
09/12/2025,4.0,Carrot,2000.0,2500.0,2300.0
10/12/2025,5.0,Carrot,2500.0,3000.0,2750.0
11/12/2025,5.0,Carrot,3000.0,3500.0,3300.0
12/12/2025,4.0,Carrot,2500.0,3000.0,2750.0
13/12/2025,4.0,Carrot,3000.0,3500.0,3300.0
15/12/2025,4.0,Carrot,3000.0,3500.0,3300.0
16/12/2025,3.5,Carrot,3500.0,4000.0,3750.0
17/12/2025,4.0,Carrot,3000.0,3500.0,3300.0
18/12/2025,4.0,Carrot,3000.0,3500.0,3300.0
19/12/2025,5.0,Carrot,3000.0,3500.0,3300.0
20/12/2025,5.0,Carrot,3500.0,4000.0,3750.0
22/12/2025,5.0,Carrot,3000.0,3500.0,3300.0
23/12/2025,4.0,Carrot,3000.0,3500.0,3300.0
24/12/2025,4.5,Carrot,2500.0,3000.0,2750.0
25/12/2025,4.5,Carrot,2500.0,3000.0,2750.0
26/12/2025,3.5,Carrot,3000.0,4000.0,3500.0
27/12/2025,4.0,Carrot,2500.0,3000.0,2750.0
29/12/2025,4.0,Carrot,2500.0,3000.0,2750.0
30/12/2025,4.5,Carrot,3000.0,3500.0,3300.0
31/12/2025,5.0,Carrot,2500.0,3000.0,2750.0
Market Name : Chikkamagalore APMC
03/12/2025,2.7,Other,2987.0,3187.0,3087.0
05/12/2025,1.0,Other,3334.0,3334.0,3334.0
08/12/2025,2.8000000000000003,Other,3571.0,3571.0,3571.0
15/12/2025,4.9,Other,3301.0,3501.0,3401.0
17/12/2025,2.3000000000000003,Other,3623.0,3623.0,3623.0
22/12/2025,2.1,Other,3869.0,4069.0,3969.0
24/12/2025,2.2,Other,3788.0,3788.0,3788.0
29/12/2025,2.6,Other,3846.0,3846.0,3846.0
31/12/2025,2.5,Other,3334.0,3334.0,3334.0
Market Name : Chintamani APMC
01/12/2025,0.8,Carrot,2000.0,4000.0,3000.0
02/12/2025,1.0,Carrot,2000.0,4000.0,2500.0
04/12/2025,1.0,Carrot,2000.0,4000.0,3000.0
05/12/2025,1.0,Carrot,2000.0,4000.0,3000.0
06/12/2025,0.9,Carrot,2000.0,4000.0,3000.0
08/12/2025,0.9,Carrot,2000.0,4000.0,3000.0
09/12/2025,0.9,Carrot,2000.0,4000.0,3000.0
11/12/2025,1.0,Carrot,2000.0,4000.0,3000.0
12/12/2025,0.8,Carrot,2000.0,4000.0,3000.0
15/12/2025,0.9,Carrot,2000.0,4000.0,3000.0
16/12/2025,0.8,Carrot,2000.0,4000.0,3000.0
