"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Paddy(Common), State : Karnataka"
"Commodity : Paddy(Common), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bailahongal APMC
11/12/2025,10.0,Paddy,1800.0,2200.0,2000.0
Market Name : Bangarpet APMC
02/12/2025,254.70000000000002,Paddy,1000.0,2500.0,2300.0
03/12/2025,409.3,Paddy,2000.0,2500.0,2300.0
04/12/2025,709.1,Paddy,1500.0,2500.0,2300.0
09/12/2025,287.90000000000003,Paddy,1000.0,1800.0,1500.0
10/12/2025,105.2,Paddy,1500.0,2500.0,2100.0
11/12/2025,369.6,Paddy,2000.0,3000.0,2200.0
16/12/2025,467.1,Paddy,1500.0,2500.0,2100.0
17/12/2025,1515.7,Paddy,1000.0,2200.0,2117.0
18/12/2025,58.0,Paddy,1400.0,2500.0,2260.0
20/12/2025,1159.9,Paddy,1000.0,2000.0,1960.0
22/12/2025,803.0,Paddy,2000.0,2300.0,2017.0
24/12/2025,12.0,Paddy,2000.0,3000.0,2400.0
26/12/2025,234.3,Paddy,1500.0,3000.0,2351.0
29/12/2025,1877.6000000000001,Paddy,1500.0,2500.0,2241.0
30/12/2025,24.5,Paddy,1500.0,2500.0,2008.0
31/12/2025,1417.6000000000001,Paddy,1500.0,2500.0,2000.0
Market Name : Bhadravathi APMC
01/12/2025,168.0,Paddy Medium,2530.0,2530.0,2530.0
02/12/2025,415.8,Paddy Medium,2350.0,2700.0,2508.0
03/12/2025,323.5,Paddy Medium,2400.0,2900.0,2553.0
04/12/2025,636.2,Paddy Medium,2310.0,3000.0,2513.0
08/12/2025,1412.0,Paddy Medium,2400.0,3000.0,2602.0
09/12/2025,242.20000000000002,Paddy Coarse,2400.0,2600.0,2426.0
10/12/2025,77.7,Paddy Medium,2300.0,2400.0,2375.0
11/12/2025,549.9,Paddy Medium,2300.0,2700.0,2557.0
12/12/2025,78.4,Paddy Medium,2400.0,2400.0,2400.0
15/12/2025,239.8,Paddy Medium,2300.0,2500.0,2414.0
16/12/2025,456.1,Paddy Medium,2400.0,2806.0,2506.0
17/12/2025,169.3,Paddy Medium,2400.0,2400.0,2400.0
18/12/2025,813.2,Paddy Medium,2400.0,2620.0,2550.0
19/12/2025,242.8,Paddy Medium,2316.0,2550.0,2550.0
20/12/2025,578.0,Paddy Medium,2400.0,2830.0,2400.0
22/12/2025,1165.2,Paddy Medium,2400.0,2755.0,2550.0
23/12/2025,541.7,Paddy Medium,2400.0,3000.0,2700.0
26/12/2025,57.7,Paddy Medium,2400.0,2400.0,2400.0
29/12/2025,300.7,Paddy Medium,2300.0,2550.0,2550.0
30/12/2025,878.2,Paddy Medium,2400.0,2600.0,2500.0
31/12/2025,105.7,Paddy Medium,2350.0,2550.0,2550.0
Market Name : Chamaraj Nagar APMC
01/12/2025,28.0,Paddy Medium,2000.0,2000.0,2000.0
04/12/2025,50.0,Paddy Medium,2000.0,2000.0,2000.0
06/12/2025,32.0,Paddy Medium,2000.0,2000.0,2000.0
09/12/2025,66.0,Paddy Medium,2000.0,2000.0,2000.0
12/12/2025,224.8,Paddy Medium,2000.0,2700.0,2100.0
13/12/2025,17.400000000000002,Paddy Medium,2700.0,2700.0,2700.0
15/12/2025,100.0,Paddy Medium,2000.0,2000.0,2000.0
16/12/2025,109.2,Paddy Medium,2000.0,2200.0,2100.0
17/12/2025,18.5,Paddy Medium,2700.0,2700.0,2700.0
18/12/2025,450.0,Paddy Medium,2000.0,2500.0,2250.0
19/12/2025,411.5,Paddy Medium,2000.0,2670.0,2314.0
20/12/2025,265.90000000000003,Paddy Medium,2350.0,2670.0,2560.0
22/12/2025,285.0,Paddy Medium,2000.0,2700.0,2500.0
23/12/2025,322.5,Paddy Medium,2000.0,2700.0,2330.0
24/12/2025,180.3,Paddy Medium,2550.0,2700.0,2623.0
25/12/2025,223.60000000000002,Paddy Medium,2000.0,2770.0,2350.0
26/12/2025,271.0,Paddy Medium,2000.0,2640.0,2390.0
27/12/2025,44.0,Paddy Medium,2600.0,2680.0,2640.0
29/12/2025,470.70000000000005,Paddy Medium,2300.0,2630.0,2473.0
30/12/2025,63.2,Paddy Medium,2000.0,2600.0,2280.0
31/12/2025,408.40000000000003,Paddy Medium,2150.0,2600.0,2400.0
Market Name : Channagiri APMC
01/12/2025,524.9,Paddy,2400.0,2550.0,2442.0
02/12/2025,15.0,Paddy,2440.0,2440.0,2440.0
04/12/2025,35.2,Paddy,2400.0,2900.0,2500.0
05/12/2025,75.2,Paddy,2450.0,2590.0,2520.0
06/12/2025,248.60000000000002,Paddy,2350.0,2570.0,2440.0
08/12/2025,142.20000000000002,Paddy,2450.0,2480.0,2461.0
10/12/2025,56.2,Paddy,2350.0,2350.0,2350.0
11/12/2025,206.9,Paddy,2350.0,2525.0,2450.0
12/12/2025,102.80000000000001,Paddy,2350.0,2460.0,2450.0
15/12/2025,505.40000000000003,Paddy,2150.0,2580.0,2404.0
16/12/2025,442.5,Paddy,2315.0,2550.0,2429.0
17/12/2025,150.0,Paddy,2350.0,2350.0,2350.0
18/12/2025,108.0,Paddy,2150.0,2450.0,2338.0
19/12/2025,61.400000000000006,Paddy,2350.0,2350.0,2350.0
20/12/2025,65.60000000000001,Paddy,2260.0,2450.0,2353.0
