date,market,arrival,modal_price
2025-12-11,Bailahongal APMC,10.0,2000.0
2025-12-02,Bangarpet APMC,254.7,2300.0
2025-12-03,Bangarpet APMC,409.3,2300.0
2025-12-04,Bangarpet APMC,709.1,2300.0
2025-12-09,Bangarpet APMC,287.90000000000003,1500.0
2025-12-10,Bangarpet APMC,105.2,2100.0
2025-12-11,Bangarpet APMC,369.6,2200.0
2025-12-16,Bangarpet APMC,467.1,2100.0
2025-12-17,Bangarpet APMC,1515.7,2117.0
2025-12-18,Bangarpet APMC,58.0,2260.0
2025-12-20,Bangarpet APMC,1159.9,1960.0
2025-12-22,Bangarpet APMC,803.0,2017.0
2025-12-24,Bangarpet APMC,12.0,2400.0
2025-12-26,Bangarpet APMC,234.3,2351.0
2025-12-29,Bangarpet APMC,1877.6,2241.0
2025-12-30,Bangarpet APMC,24.5,2008.0
2025-12-31,Bangarpet APMC,1417.6,2000.0
2025-12-01,Bhadravathi APMC,168.0,2530.0
2025-12-02,Bhadravathi APMC,415.8,2508.0
2025-12-03,Bhadravathi APMC,323.5,2553.0
2025-12-04,Bhadravathi APMC,636.2,2513.0
2025-12-08,Bhadravathi APMC,1412.0,2602.0
2025-12-09,Bhadravathi APMC,242.2,2426.0
2025-12-10,Bhadravathi APMC,77.7,2375.0
2025-12-11,Bhadravathi APMC,549.9,2557.0
2025-12-12,Bhadravathi APMC,78.4,2400.0
2025-12-15,Bhadravathi APMC,239.8,2414.0
2025-12-16,Bhadravathi APMC,456.1,2506.0
2025-12-17,Bhadravathi APMC,169.3,2400.0
2025-12-18,Bhadravathi APMC,813.2,2550.0
2025-12-19,Bhadravathi APMC,242.8,2550.0
2025-12-20,Bhadravathi APMC,578.0,2400.0
2025-12-22,Bhadravathi APMC,1165.2,2550.0
2025-12-23,Bhadravathi APMC,541.7,2700.0
2025-12-26,Bhadravathi APMC,57.7,2400.0
2025-12-29,Bhadravathi APMC,300.7,2550.0
2025-12-30,Bhadravathi APMC,878.2,2500.0
2025-12-31,Bhadravathi APMC,105.7,2550.0
2025-12-01,Chamaraj Nagar APMC,28.0,2000.0
2025-12-04,Chamaraj Nagar APMC,50.0,2000.0
2025-12-06,Chamaraj Nagar APMC,32.0,2000.0
2025-12-09,Chamaraj Nagar APMC,66.0,2000.0
2025-12-12,Chamaraj Nagar APMC,224.8,2100.0
2025-12-13,Chamaraj Nagar APMC,17.400000000000002,2700.0
2025-12-15,Chamaraj Nagar APMC,100.0,2000.0
2025-12-16,Chamaraj Nagar APMC,109.2,2100.0
2025-12-17,Chamaraj Nagar APMC,18.5,2700.0
2025-12-18,Chamaraj Nagar APMC,450.0,2250.0
2025-12-19,Chamaraj Nagar APMC,411.5,2314.0
2025-12-20,Chamaraj Nagar APMC,265.90000000000003,2560.0
2025-12-22,Chamaraj Nagar APMC,285.0,2500.0
2025-12-23,Chamaraj Nagar APMC,322.5,2330.0
2025-12-24,Chamaraj Nagar APMC,180.3,2623.0
2025-12-25,Chamaraj Nagar APMC,223.6,2350.0
2025-12-26,Chamaraj Nagar APMC,271.0,2390.0
2025-12-27,Chamaraj Nagar APMC,44.0,2640.0
2025-12-29,Chamaraj Nagar APMC,470.7000000000001,2473.0
2025-12-30,Chamaraj Nagar APMC,63.2,2280.0
2025-12-31,Chamaraj Nagar APMC,408.4,2400.0
2025-12-01,Channagiri APMC,524.9,2442.0
2025-12-02,Channagiri APMC,15.0,2440.0
2025-12-04,Channagiri APMC,35.2,2500.0
2025-12-05,Channagiri APMC,75.2,2520.0
2025-12-06,Channagiri APMC,248.6,2440.0
2025-12-08,Channagiri APMC,142.20000000000002,2461.0
2025-12-10,Channagiri APMC,56.2,2350.0
2025-12-11,Channagiri APMC,206.9,2450.0
2025-12-12,Channagiri APMC,102.8,2450.0
2025-12-15,Channagiri APMC,505.4,2404.0
2025-12-16,Channagiri APMC,442.5,2429.0
2025-12-17,Channagiri APMC,150.0,2350.0
2025-12-18,Channagiri APMC,108.0,2338.0
2025-12-19,Channagiri APMC,61.400000000000006,2350.0
2025-12-20,Channagiri APMC,65.60000000000001,2353.0
2025-12-22,Channagiri APMC,22.4,2350.0
2025-12-29,Channagiri APMC,232.3,2474.0
2025-12-30,Channagiri APMC,138.3,2367.0
2025-12-02,Davangere APMC,1662.0,2430.0
2025-12-03,Davangere APMC,857.9000000000001,2448.0
2025-12-04,Davangere APMC,1115.5,2401.0
2025-12-09,Davangere APMC,1905.7,2439.0
2025-12-10,Davangere APMC,3101.3,2430.0
2025-12-11,Davangere APMC,1669.5,2454.0
2025-12-12,Davangere APMC,1379.4,2510.0
2025-12-15,Davangere APMC,740.8000000000001,2484.0
2025-12-16,Davangere APMC,2098.6,2480.0
2025-12-17,Davangere APMC,1546.3000000000002,2469.0
2025-12-18,Davangere APMC,2125.2000000000003,2417.0
2025-12-19,Davangere APMC,1470.8000000000002,2450.0
2025-12-20,Davangere APMC,1015.2,2446.0
2025-12-22,Davangere APMC,905.2,2480.0
2025-12-23,Davangere APMC,978.0,2458.0
2025-12-24,Davangere APMC,1272.3000000000002,2524.0
2025-12-25,Davangere APMC,163.4,2494.0
2025-12-26,Davangere APMC,1861.4,2491.0
2025-12-29,Davangere APMC,1202.4,2482.0
2025-12-30,Davangere APMC,1453.8000000000002,2431.0
2025-12-31,Davangere APMC,1420.3000000000002,2509.0
2025-12-03,Gonikappal APMC,13.5,2350.0
2025-12-17,Gonikappal APMC,137.4,2400.0
2025-12-18,Gonikappal APMC,146.6,2400.0
2025-12-19,Gonikappal APMC,104.7,2400.0
2025-12-11,H.B. Halli APMC,68.5,2450.0
2025-12-20,H.B. Halli APMC,401.8,2493.0
2025-12-01,Haliyala APMC,160.20000000000002,2300.0
2025-12-02,Haliyala APMC,106.2,2300.0
2025-12-03,Haliyala APMC,159.5,2300.0
2025-12-04,Haliyala APMC,128.5,2300.0
2025-12-18,Haliyala APMC,111.0,2350.0
2025-12-20,Haliyala APMC,204.8,2320.0
2025-12-21,Haliyala APMC,136.9,2320.0
2025-12-22,Haliyala APMC,62.0,2320.0
2025-12-23,Haliyala APMC,175.5,2320.0
2025-12-24,Haliyala APMC,46.0,2300.0
2025-12-28,Haliyala APMC,188.3,2350.0
2025-12-29,Haliyala APMC,113.0,2300.0
2025-12-30,Haliyala APMC,33.0,2350.0
2025-12-31,Haliyala APMC,30.0,2360.0
2025-12-27,Harappana Halli APMC,262.2,2443.0
2025-12-09,Honnali APMC,422.7000000000001,2335.0
2025-12-10,Honnali APMC,505.1,2294.0
2025-12-11,Honnali APMC,612.1,2532.0
2025-12-12,Honnali APMC,125.4,2398.0
2025-12-13,Honnali APMC,118.4,2423.0
2025-12-15,Honnali APMC,180.6,2441.0
2025-12-16,Honnali APMC,181.6,2446.0
2025-12-17,Honnali APMC,216.1,2482.0
2025-12-18,Honnali APMC,150.6,2430.0
2025-12-19,Honnali APMC,133.9,2467.0
2025-12-20,Honnali APMC,154.10000000000002,2521.0
2025-12-22,Honnali APMC,25.1,2450.0
2025-12-23,Honnali APMC,284.2,2612.0
2025-12-24,Honnali APMC,26.9,2431.0
2025-12-25,Honnali APMC,169.20000000000002,2471.0
2025-12-26,Honnali APMC,166.8,2394.0
2025-12-27,Honnali APMC,160.70000000000002,2503.0
2025-12-28,Honnali APMC,319.40000000000003,2507.0
2025-12-30,Honnali APMC,319.0,2560.0
2025-12-09,Hospet APMC,311.1,2100.0
2025-12-20,Hospet APMC,85.7,2000.0
2025-12-27,Hospet APMC,22.5,2200.0
2025-12-29,Hospet APMC,175.9,1710.0
2025-12-01,Hubli (Amaragol) APMC,11.0,2400.0
2025-12-11,Hubli (Amaragol) APMC,8.0,2400.0
2025-12-02,Hunsur APMC,232.5,2300.0
2025-12-04,Hunsur APMC,55.1,2320.0
2025-12-05,Hunsur APMC,10.5,2370.0
2025-12-10,Hunsur APMC,15.0,2370.0
2025-12-15,Hunsur APMC,25.0,2370.0
2025-12-16,Hunsur APMC,358.6,2562.0
2025-12-17,Hunsur APMC,37.8,2600.0
2025-12-18,Hunsur APMC,60.1,2370.0
2025-12-22,Hunsur APMC,32.2,2370.0
2025-12-23,Hunsur APMC,30.0,2370.0
2025-12-25,Hunsur APMC,94.0,2200.0
2025-12-29,Hunsur APMC,554.2,2370.0
2025-12-30,Hunsur APMC,106.4,2370.0
2025-12-05,K.R. Pet APMC,415.0,2000.0
2025-12-08,K.R. Pet APMC,40.0,2100.0
2025-12-12,K.R. Pet APMC,513.0,2000.0
2025-12-15,K.R. Pet APMC,28.0,2000.0
2025-12-17,K.R. Pet APMC,420.0,2000.0
2025-12-20,K.R. Pet APMC,33.5,2000.0
2025-12-24,K.R. Pet APMC,120.0,2000.0
2025-12-29,K.R. Pet APMC,136.20000000000002,2200.0
2025-12-01,Kalagategi APMC,24.0,2400.0
2025-12-05,Kalagategi APMC,25.0,2400.0
2025-12-08,Kalagategi APMC,106.4,2396.0
2025-12-10,Kalagategi APMC,16.5,2400.0
2025-12-11,Kalagategi APMC,16.5,2400.0
2025-12-12,Kalagategi APMC,65.2,2439.0
2025-12-26,Kalagategi APMC,16.3,2306.0
2025-12-15,Karwar APMC,10.0,2000.0
2025-12-29,Koppa APMC,1.7000000000000002,2500.0
2025-12-17,Madikeri APMC,15.0,2950.0
2025-12-19,Madikeri APMC,15.0,2650.0
2025-12-29,Madikeri APMC,34.0,2990.0
2025-12-30,Madikeri APMC,45.0,2980.0
2025-12-31,Madikeri APMC,15.0,2980.0
2025-12-04,Mundgod APMC,182.0,2700.0
2025-12-08,Mundgod APMC,113.3,2400.0
2025-12-10,Mundgod APMC,5.0,2260.0
2025-12-11,Mundgod APMC,6.2,2400.0
2025-12-12,Mundgod APMC,15.0,3000.0
2025-12-13,Mundgod APMC,16.5,2900.0
