date,market,arrival,modal_price
2025-12-11,Bagalakot APMC,26.200000000000003,2800.0
2025-12-02,Bijapur APMC,52.0,2854.0
2025-12-04,Bijapur APMC,15.0,2600.0
2025-12-10,Bijapur APMC,0.2,2352.0
2025-12-11,Bijapur APMC,18.4,2600.0
2025-12-16,Bijapur APMC,15.4,2700.0
2025-12-20,Bijapur APMC,1.0,2925.0
2025-12-24,Bijapur APMC,10.0,3100.0
2025-12-10,Davangere APMC,8.5,3001.0
2025-12-19,Davangere APMC,2.8000000000000003,2400.0
2025-12-29,Davangere APMC,6.300000000000001,2400.0
2025-12-30,Honnali APMC,2.5,2600.0
2025-12-31,Honnali APMC,12.0,2600.0
2025-12-01,Hospet APMC,6.9,3471.0
2025-12-13,Hospet APMC,9.5,3471.0
2025-12-17,Hospet APMC,13.0,3471.0
2025-12-01,Hubli (Amaragol) APMC,0.3,2813.0
2025-12-02,Hubli (Amaragol) APMC,0.2,2416.0
2025-12-03,Hubli (Amaragol) APMC,0.1,2122.0
2025-12-04,Hubli (Amaragol) APMC,27.4,2882.0
2025-12-09,Hubli (Amaragol) APMC,0.6000000000000001,2420.0
2025-12-10,Hubli (Amaragol) APMC,5.300000000000001,2359.0
2025-12-11,Hubli (Amaragol) APMC,60.5,2426.0
2025-12-12,Hubli (Amaragol) APMC,1.3,3370.0
2025-12-15,Hubli (Amaragol) APMC,3.6,3201.0
2025-12-16,Hubli (Amaragol) APMC,24.0,3421.0
2025-12-17,Hubli (Amaragol) APMC,0.2,2300.0
2025-12-18,Hubli (Amaragol) APMC,10.5,3215.0
2025-12-20,Hubli (Amaragol) APMC,4.4,2840.0
2025-12-22,Hubli (Amaragol) APMC,3.5,2731.0
2025-12-24,Hubli (Amaragol) APMC,0.5,3261.0
2025-12-29,Hubli (Amaragol) APMC,15.0,2000.0
2025-12-30,Hubli (Amaragol) APMC,5.800000000000001,3260.0
2025-12-31,Hubli (Amaragol) APMC,0.2,3020.0
2025-12-15,Kudchi APMC,2.0,5000.0
2025-12-31,Malur APMC,1350.0,2882.0
