"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Maize, State : Karnataka"
"Commodity : Maize, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
08/12/2025,1523.2,Hybrid/Local,1700.0,2059.0,2003.0
09/12/2025,956.3000000000001,Hybrid/Local,1500.0,2009.0,1916.0
10/12/2025,736.2,Hybrid/Local,1700.0,2000.0,1908.0
11/12/2025,698.3000000000001,Hybrid/Local,1720.0,1929.0,1881.0
12/12/2025,498.0,Hybrid/Local,1700.0,1970.0,1900.0
13/12/2025,833.3000000000001,Hybrid/Local,1700.0,1936.0,1897.0
15/12/2025,760.7,Hybrid/Local,1537.0,1979.0,1912.0
16/12/2025,678.5,Hybrid/Local,1537.0,1969.0,1915.0
17/12/2025,370.40000000000003,Hybrid/Local,1753.0,1939.0,1906.0
18/12/2025,452.1,Hybrid/Local,1800.0,1960.0,1911.0
20/12/2025,886.8000000000001,Hybrid/Local,1800.0,1990.0,1923.0
22/12/2025,614.0,Hybrid/Local,1600.0,1960.0,1912.0
23/12/2025,546.8000000000001,Hybrid/Local,1783.0,1991.0,1937.0
24/12/2025,522.4,Hybrid/Local,1620.0,1990.0,1928.0
26/12/2025,456.6,Hybrid/Local,1800.0,1959.0,1930.0
29/12/2025,705.4000000000001,Hybrid/Local,1650.0,1970.0,1924.0
30/12/2025,866.3000000000001,Hybrid/Local,1800.0,1965.0,1930.0
31/12/2025,822.5,Hybrid/Local,1495.0,1940.0,1892.0
Market Name : Bailahongal APMC
18/12/2025,1132.7,Hybrid/Local,1800.0,2000.0,1900.0
20/12/2025,25.700000000000003,Hybrid/Local,1800.0,1920.0,1863.0
Market Name : Bangarpet APMC
12/12/2025,16.6,Local,2000.0,2500.0,2207.0
Market Name : Bhadravathi APMC
01/12/2025,21.5,Local,1975.0,1975.0,1975.0
02/12/2025,34.0,Local,1700.0,1700.0,1700.0
03/12/2025,18.0,Local,1750.0,1750.0,1750.0
04/12/2025,80.10000000000001,Local,1670.0,2400.0,1769.0
08/12/2025,11.600000000000001,Local,1850.0,1850.0,1850.0
09/12/2025,175.60000000000002,Local,1720.0,2300.0,1987.0
10/12/2025,22.5,Local,2100.0,2100.0,2100.0
11/12/2025,79.2,Local,1850.0,2100.0,1993.0
12/12/2025,39.800000000000004,Local,2100.0,2100.0,2100.0
17/12/2025,37.0,Local,1900.0,1900.0,1900.0
18/12/2025,259.7,Local,1800.0,2100.0,2080.0
19/12/2025,50.800000000000004,Local,1775.0,2000.0,2000.0
20/12/2025,93.7,Local,1950.0,2040.0,2040.0
22/12/2025,72.10000000000001,Local,1950.0,1950.0,1950.0
23/12/2025,98.2,Local,1925.0,2050.0,2050.0
26/12/2025,106.2,Local,1950.0,2100.0,1950.0
29/12/2025,102.9,Local,1900.0,2025.0,2025.0
30/12/2025,23.400000000000002,Local,1950.0,1950.0,1950.0
Market Name : Bijapur APMC
01/12/2025,3654.2000000000003,Hybrid/Local,1625.0,1810.0,1718.0
02/12/2025,1184.9,Hybrid/Local,1629.0,1730.0,1680.0
03/12/2025,1186.7,Hybrid/Local,1653.0,1860.0,1757.0
04/12/2025,1251.9,Hybrid/Local,1700.0,1810.0,1755.0
10/12/2025,931.5,Hybrid/Local,1665.0,1900.0,1783.0
11/12/2025,1044.8,Hybrid/Local,1660.0,1902.0,1781.0
12/12/2025,845.5,Hybrid/Local,1800.0,2000.0,1890.0
15/12/2025,1014.6,Hybrid/Local,1700.0,1925.0,1880.0
16/12/2025,1075.6000000000001,Hybrid/Local,1750.0,2050.0,1900.0
17/12/2025,1714.8000000000002,Hybrid/Local,1650.0,1930.0,1885.0
18/12/2025,1123.1000000000001,Hybrid/Local,1750.0,1900.0,1875.0
19/12/2025,1284.3000000000002,Hybrid/Local,1800.0,1950.0,1900.0
20/12/2025,1503.4,Hybrid/Local,1500.0,1900.0,1880.0
22/12/2025,987.5,Hybrid/Local,1600.0,1945.0,1880.0
23/12/2025,1276.6000000000001,Hybrid/Local,1640.0,1950.0,1880.0
24/12/2025,1900.2,Hybrid/Local,1800.0,1915.0,1875.0
