date,market,arrival,modal_price
2025-12-08,Bagalakot APMC,1523.2,2003.0
2025-12-09,Bagalakot APMC,956.3,1916.0
2025-12-10,Bagalakot APMC,736.2,1908.0
2025-12-11,Bagalakot APMC,698.3000000000001,1881.0
2025-12-12,Bagalakot APMC,498.0,1900.0
2025-12-13,Bagalakot APMC,833.3000000000001,1897.0
2025-12-15,Bagalakot APMC,760.7,1912.0
2025-12-16,Bagalakot APMC,678.5,1915.0
2025-12-17,Bagalakot APMC,370.4,1906.0
2025-12-18,Bagalakot APMC,452.1,1911.0
2025-12-20,Bagalakot APMC,886.8000000000001,1923.0
2025-12-22,Bagalakot APMC,614.0,1912.0
2025-12-23,Bagalakot APMC,546.8000000000001,1937.0
2025-12-24,Bagalakot APMC,522.4,1928.0
2025-12-26,Bagalakot APMC,456.6,1930.0
2025-12-29,Bagalakot APMC,705.4000000000001,1924.0
2025-12-30,Bagalakot APMC,866.3000000000001,1930.0
2025-12-31,Bagalakot APMC,822.5,1892.0
2025-12-18,Bailahongal APMC,1132.7,1900.0
2025-12-20,Bailahongal APMC,25.700000000000003,1863.0
2025-12-12,Bangarpet APMC,16.6,2207.0
2025-12-01,Bhadravathi APMC,21.5,1975.0
2025-12-02,Bhadravathi APMC,34.0,1700.0
2025-12-03,Bhadravathi APMC,18.0,1750.0
2025-12-04,Bhadravathi APMC,80.10000000000001,1769.0
2025-12-08,Bhadravathi APMC,11.6,1850.0
2025-12-09,Bhadravathi APMC,175.60000000000002,1987.0
2025-12-10,Bhadravathi APMC,22.5,2100.0
2025-12-11,Bhadravathi APMC,79.2,1993.0
2025-12-12,Bhadravathi APMC,39.8,2100.0
2025-12-17,Bhadravathi APMC,37.0,1900.0
2025-12-18,Bhadravathi APMC,259.7,2080.0
2025-12-19,Bhadravathi APMC,50.8,2000.0
2025-12-20,Bhadravathi APMC,93.7,2040.0
2025-12-22,Bhadravathi APMC,72.10000000000001,1950.0
2025-12-23,Bhadravathi APMC,98.2,2050.0
2025-12-26,Bhadravathi APMC,106.2,1950.0
2025-12-29,Bhadravathi APMC,102.9,2025.0
2025-12-30,Bhadravathi APMC,23.4,1950.0
2025-12-01,Bijapur APMC,3654.2,1718.0
2025-12-02,Bijapur APMC,1184.9,1680.0
2025-12-03,Bijapur APMC,1186.7,1757.0
2025-12-04,Bijapur APMC,1251.9,1755.0
2025-12-10,Bijapur APMC,931.5,1783.0
2025-12-11,Bijapur APMC,1044.8,1781.0
2025-12-12,Bijapur APMC,845.5,1890.0
2025-12-15,Bijapur APMC,1014.6,1880.0
2025-12-16,Bijapur APMC,1075.6,1900.0
2025-12-17,Bijapur APMC,1714.8000000000002,1885.0
2025-12-18,Bijapur APMC,1123.1,1875.0
2025-12-19,Bijapur APMC,1284.3000000000002,1900.0
2025-12-20,Bijapur APMC,1503.4,1880.0
2025-12-22,Bijapur APMC,987.5,1880.0
2025-12-23,Bijapur APMC,1276.6,1880.0
2025-12-24,Bijapur APMC,1900.2,1875.0
2025-12-26,Bijapur APMC,1432.4,1900.0
2025-12-30,Bijapur APMC,1052.8,1917.0
2025-12-31,Bijapur APMC,1465.3000000000002,1910.0
2025-12-10,Chamaraj Nagar APMC,11.7,2100.0
2025-12-11,Chamaraj Nagar APMC,20.0,2250.0
2025-12-13,Chamaraj Nagar APMC,18.0,2200.0
2025-12-16,Chamaraj Nagar APMC,20.0,2200.0
2025-12-23,Chamaraj Nagar APMC,15.0,2100.0
2025-12-08,Channagiri APMC,13.2,1850.0
2025-12-10,Channagiri APMC,19.0,1950.0
2025-12-31,Channagiri APMC,343.90000000000003,1900.0
2025-12-10,Chitradurga APMC,960.9,2002.0
2025-12-12,Chitradurga APMC,1247.2,1965.0
2025-12-15,Chitradurga APMC,1985.2,1940.0
2025-12-17,Chitradurga APMC,1881.1,1889.0
2025-12-19,Chitradurga APMC,11542.0,1905.0
2025-12-24,Chitradurga APMC,1368.1,1902.0
2025-12-02,Davangere APMC,388.2000000000001,1936.0
2025-12-03,Davangere APMC,159.8,2001.0
2025-12-04,Davangere APMC,185.7,1960.0
2025-12-09,Davangere APMC,425.0,2112.0
2025-12-10,Davangere APMC,483.2000000000001,2076.0
2025-12-11,Davangere APMC,611.6,2045.0
2025-12-12,Davangere APMC,944.5,2026.0
2025-12-15,Davangere APMC,860.9000000000001,2006.0
2025-12-16,Davangere APMC,297.7,1928.0
2025-12-17,Davangere APMC,720.0,1927.0
2025-12-18,Davangere APMC,1119.0,1966.0
2025-12-19,Davangere APMC,538.7,1963.0
2025-12-20,Davangere APMC,221.6,1960.0
2025-12-22,Davangere APMC,520.4,1893.0
2025-12-23,Davangere APMC,497.8,1909.0
2025-12-24,Davangere APMC,414.9,1937.0
2025-12-25,Davangere APMC,54.900000000000006,1909.0
2025-12-26,Davangere APMC,660.9000000000001,1959.0
2025-12-29,Davangere APMC,1068.8,1898.0
2025-12-30,Davangere APMC,863.5,1891.0
2025-12-31,Davangere APMC,1499.5,1897.0
2025-12-12,Dharwar APMC,101.0,1900.0
2025-12-13,Dharwar APMC,63.1,1900.0
2025-12-16,Dharwar APMC,53.6,1850.0
2025-12-19,Dharwar APMC,33.0,1850.0
2025-12-25,Dharwar APMC,35.6,1820.0
2025-12-06,Gundlupet APMC,15.0,1850.0
2025-12-11,Gundlupet APMC,31.0,2000.0
2025-12-15,Gundlupet APMC,39.0,1800.0
2025-12-16,Gundlupet APMC,17.5,1800.0
2025-12-18,Gundlupet APMC,14.0,2000.0
2025-12-20,Gundlupet APMC,7.0,1900.0
2025-12-22,Gundlupet APMC,42.1,2000.0
2025-12-24,Gundlupet APMC,50.0,2000.0
2025-12-26,Gundlupet APMC,35.2,2000.0
2025-12-29,Gundlupet APMC,99.0,2000.0
2025-12-30,Gundlupet APMC,14.0,2000.0
2025-12-20,H.B. Halli APMC,907.7,1880.0
2025-12-01,Haliyala APMC,246.9,1750.0
2025-12-02,Haliyala APMC,135.0,1800.0
2025-12-03,Haliyala APMC,112.5,1800.0
2025-12-04,Haliyala APMC,268.40000000000003,1750.0
2025-12-18,Haliyala APMC,95.4,1900.0
2025-12-20,Haliyala APMC,329.20000000000005,1900.0
2025-12-21,Haliyala APMC,83.60000000000001,1850.0
2025-12-22,Haliyala APMC,89.4,1850.0
2025-12-23,Haliyala APMC,98.5,1850.0
2025-12-24,Haliyala APMC,76.60000000000001,1800.0
2025-12-28,Haliyala APMC,643.9000000000001,1850.0
2025-12-29,Haliyala APMC,123.9,1800.0
2025-12-30,Haliyala APMC,106.8,1850.0
2025-12-31,Haliyala APMC,100.9,1800.0
2025-12-11,Harappana Halli APMC,452.8,1957.0
2025-12-12,Harappana Halli APMC,111.8,1939.0
2025-12-13,Harappana Halli APMC,937.5,1924.0
2025-12-15,Harappana Halli APMC,869.0,1953.0
2025-12-18,Harappana Halli APMC,868.0,1900.0
2025-12-19,Harappana Halli APMC,738.2,1881.0
2025-12-20,Harappana Halli APMC,511.0,1943.0
2025-12-22,Harappana Halli APMC,836.7,1890.0
