"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Bajra(Pearl Millet/Cumbu), State : Karnataka"
"Commodity : Bajra(Pearl Millet/Cumbu), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
08/12/2025,8.1,Hybrid,1925.0,2239.0,2081.0
09/12/2025,12.200000000000001,Hybrid,1888.0,2339.0,2142.0
10/12/2025,69.60000000000001,Hybrid,1850.0,2272.0,2124.0
11/12/2025,10.3,Hybrid,1886.0,2449.0,2208.0
12/12/2025,43.800000000000004,Hybrid,1825.0,2289.0,2119.0
13/12/2025,23.0,Hybrid,1850.0,2359.0,2013.0
15/12/2025,49.400000000000006,Hybrid,1835.0,2499.0,2060.0
16/12/2025,47.800000000000004,Hybrid,1748.0,2369.0,2039.0
17/12/2025,10.8,Hybrid,1985.0,2162.0,2086.0
18/12/2025,57.7,Hybrid,1788.0,2339.0,2093.0
20/12/2025,41.6,Hybrid,1850.0,2129.0,2035.0
22/12/2025,64.60000000000001,Hybrid,1850.0,2409.0,2018.0
23/12/2025,56.900000000000006,Hybrid,1815.0,2411.0,2034.0
24/12/2025,48.5,Hybrid,1813.0,2419.0,1991.0
26/12/2025,28.5,Hybrid,1916.0,2229.0,1986.0
29/12/2025,23.0,Hybrid,1758.0,2055.0,1937.0
30/12/2025,56.1,Hybrid,1866.0,2159.0,1989.0
31/12/2025,13.3,Hybrid,1800.0,2159.0,1965.0
Market Name : Bijapur APMC
01/12/2025,11.200000000000001,Hybrid,2065.0,2154.0,2110.0
02/12/2025,8.0,Hybrid,2037.0,2400.0,2219.0
03/12/2025,54.900000000000006,Hybrid,2047.0,2600.0,2324.0
04/12/2025,1.5,Hybrid,1968.0,1968.0,1968.0
10/12/2025,0.8,Hybrid,2153.0,2153.0,2153.0
11/12/2025,0.8,Hybrid,2332.0,2332.0,2332.0
12/12/2025,3.1,Hybrid,2382.0,2382.0,2382.0
15/12/2025,17.2,Hybrid,1972.0,2279.0,2150.0
16/12/2025,13.5,Hybrid,2123.0,2350.0,2250.0
17/12/2025,3.3000000000000003,Hybrid,2180.0,2180.0,2180.0
18/12/2025,1.7000000000000002,Hybrid,2340.0,2340.0,2340.0
19/12/2025,0.8,Hybrid,2181.0,2181.0,2181.0
20/12/2025,2.0,Hybrid,2422.0,2422.0,2422.0
22/12/2025,18.7,Hybrid,2340.0,2340.0,2340.0
23/12/2025,2.3000000000000003,Hybrid,2229.0,2229.0,2229.0
24/12/2025,3.4000000000000004,Hybrid,2236.0,2236.0,2236.0
26/12/2025,9.200000000000001,Hybrid,2294.0,2350.0,2300.0
30/12/2025,3.2,Hybrid,2221.0,2221.0,2221.0
31/12/2025,14.5,Hybrid,2141.0,2600.0,2400.0
Market Name : Davangere APMC
23/12/2025,4.0,Local,2400.0,2400.0,2400.0
Market Name : H.B. Halli APMC
16/12/2025,31.5,Hybrid,1900.0,1900.0,1900.0
20/12/2025,32.7,Hybrid,1800.0,1800.0,1800.0
Market Name : Kalburgi APMC
09/12/2025,1.0,Local,2000.0,2900.0,2500.0
24/12/2025,1.0,Local,1800.0,2800.0,2200.0
30/12/2025,1.0,Local,2000.0,2800.0,2600.0
Market Name : Kottur APMC
04/12/2025,2.3000000000000003,Hybrid,2009.0,2414.0,2356.0
10/12/2025,119.0,Hybrid,1919.0,2351.0,2223.0
11/12/2025,9.3,Hybrid,1976.0,2410.0,2198.0
13/12/2025,4.0,Hybrid,1979.0,2351.0,2116.0
15/12/2025,17.900000000000002,Hybrid,1879.0,2280.0,2120.0
17/12/2025,3.3000000000000003,Hybrid,1788.0,2070.0,1905.0
18/12/2025,2.4000000000000004,Hybrid,1768.0,2333.0,2057.0
20/12/2025,0.9,Hybrid,2020.0,2120.0,2049.0
22/12/2025,0.30000000000000004,Hybrid,2139.0,2179.0,2152.0
23/12/2025,0.2,Hybrid,2210.0,2230.0,2220.0
24/12/2025,1.5,Hybrid,1789.0,1789.0,1789.0
25/12/2025,1.0,Hybrid,2112.0,2112.0,2112.0
26/12/2025,1.0,Hybrid,2188.0,2188.0,2188.0
27/12/2025,0.4,Hybrid,2128.0,2190.0,2145.0
29/12/2025,5.9,Hybrid,2110.0,2560.0,2288.0
31/12/2025,1.3,Hybrid,1838.0,2139.0,1927.0
Market Name : Raichur APMC
02/12/2025,1.6,Local,2117.0,3059.0,3059.0
10/12/2025,0.7000000000000001,Local,2711.0,2711.0,2711.0
Market Name : Ramdurga APMC
24/12/2025,7.2,Local,1969.0,2189.0,2110.0
26/12/2025,4.4,Local,1819.0,1989.0,1936.0
28/12/2025,2.8000000000000003,Local,2300.0,2300.0,2300.0
29/12/2025,5.6000000000000005,Local,1869.0,2329.0,2245.0
