date,market,arrival,modal_price
2025-12-08,Bagalakot APMC,8.1,2081.0
2025-12-09,Bagalakot APMC,12.2,2142.0
2025-12-10,Bagalakot APMC,69.60000000000001,2124.0
2025-12-11,Bagalakot APMC,10.3,2208.0
2025-12-12,Bagalakot APMC,43.8,2119.0
2025-12-13,Bagalakot APMC,23.0,2013.0
2025-12-15,Bagalakot APMC,49.400000000000006,2060.0
2025-12-16,Bagalakot APMC,47.8,2039.0
2025-12-17,Bagalakot APMC,10.8,2086.0
2025-12-18,Bagalakot APMC,57.7,2093.0
2025-12-20,Bagalakot APMC,41.6,2035.0
2025-12-22,Bagalakot APMC,64.60000000000001,2018.0
2025-12-23,Bagalakot APMC,56.900000000000006,2034.0
2025-12-24,Bagalakot APMC,48.5,1991.0
2025-12-26,Bagalakot APMC,28.5,1986.0
2025-12-29,Bagalakot APMC,23.0,1937.0
2025-12-30,Bagalakot APMC,56.1,1989.0
2025-12-31,Bagalakot APMC,13.3,1965.0
2025-12-01,Bijapur APMC,11.2,2110.0
2025-12-02,Bijapur APMC,8.0,2219.0
2025-12-03,Bijapur APMC,54.900000000000006,2324.0
2025-12-04,Bijapur APMC,1.5,1968.0
2025-12-10,Bijapur APMC,0.8,2153.0
2025-12-11,Bijapur APMC,0.8,2332.0
2025-12-12,Bijapur APMC,3.1,2382.0
2025-12-15,Bijapur APMC,17.2,2150.0
2025-12-16,Bijapur APMC,13.5,2250.0
2025-12-17,Bijapur APMC,3.3000000000000003,2180.0
2025-12-18,Bijapur APMC,1.7000000000000002,2340.0
2025-12-19,Bijapur APMC,0.8,2181.0
2025-12-20,Bijapur APMC,2.0,2422.0
2025-12-22,Bijapur APMC,18.7,2340.0
2025-12-23,Bijapur APMC,2.3000000000000003,2229.0
2025-12-24,Bijapur APMC,3.4000000000000004,2236.0
2025-12-26,Bijapur APMC,9.2,2300.0
2025-12-30,Bijapur APMC,3.2,2221.0
2025-12-31,Bijapur APMC,14.5,2400.0
2025-12-23,Davangere APMC,4.0,2400.0
2025-12-16,H.B. Halli APMC,31.5,1900.0
2025-12-20,H.B. Halli APMC,32.7,1800.0
2025-12-09,Kalburgi APMC,1.0,2500.0
2025-12-24,Kalburgi APMC,1.0,2200.0
2025-12-30,Kalburgi APMC,1.0,2600.0
2025-12-04,Kottur APMC,2.3000000000000003,2356.0
2025-12-10,Kottur APMC,119.0,2223.0
2025-12-11,Kottur APMC,9.3,2198.0
2025-12-13,Kottur APMC,4.0,2116.0
2025-12-15,Kottur APMC,17.900000000000002,2120.0
2025-12-17,Kottur APMC,3.3000000000000003,1905.0
2025-12-18,Kottur APMC,2.4000000000000004,2057.0
2025-12-20,Kottur APMC,0.9,2049.0
2025-12-22,Kottur APMC,0.3,2152.0
2025-12-23,Kottur APMC,0.2,2220.0
2025-12-24,Kottur APMC,1.5,1789.0
2025-12-25,Kottur APMC,1.0,2112.0
2025-12-26,Kottur APMC,1.0,2188.0
2025-12-27,Kottur APMC,0.4,2145.0
2025-12-29,Kottur APMC,5.9,2288.0
2025-12-31,Kottur APMC,1.3,1927.0
2025-12-02,Raichur APMC,1.6,3059.0
2025-12-10,Raichur APMC,0.7000000000000001,2711.0
2025-12-24,Ramdurga APMC,7.2,2110.0
2025-12-26,Ramdurga APMC,4.4,1936.0
2025-12-28,Ramdurga APMC,2.8000000000000003,2300.0
2025-12-29,Ramdurga APMC,5.6000000000000005,2245.0
