"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Jowar(Sorghum), State : Karnataka"
"Commodity : Jowar(Sorghum), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
24/12/2025,3.2,Local,1500.0,2500.0,2186.0
Market Name : Bijapur APMC
01/12/2025,10.700000000000001,Jowar Hybrid,1870.0,2500.0,2185.0
02/12/2025,0.1,Jowar Hybrid,2492.0,2492.0,2492.0
03/12/2025,8.0,Jowar ( White),4120.0,4200.0,4160.0
10/12/2025,0.9,Jowar Hybrid,2581.0,2581.0,2581.0
17/12/2025,0.1,Jowar Hybrid,1754.0,1754.0,1754.0
19/12/2025,0.4,Jowar Hybrid,2632.0,2632.0,2632.0
23/12/2025,0.30000000000000004,Jowar Hybrid,2542.0,2542.0,2542.0
26/12/2025,0.1,Jowar Hybrid,2510.0,2510.0,2510.0
30/12/2025,0.2,Jowar ( White),3039.0,3039.0,3039.0
31/12/2025,0.9,Jowar Hybrid,2657.0,2657.0,2657.0
Market Name : Davangere APMC
09/12/2025,0.6000000000000001,Local,4050.0,4050.0,4050.0
10/12/2025,43.0,Local,2050.0,2200.0,2100.0
11/12/2025,3.5,Local,2700.0,2700.0,2700.0
15/12/2025,2.0,Local,2700.0,2700.0,2700.0
19/12/2025,1.0,Local,2950.0,2950.0,2950.0
Market Name : Gundlupet APMC
23/12/2025,19.0,Local,2000.0,2100.0,2000.0
Market Name : H.B. Halli APMC
20/12/2025,1.5,Jowar Hybrid,2200.0,2200.0,2200.0
Market Name : Harappana Halli APMC
15/12/2025,30.0,Jowar Hybrid,1950.0,1950.0,1950.0
22/12/2025,37.0,Jowar Hybrid,1990.0,2050.0,2033.0
24/12/2025,38.0,Jowar Hybrid,2000.0,2000.0,2000.0
25/12/2025,28.0,Jowar Hybrid,1975.0,1975.0,1975.0
31/12/2025,27.5,Jowar Hybrid,2098.0,2098.0,2098.0
Market Name : Honnali APMC
17/12/2025,0.9,Local,3000.0,3000.0,3000.0
Market Name : Hospet APMC
13/12/2025,3.0,Jowar ( White),5151.0,5151.0,5151.0
15/12/2025,0.8,Local,2500.0,2500.0,2500.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,6.2,Jowar ( White),1669.0,3000.0,2612.0
02/12/2025,1.1,Jowar ( White),1946.0,3129.0,2743.0
03/12/2025,0.6000000000000001,Jowar Hybrid,3100.0,3250.0,3200.0
,1.4000000000000001,Jowar ( White),2012.0,5700.0,2665.0
04/12/2025,14.200000000000001,Jowar ( White),2016.0,2611.0,2526.0
09/12/2025,2.3000000000000003,Jowar ( White),2016.0,3126.0,2844.0
10/12/2025,1.4000000000000001,Jowar ( White),2236.0,2236.0,2236.0
11/12/2025,3.0,Jowar ( White),2026.0,3225.0,2940.0
12/12/2025,0.1,Jowar ( White),3099.0,3099.0,3099.0
15/12/2025,3.0,Jowar ( White),2026.0,3301.0,2466.0
,3.1,Jowar Hybrid,2818.0,3920.0,3550.0
16/12/2025,13.200000000000001,Jowar Hybrid,4240.0,4240.0,4240.0
,1.7000000000000002,Jowar ( White),2009.0,3252.0,3252.0
17/12/2025,1.5,Jowar Hybrid,2200.0,2200.0,2200.0
,0.7000000000000001,Jowar ( White),2310.0,3086.0,2509.0
18/12/2025,4.2,Jowar ( White),1909.0,3351.0,2791.0
,7.5,Jowar Hybrid,2000.0,2000.0,2000.0
20/12/2025,9.4,Jowar ( White),1811.0,3226.0,2525.0
22/12/2025,5.6000000000000005,Jowar ( White),2129.0,3491.0,2829.0
,13.5,Jowar Hybrid,2000.0,2000.0,2000.0
24/12/2025,10.5,Jowar ( White),1510.0,2286.0,1898.0
29/12/2025,4.0,Jowar Hybrid,1726.0,3159.0,2779.0
30/12/2025,3.6,Jowar ( White),1809.0,3301.0,2266.0
31/12/2025,6.800000000000001,Jowar ( White),4100.0,4600.0,4400.0
,0.9,Jowar Hybrid,1906.0,3039.0,2720.0
Market Name : Kalburgi APMC
24/12/2025,3.5,Jowar ( White),2800.0,4100.0,3600.0
30/12/2025,6.0,Jowar ( White),2800.0,4500.0,3900.0
Market Name : Kottur APMC
03/12/2025,5.4,Jowar Hybrid,1941.0,2580.0,2216.0
04/12/2025,2.3000000000000003,Jowar Hybrid,1906.0,2629.0,2021.0
10/12/2025,1.3,Jowar Hybrid,1955.0,2701.0,2133.0
11/12/2025,4.800000000000001,Jowar Hybrid,1976.0,2806.0,2143.0
13/12/2025,26.0,Jowar Hybrid,2099.0,2900.0,2311.0
15/12/2025,5.1000000000000005,Jowar Hybrid,1940.0,2429.0,2257.0
17/12/2025,6.6000000000000005,Jowar Hybrid,1268.0,2467.0,2071.0
18/12/2025,4.9,Jowar Hybrid,1828.0,2537.0,2350.0
19/12/2025,25.0,Jowar Hybrid,2180.0,2180.0,2180.0
20/12/2025,0.6000000000000001,Jowar Hybrid,1711.0,2176.0,1982.0
22/12/2025,5.2,Jowar Hybrid,1756.0,2669.0,2083.0
