date,market,arrival,modal_price
2025-12-24,Bangarpet APMC,3.2,2186.0
2025-12-01,Bijapur APMC,10.7,2185.0
2025-12-02,Bijapur APMC,0.1,2492.0
2025-12-03,Bijapur APMC,8.0,4160.0
2025-12-10,Bijapur APMC,0.9,2581.0
2025-12-17,Bijapur APMC,0.1,1754.0
2025-12-19,Bijapur APMC,0.4,2632.0
2025-12-23,Bijapur APMC,0.3,2542.0
2025-12-26,Bijapur APMC,0.1,2510.0
2025-12-30,Bijapur APMC,0.2,3039.0
2025-12-31,Bijapur APMC,0.9,2657.0
2025-12-09,Davangere APMC,0.6000000000000001,4050.0
2025-12-10,Davangere APMC,43.0,2100.0
2025-12-11,Davangere APMC,3.5,2700.0
2025-12-15,Davangere APMC,2.0,2700.0
2025-12-19,Davangere APMC,1.0,2950.0
2025-12-23,Gundlupet APMC,19.0,2000.0
2025-12-20,H.B. Halli APMC,1.5,2200.0
2025-12-15,Harappana Halli APMC,30.0,1950.0
2025-12-22,Harappana Halli APMC,37.0,2033.0
2025-12-24,Harappana Halli APMC,38.0,2000.0
2025-12-25,Harappana Halli APMC,28.0,1975.0
2025-12-31,Harappana Halli APMC,27.5,2098.0
2025-12-17,Honnali APMC,0.9,3000.0
2025-12-13,Hospet APMC,3.0,5151.0
2025-12-15,Hospet APMC,0.8,2500.0
2025-12-01,Hubli (Amaragol) APMC,6.2,2612.0
2025-12-02,Hubli (Amaragol) APMC,1.1,2743.0
2025-12-03,Hubli (Amaragol) APMC,0.6000000000000001,3200.0
2025-12-04,Hubli (Amaragol) APMC,14.2,2526.0
2025-12-09,Hubli (Amaragol) APMC,2.3000000000000003,2844.0
2025-12-10,Hubli (Amaragol) APMC,1.4,2236.0
2025-12-11,Hubli (Amaragol) APMC,3.0,2940.0
2025-12-12,Hubli (Amaragol) APMC,0.1,3099.0
2025-12-15,Hubli (Amaragol) APMC,3.0,2466.0
2025-12-16,Hubli (Amaragol) APMC,13.2,4240.0
2025-12-17,Hubli (Amaragol) APMC,1.5,2200.0
2025-12-18,Hubli (Amaragol) APMC,4.2,2791.0
2025-12-20,Hubli (Amaragol) APMC,9.4,2525.0
2025-12-22,Hubli (Amaragol) APMC,5.6000000000000005,2829.0
2025-12-24,Hubli (Amaragol) APMC,10.5,1898.0
2025-12-29,Hubli (Amaragol) APMC,4.0,2779.0
2025-12-30,Hubli (Amaragol) APMC,3.6,2266.0
2025-12-31,Hubli (Amaragol) APMC,6.800000000000001,4400.0
2025-12-24,Kalburgi APMC,3.5,3600.0
2025-12-30,Kalburgi APMC,6.0,3900.0
2025-12-03,Kottur APMC,5.4,2216.0
2025-12-04,Kottur APMC,2.3000000000000003,2021.0
2025-12-10,Kottur APMC,1.3,2133.0
2025-12-11,Kottur APMC,4.800000000000001,2143.0
2025-12-13,Kottur APMC,26.0,2311.0
2025-12-15,Kottur APMC,5.1000000000000005,2257.0
2025-12-17,Kottur APMC,6.6000000000000005,2071.0
2025-12-18,Kottur APMC,4.9,2350.0
2025-12-19,Kottur APMC,25.0,2180.0
2025-12-20,Kottur APMC,0.6000000000000001,1982.0
2025-12-22,Kottur APMC,5.2,2083.0
2025-12-23,Kottur APMC,1.1,1955.0
2025-12-24,Kottur APMC,0.3,2223.0
2025-12-25,Kottur APMC,0.1,2160.0
2025-12-26,Kottur APMC,0.8,2125.0
2025-12-27,Kottur APMC,29.1,2199.0
2025-12-29,Kottur APMC,2.2,2166.0
2025-12-30,Kottur APMC,0.2,2056.0
2025-12-31,Kottur APMC,2.5,2153.0
2025-12-01,Raichur APMC,0.7000000000000001,2420.0
2025-12-11,Raichur APMC,1.2000000000000002,2429.0
2025-12-13,Raichur APMC,0.4,2400.0
2025-12-24,Raichur APMC,0.3,3660.0
2025-12-24,Ramdurga APMC,0.2,3029.0
2025-12-26,Ramdurga APMC,0.4,3219.0
2025-12-28,Ramdurga APMC,6.1000000000000005,3000.0
2025-12-26,Sindhanur APMC,123.0,2605.0
