"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Ragi(Finger Millet), State : Karnataka"
"Commodity : Ragi(Finger Millet), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
03/12/2025,15.100000000000001,Local,3000.0,4000.0,3800.0
05/12/2025,20.3,Local,3500.0,4000.0,3800.0
08/12/2025,209.3,Local,3000.0,3700.0,3545.0
09/12/2025,18.0,Local,2000.0,3200.0,3000.0
18/12/2025,26.5,Local,3000.0,3500.0,3351.0
19/12/2025,10.100000000000001,Local,3500.0,4000.0,3810.0
22/12/2025,56.300000000000004,Local,3000.0,4000.0,3600.0
24/12/2025,48.1,Local,2500.0,3500.0,3000.0
26/12/2025,30.6,Local,3000.0,4000.0,3815.0
29/12/2025,27.3,Local,3000.0,3700.0,3495.0
Market Name : Bhadravathi APMC
09/12/2025,6.0,Local,3200.0,3200.0,3200.0
20/12/2025,2.5,Local,3300.0,3300.0,3300.0
29/12/2025,2.5,Local,3300.0,3300.0,3300.0
Market Name : Chamaraj Nagar APMC
04/12/2025,15.0,Local,3450.0,3450.0,3450.0
08/12/2025,15.0,Local,2800.0,2800.0,2800.0
09/12/2025,4.0,Local,2800.0,2800.0,2800.0
20/12/2025,12.0,Local,3450.0,3450.0,3450.0
Market Name : Davangere APMC
03/12/2025,8.3,Local,3569.0,3696.0,3624.0
04/12/2025,21.1,Local,3639.0,3696.0,3668.0
09/12/2025,53.0,Local,3659.0,3685.0,3673.0
10/12/2025,23.900000000000002,Local,3683.0,3701.0,3698.0
11/12/2025,2.3000000000000003,Local,3679.0,3679.0,3679.0
12/12/2025,12.3,Local,3589.0,3710.0,3643.0
15/12/2025,11.5,Local,3626.0,3832.0,3747.0
16/12/2025,2.7,Local,3550.0,3759.0,3673.0
17/12/2025,9.9,Local,3576.0,3659.0,3609.0
18/12/2025,6.800000000000001,Local,3655.0,3769.0,3719.0
19/12/2025,3.3000000000000003,Local,3656.0,3786.0,3749.0
20/12/2025,3.2,Local,3688.0,3811.0,3749.0
22/12/2025,20.3,Local,3559.0,3859.0,3712.0
23/12/2025,3.2,Local,3656.0,3853.0,3777.0
24/12/2025,14.700000000000001,Local,3672.0,3811.0,3739.0
25/12/2025,6.0,Local,3721.0,3751.0,3734.0
26/12/2025,37.9,Local,3665.0,3866.0,3780.0
29/12/2025,17.1,Local,3511.0,3879.0,3727.0
30/12/2025,21.0,Local,3665.0,3885.0,3734.0
31/12/2025,49.7,Local,3620.0,3829.0,3728.0
Market Name : Gundlupet APMC
01/12/2025,40.0,Local,3400.0,3400.0,3400.0
02/12/2025,3.7,Local,3400.0,3400.0,3400.0
06/12/2025,43.1,Local,3400.0,3400.0,3400.0
11/12/2025,2.5,Local,3400.0,3400.0,3400.0
16/12/2025,10.0,Local,4000.0,4000.0,4000.0
17/12/2025,20.0,Local,4200.0,4200.0,4200.0
18/12/2025,20.0,Local,3850.0,3850.0,3850.0
20/12/2025,30.0,Local,3400.0,3400.0,3400.0
22/12/2025,6.5,Local,3300.0,4000.0,3300.0
29/12/2025,15.0,Local,3800.0,3800.0,3800.0
30/12/2025,62.5,Local,3900.0,3975.0,3900.0
Market Name : Harappana Halli APMC
12/12/2025,29.0,Local,3125.0,3200.0,3169.0
13/12/2025,6.4,Local,3650.0,3650.0,3650.0
15/12/2025,27.5,Local,3500.0,3500.0,3500.0
18/12/2025,32.0,Local,3585.0,3700.0,3628.0
19/12/2025,33.5,Local,3200.0,3450.0,3303.0
22/12/2025,33.0,Local,3450.0,3450.0,3450.0
26/12/2025,15.100000000000001,Local,3600.0,3600.0,3600.0
27/12/2025,48.0,Local,3200.0,3500.0,3387.0
29/12/2025,25.3,Local,3600.0,3600.0,3600.0
30/12/2025,55.800000000000004,Local,3450.0,3500.0,3483.0
31/12/2025,27.5,Local,3500.0,3500.0,3500.0
Market Name : Holalkere APMC
30/12/2025,10.200000000000001,Red,2760.0,2890.0,2844.0
Market Name : Honnali APMC
08/12/2025,31.0,Local,3475.0,3475.0,3475.0
30/12/2025,26.400000000000002,Local,3550.0,3550.0,3550.0
Market Name : Kalagategi APMC
27/12/2025,5.4,Local,2500.0,2500.0,2500.0
Market Name : Kottur APMC
03/12/2025,26.700000000000003,Hybrid,3465.0,3696.0,3615.0
04/12/2025,0.8,Hybrid,3540.0,3711.0,3583.0
10/12/2025,0.8,Hybrid,3523.0,3939.0,3913.0
11/12/2025,2.0,Hybrid,3436.0,3626.0,3555.0
13/12/2025,0.4,Hybrid,3256.0,3850.0,3714.0
15/12/2025,1.6,Hybrid,3401.0,3713.0,3582.0
17/12/2025,5.300000000000001,Hybrid,3551.0,3692.0,3668.0
18/12/2025,0.5,Hybrid,3500.0,3686.0,3620.0
20/12/2025,2.3000000000000003,Hybrid,3421.0,3712.0,3657.0
22/12/2025,6.9,Hybrid,3661.0,3727.0,3708.0
23/12/2025,1.0,Hybrid,3750.0,3751.0,3750.0
24/12/2025,2.6,Hybrid,3451.0,3781.0,3764.0
25/12/2025,18.0,Hybrid,3107.0,3822.0,3214.0
26/12/2025,3.8000000000000003,Hybrid,3602.0,3926.0,3776.0
27/12/2025,29.3,Hybrid,3602.0,3861.0,3741.0
29/12/2025,32.2,Hybrid,3601.0,3966.0,3804.0
30/12/2025,3.8000000000000003,Hybrid,3601.0,3946.0,3719.0
31/12/2025,5.1000000000000005,Hybrid,3612.0,3952.0,3768.0
Market Name : Piriya Pattana APMC
02/12/2025,8.3,Local,3300.0,3300.0,3300.0
Market Name : Tumkur APMC
03/12/2025,21.200000000000003,Local,2900.0,4200.0,3250.0
11/12/2025,19.0,Local,2800.0,4200.0,3400.0
19/12/2025,30.0,Local,2800.0,4200.0,3600.0
24/12/2025,12.0,Local,2850.0,4300.0,3450.0
29/12/2025,47.0,Local,2600.0,4200.0,3400.0
