date,market,arrival,modal_price
2025-12-03,Bangarpet APMC,15.1,3800.0
2025-12-05,Bangarpet APMC,20.3,3800.0
2025-12-08,Bangarpet APMC,209.3,3545.0
2025-12-09,Bangarpet APMC,18.0,3000.0
2025-12-18,Bangarpet APMC,26.5,3351.0
2025-12-19,Bangarpet APMC,10.1,3810.0
2025-12-22,Bangarpet APMC,56.3,3600.0
2025-12-24,Bangarpet APMC,48.1,3000.0
2025-12-26,Bangarpet APMC,30.6,3815.0
2025-12-29,Bangarpet APMC,27.3,3495.0
2025-12-09,Bhadravathi APMC,6.0,3200.0
2025-12-20,Bhadravathi APMC,2.5,3300.0
2025-12-29,Bhadravathi APMC,2.5,3300.0
2025-12-04,Chamaraj Nagar APMC,15.0,3450.0
2025-12-08,Chamaraj Nagar APMC,15.0,2800.0
2025-12-09,Chamaraj Nagar APMC,4.0,2800.0
2025-12-20,Chamaraj Nagar APMC,12.0,3450.0
2025-12-03,Davangere APMC,8.3,3624.0
2025-12-04,Davangere APMC,21.1,3668.0
2025-12-09,Davangere APMC,53.0,3673.0
2025-12-10,Davangere APMC,23.9,3698.0
2025-12-11,Davangere APMC,2.3000000000000003,3679.0
2025-12-12,Davangere APMC,12.3,3643.0
2025-12-15,Davangere APMC,11.5,3747.0
2025-12-16,Davangere APMC,2.7,3673.0
2025-12-17,Davangere APMC,9.9,3609.0
2025-12-18,Davangere APMC,6.800000000000001,3719.0
2025-12-19,Davangere APMC,3.3000000000000003,3749.0
2025-12-20,Davangere APMC,3.2,3749.0
2025-12-22,Davangere APMC,20.3,3712.0
2025-12-23,Davangere APMC,3.2,3777.0
2025-12-24,Davangere APMC,14.7,3739.0
2025-12-25,Davangere APMC,6.0,3734.0
2025-12-26,Davangere APMC,37.9,3780.0
2025-12-29,Davangere APMC,17.1,3727.0
2025-12-30,Davangere APMC,21.0,3734.0
2025-12-31,Davangere APMC,49.7,3728.0
2025-12-01,Gundlupet APMC,40.0,3400.0
2025-12-02,Gundlupet APMC,3.7,3400.0
2025-12-06,Gundlupet APMC,43.1,3400.0
2025-12-11,Gundlupet APMC,2.5,3400.0
2025-12-16,Gundlupet APMC,10.0,4000.0
2025-12-17,Gundlupet APMC,20.0,4200.0
2025-12-18,Gundlupet APMC,20.0,3850.0
2025-12-20,Gundlupet APMC,30.0,3400.0
2025-12-22,Gundlupet APMC,6.5,3300.0
2025-12-29,Gundlupet APMC,15.0,3800.0
2025-12-30,Gundlupet APMC,62.5,3900.0
2025-12-12,Harappana Halli APMC,29.0,3169.0
2025-12-13,Harappana Halli APMC,6.4,3650.0
2025-12-15,Harappana Halli APMC,27.5,3500.0
2025-12-18,Harappana Halli APMC,32.0,3628.0
2025-12-19,Harappana Halli APMC,33.5,3303.0
2025-12-22,Harappana Halli APMC,33.0,3450.0
2025-12-26,Harappana Halli APMC,15.1,3600.0
2025-12-27,Harappana Halli APMC,48.0,3387.0
2025-12-29,Harappana Halli APMC,25.3,3600.0
2025-12-30,Harappana Halli APMC,55.8,3483.0
2025-12-31,Harappana Halli APMC,27.5,3500.0
2025-12-30,Holalkere APMC,10.2,2844.0
2025-12-08,Honnali APMC,31.0,3475.0
2025-12-30,Honnali APMC,26.4,3550.0
2025-12-27,Kalagategi APMC,5.4,2500.0
2025-12-03,Kottur APMC,26.700000000000003,3615.0
2025-12-04,Kottur APMC,0.8,3583.0
2025-12-10,Kottur APMC,0.8,3913.0
2025-12-11,Kottur APMC,2.0,3555.0
2025-12-13,Kottur APMC,0.4,3714.0
2025-12-15,Kottur APMC,1.6,3582.0
2025-12-17,Kottur APMC,5.300000000000001,3668.0
2025-12-18,Kottur APMC,0.5,3620.0
2025-12-20,Kottur APMC,2.3000000000000003,3657.0
2025-12-22,Kottur APMC,6.9,3708.0
2025-12-23,Kottur APMC,1.0,3750.0
2025-12-24,Kottur APMC,2.6,3764.0
2025-12-25,Kottur APMC,18.0,3214.0
2025-12-26,Kottur APMC,3.8,3776.0
2025-12-27,Kottur APMC,29.3,3741.0
2025-12-29,Kottur APMC,32.2,3804.0
2025-12-30,Kottur APMC,3.8,3719.0
2025-12-31,Kottur APMC,5.1000000000000005,3768.0
2025-12-02,Piriya Pattana APMC,8.3,3300.0
2025-12-03,Tumkur APMC,21.200000000000003,3250.0
2025-12-11,Tumkur APMC,19.0,3400.0
2025-12-19,Tumkur APMC,30.0,3600.0
2025-12-24,Tumkur APMC,12.0,3450.0
2025-12-29,Tumkur APMC,47.0,3400.0
