date,market,arrival,modal_price
2025-12-10,Bangarpet APMC,11.8,8500.0
2025-12-18,Bangarpet APMC,0.6000000000000001,9100.0
2025-12-19,Bangarpet APMC,5.7,9568.0
2025-12-29,Bangarpet APMC,2.1,9200.0
2025-12-31,Bangarpet APMC,17.7,9350.0
2025-12-12,Bijapur APMC,2.4000000000000004,8600.0
2025-12-21,Hiriyur APMC,4.5,9500.0
2025-12-10,Hospet APMC,2.4000000000000004,9200.0
2025-12-02,Hubli (Amaragol) APMC,0.6000000000000001,8125.0
2025-12-04,Hubli (Amaragol) APMC,9.9,7400.0
2025-12-09,Hubli (Amaragol) APMC,3.0,9401.0
2025-12-10,Hubli (Amaragol) APMC,1.5,9351.0
2025-12-11,Hubli (Amaragol) APMC,2.4000000000000004,9000.0
2025-12-15,Hubli (Amaragol) APMC,17.400000000000002,8000.0
2025-12-17,Hubli (Amaragol) APMC,1.8,9301.0
2025-12-22,Hubli (Amaragol) APMC,12.8,9651.0
2025-12-30,Hubli (Amaragol) APMC,12.5,9601.0
2025-12-31,Hubli (Amaragol) APMC,45.900000000000006,7800.0
