"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Arhar(Tur/Red Gram)(Whole), State : Karnataka"
"Commodity : Arhar(Tur/Red Gram)(Whole), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
09/12/2025,6.2,Arhar (Whole),6219.0,6589.0,6379.0
10/12/2025,11.3,Arhar (Whole),5207.0,6729.0,6355.0
11/12/2025,12.4,Arhar (Whole),4000.0,6920.0,6538.0
12/12/2025,6.7,Arhar (Whole),3000.0,6950.0,6600.0
13/12/2025,5.2,Arhar (Whole),4509.0,7029.0,6581.0
15/12/2025,27.700000000000003,Arhar (Whole),3600.0,7100.0,6829.0
16/12/2025,53.6,Arhar (Whole),6155.0,7159.0,6851.0
17/12/2025,77.10000000000001,Arhar (Whole),4000.0,7159.0,6831.0
18/12/2025,89.7,Arhar (Whole),4200.0,7129.0,6716.0
20/12/2025,125.60000000000001,Arhar (Whole),4800.0,7109.0,6670.0
22/12/2025,127.2,Arhar (Whole),4000.0,7081.0,6590.0
23/12/2025,184.70000000000002,Arhar (Whole),3111.0,7149.0,6636.0
24/12/2025,134.6,Arhar (Whole),3007.0,7149.0,6594.0
26/12/2025,159.10000000000002,Arhar (Whole),2708.0,7181.0,6734.0
29/12/2025,394.0,Arhar (Whole),2787.0,7159.0,6673.0
30/12/2025,268.0,Arhar (Whole),2679.0,7139.0,6659.0
31/12/2025,147.4,Arhar (Whole),3055.0,7089.0,6646.0
Market Name : Bangarpet APMC
24/12/2025,0.9,Arhar (Whole),6500.0,8000.0,7900.0
Market Name : Bijapur APMC
01/12/2025,11.100000000000001,Arhar (Whole),6091.0,6494.0,6293.0
02/12/2025,30.5,Arhar (Whole),6100.0,6344.0,6222.0
03/12/2025,14.100000000000001,Arhar (Whole),5700.0,6366.0,6033.0
04/12/2025,40.2,Arhar (Whole),6094.0,6094.0,6094.0
10/12/2025,41.400000000000006,Arhar (Whole),4901.0,6544.0,5723.0
11/12/2025,82.10000000000001,Arhar (Whole),6268.0,6625.0,6447.0
12/12/2025,91.10000000000001,Arhar (Whole),6160.0,6934.0,6547.0
15/12/2025,86.4,Arhar (Whole),6707.0,6707.0,6707.0
16/12/2025,128.6,Arhar (Whole),6681.0,7029.0,6850.0
17/12/2025,203.20000000000002,Arhar (Whole),6680.0,7200.0,6900.0
18/12/2025,212.8,Arhar (Whole),5500.0,7100.0,6300.0
19/12/2025,193.10000000000002,Arhar (Whole),6000.0,6953.0,6500.0
20/12/2025,167.8,Arhar (Whole),6550.0,6949.0,6800.0
22/12/2025,83.80000000000001,Arhar (Whole),5453.0,7000.0,6227.0
23/12/2025,222.5,Arhar (Whole),6051.0,7000.0,6700.0
24/12/2025,300.6,Arhar (Whole),6500.0,7000.0,6750.0
26/12/2025,133.4,Arhar (Whole),6492.0,6777.0,6500.0
30/12/2025,243.9,Arhar (Whole),6350.0,7200.0,6850.0
31/12/2025,207.3,Arhar (Whole),6574.0,7200.0,6900.0
Market Name : Chitradurga APMC
10/12/2025,2.8000000000000003,Arhar (Whole),6392.0,6666.0,6585.0
12/12/2025,12.4,Arhar (Whole),3011.0,7031.0,6608.0
15/12/2025,29.6,Arhar (Whole),3011.0,7379.0,7230.0
17/12/2025,62.7,Arhar (Whole),3009.0,7011.0,6463.0
19/12/2025,81.80000000000001,Arhar (Whole),3011.0,7029.0,6600.0
24/12/2025,90.2,Arhar (Whole),3162.0,7039.0,6491.0
Market Name : Davangere APMC
