date,market,arrival,modal_price
2025-12-09,Bagalakot APMC,6.2,6379.0
2025-12-10,Bagalakot APMC,11.3,6355.0
2025-12-11,Bagalakot APMC,12.4,6538.0
2025-12-12,Bagalakot APMC,6.7,6600.0
2025-12-13,Bagalakot APMC,5.2,6581.0
2025-12-15,Bagalakot APMC,27.700000000000003,6829.0
2025-12-16,Bagalakot APMC,53.6,6851.0
2025-12-17,Bagalakot APMC,77.10000000000001,6831.0
2025-12-18,Bagalakot APMC,89.7,6716.0
2025-12-20,Bagalakot APMC,125.6,6670.0
2025-12-22,Bagalakot APMC,127.2,6590.0
2025-12-23,Bagalakot APMC,184.7,6636.0
2025-12-24,Bagalakot APMC,134.6,6594.0
2025-12-26,Bagalakot APMC,159.10000000000002,6734.0
2025-12-29,Bagalakot APMC,394.0,6673.0
2025-12-30,Bagalakot APMC,268.0,6659.0
2025-12-31,Bagalakot APMC,147.4,6646.0
2025-12-24,Bangarpet APMC,0.9,7900.0
2025-12-01,Bijapur APMC,11.1,6293.0
2025-12-02,Bijapur APMC,30.5,6222.0
2025-12-03,Bijapur APMC,14.1,6033.0
2025-12-04,Bijapur APMC,40.2,6094.0
2025-12-10,Bijapur APMC,41.400000000000006,5723.0
2025-12-11,Bijapur APMC,82.10000000000001,6447.0
2025-12-12,Bijapur APMC,91.1,6547.0
2025-12-15,Bijapur APMC,86.4,6707.0
2025-12-16,Bijapur APMC,128.6,6850.0
2025-12-17,Bijapur APMC,203.2,6900.0
2025-12-18,Bijapur APMC,212.8,6300.0
2025-12-19,Bijapur APMC,193.1,6500.0
2025-12-20,Bijapur APMC,167.8,6800.0
2025-12-22,Bijapur APMC,83.80000000000001,6227.0
2025-12-23,Bijapur APMC,222.5,6700.0
2025-12-24,Bijapur APMC,300.6,6750.0
2025-12-26,Bijapur APMC,133.4,6500.0
2025-12-30,Bijapur APMC,243.9,6850.0
2025-12-31,Bijapur APMC,207.3,6900.0
2025-12-10,Chitradurga APMC,2.8000000000000003,6585.0
2025-12-12,Chitradurga APMC,12.4,6608.0
2025-12-15,Chitradurga APMC,29.6,7230.0
2025-12-17,Chitradurga APMC,62.7,6463.0
2025-12-19,Chitradurga APMC,81.80000000000001,6600.0
2025-12-24,Chitradurga APMC,90.2,6491.0
2025-12-22,Davangere APMC,0.8,5371.0
2025-12-23,Davangere APMC,20.8,5631.0
2025-12-24,Davangere APMC,1.5,5823.0
2025-12-26,Davangere APMC,4.5,5846.0
2025-12-29,Davangere APMC,22.0,5620.0
2025-12-30,Davangere APMC,1.5,5797.0
2025-12-29,Harappana Halli APMC,60.8,5442.0
2025-12-11,Hubli (Amaragol) APMC,0.1,3890.0
2025-12-15,Hubli (Amaragol) APMC,0.1,2680.0
2025-12-20,Hubli (Amaragol) APMC,0.2,3569.0
2025-12-29,Hubli (Amaragol) APMC,0.4,3371.0
2025-12-30,Hubli (Amaragol) APMC,0.1,3431.0
2025-12-01,Kalburgi APMC,6.0,6459.0
2025-12-02,Kalburgi APMC,4.0,6359.0
2025-12-03,Kalburgi APMC,2.0,6409.0
2025-12-04,Kalburgi APMC,3.3000000000000003,6450.0
2025-12-09,Kalburgi APMC,2.0,6158.0
2025-12-10,Kalburgi APMC,0.1,6339.0
2025-12-12,Kalburgi APMC,0.2,6544.0
2025-12-15,Kalburgi APMC,0.5,6909.0
2025-12-16,Kalburgi APMC,0.5,6588.0
2025-12-17,Kalburgi APMC,1.2000000000000002,6609.0
2025-12-18,Kalburgi APMC,0.4,6639.0
2025-12-20,Kalburgi APMC,2.0,6609.0
2025-12-22,Kalburgi APMC,0.3,6739.0
2025-12-23,Kalburgi APMC,1.5,6800.0
2025-12-24,Kalburgi APMC,1.0,6439.0
2025-12-26,Kalburgi APMC,1.8,6719.0
2025-12-29,Kalburgi APMC,1.0,7229.0
2025-12-30,Kalburgi APMC,1.0,7303.0
2025-12-31,Kalburgi APMC,1.0,7339.0
2025-12-03,Kottur APMC,0.3,5905.0
2025-12-10,Kottur APMC,0.4,5285.0
2025-12-11,Kottur APMC,0.4,6213.0
2025-12-13,Kottur APMC,0.9,6058.0
2025-12-15,Kottur APMC,1.0,5772.0
2025-12-17,Kottur APMC,0.8,6087.0
2025-12-18,Kottur APMC,1.5,5916.0
2025-12-20,Kottur APMC,4.0,5707.0
2025-12-22,Kottur APMC,2.2,5686.0
2025-12-23,Kottur APMC,1.2000000000000002,5771.0
2025-12-24,Kottur APMC,5.300000000000001,5541.0
2025-12-25,Kottur APMC,0.1,5722.0
2025-12-26,Kottur APMC,3.7,5969.0
2025-12-27,Kottur APMC,1.5,6072.0
2025-12-29,Kottur APMC,3.0,5827.0
2025-12-30,Kottur APMC,0.7000000000000001,5992.0
2025-12-31,Kottur APMC,0.6000000000000001,6138.0
2025-12-01,Raichur APMC,42.7,6690.0
2025-12-02,Raichur APMC,49.6,6670.0
2025-12-03,Raichur APMC,52.400000000000006,6793.0
2025-12-04,Raichur APMC,65.0,6725.0
2025-12-09,Raichur APMC,72.9,7229.0
2025-12-10,Raichur APMC,86.10000000000001,7009.0
2025-12-11,Raichur APMC,122.9,7211.0
2025-12-12,Raichur APMC,204.8,7259.0
2025-12-13,Raichur APMC,57.6,7389.0
2025-12-15,Raichur APMC,210.8,7339.0
2025-12-16,Raichur APMC,192.0,7259.0
2025-12-17,Raichur APMC,263.8,7229.0
2025-12-18,Raichur APMC,389.9,7139.0
2025-12-20,Raichur APMC,0.2,6093.0
2025-12-22,Raichur APMC,617.6,6981.0
2025-12-23,Raichur APMC,774.4000000000001,7001.0
2025-12-24,Raichur APMC,666.0,7002.0
2025-12-26,Raichur APMC,0.9,7000.0
2025-12-29,Raichur APMC,891.4000000000001,7162.0
2025-12-30,Raichur APMC,1062.7,6972.0
2025-12-31,Raichur APMC,567.1,6989.0
2025-12-24,Ramdurga APMC,3.9,6337.0
2025-12-29,Ramdurga APMC,5.800000000000001,6622.0
2025-12-26,Sindhanur APMC,32.300000000000004,6900.0
2025-12-19,Tumkur APMC,10.0,8400.0
