"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Green Gram(Moong)(Whole), State : Karnataka"
"Commodity : Green Gram(Moong)(Whole), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
12/12/2025,3.1,Green (Whole),5500.0,5500.0,5500.0
13/12/2025,0.2,Green (Whole),4100.0,4100.0,4100.0
Market Name : Bailahongal APMC
01/12/2025,71.0,Hybrid,4400.0,4800.0,4784.0
04/12/2025,110.2,Hybrid,4500.0,5800.0,5181.0
05/12/2025,58.5,Hybrid,4500.0,6200.0,5985.0
09/12/2025,30.0,Hybrid,4800.0,6000.0,5800.0
15/12/2025,41.900000000000006,Hybrid,4350.0,5600.0,4983.0
16/12/2025,27.0,Hybrid,3000.0,3800.0,3550.0
17/12/2025,32.6,Hybrid,2850.0,4500.0,3045.0
20/12/2025,17.900000000000002,Hybrid,4500.0,7100.0,7000.0
26/12/2025,22.1,Hybrid,4300.0,5000.0,4803.0
Market Name : Davangere APMC
09/12/2025,1.5,Green (Whole),9300.0,9300.0,9300.0
Market Name : Hubli (Amaragol) APMC
11/12/2025,156.10000000000002,Green (Whole),909.0,7409.0,3833.0
12/12/2025,48.0,Green (Whole),701.0,7411.0,4662.0
15/12/2025,162.10000000000002,Green (Whole),1000.0,7309.0,5200.0
16/12/2025,57.2,Green (Whole),711.0,8611.0,5040.0
,0.5,Other,1500.0,1500.0,1500.0
17/12/2025,75.4,Green (Whole),709.0,7031.0,4899.0
18/12/2025,132.70000000000002,Green (Whole),621.0,7699.0,4210.0
20/12/2025,209.4,Green (Whole),1001.0,7499.0,5899.0
,10.100000000000001,Other,2100.0,2100.0,2100.0
22/12/2025,14.9,Other,2300.0,10601.0,2300.0
,170.0,Green (Whole),1001.0,7611.0,4399.0
24/12/2025,99.80000000000001,Green (Whole),1010.0,6900.0,4799.0
,15.9,Other,1900.0,6460.0,5600.0
29/12/2025,50.0,Other,3000.0,3000.0,3000.0
,110.60000000000001,Green (Whole),1000.0,9025.0,5010.0
30/12/2025,118.4,Green (Whole),1009.0,3500.0,3500.0
31/12/2025,2.2,Other,9600.0,9800.0,9800.0
,52.0,Green (Whole),721.0,7352.0,5410.0
Market Name : Raichur APMC
18/12/2025,0.7000000000000001,Hybrid,6426.0,6426.0,6426.0
26/12/2025,0.1,Hybrid,6707.0,6707.0,6707.0
29/12/2025,1.3,Hybrid,7600.0,7600.0,7600.0
Market Name : Ramdurga APMC
24/12/2025,20.400000000000002,Hybrid,1419.0,8589.0,4069.0
Market Name : Sankeshwar APMC
17/12/2025,6.800000000000001,Hybrid,8000.0,8800.0,8500.0
