date,market,arrival,modal_price
2025-12-12,Bagalakot APMC,3.1,5500.0
2025-12-13,Bagalakot APMC,0.2,4100.0
2025-12-01,Bailahongal APMC,71.0,4784.0
2025-12-04,Bailahongal APMC,110.2,5181.0
2025-12-05,Bailahongal APMC,58.5,5985.0
2025-12-09,Bailahongal APMC,30.0,5800.0
2025-12-15,Bailahongal APMC,41.900000000000006,4983.0
2025-12-16,Bailahongal APMC,27.0,3550.0
2025-12-17,Bailahongal APMC,32.6,3045.0
2025-12-20,Bailahongal APMC,17.900000000000002,7000.0
2025-12-26,Bailahongal APMC,22.1,4803.0
2025-12-09,Davangere APMC,1.5,9300.0
2025-12-11,Hubli (Amaragol) APMC,156.10000000000002,3833.0
2025-12-12,Hubli (Amaragol) APMC,48.0,4662.0
2025-12-15,Hubli (Amaragol) APMC,162.10000000000002,5200.0
2025-12-16,Hubli (Amaragol) APMC,57.2,5040.0
2025-12-17,Hubli (Amaragol) APMC,75.4,4899.0
2025-12-18,Hubli (Amaragol) APMC,132.70000000000002,4210.0
2025-12-20,Hubli (Amaragol) APMC,209.4,5899.0
2025-12-22,Hubli (Amaragol) APMC,14.9,2300.0
2025-12-24,Hubli (Amaragol) APMC,99.8,4799.0
2025-12-29,Hubli (Amaragol) APMC,50.0,3000.0
2025-12-30,Hubli (Amaragol) APMC,118.4,3500.0
2025-12-31,Hubli (Amaragol) APMC,2.2,9800.0
2025-12-18,Raichur APMC,0.7000000000000001,6426.0
2025-12-26,Raichur APMC,0.1,6707.0
2025-12-29,Raichur APMC,1.3,7600.0
2025-12-24,Ramdurga APMC,20.4,4069.0
2025-12-17,Sankeshwar APMC,6.800000000000001,8500.0
