"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Black Gram(Urd Beans)(Whole), State : Karnataka"
"Commodity : Black Gram(Urd Beans)(Whole), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
13/12/2025,7.5,Black Gram (Whole),3800.0,3800.0,3800.0
Market Name : Hospet APMC
13/12/2025,4.0,Black Gram (Whole),9400.0,9400.0,9400.0
17/12/2025,15.8,Black Gram (Whole),9400.0,9600.0,9600.0
23/12/2025,11.100000000000001,Black Gram (Whole),9000.0,9500.0,9500.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,22.5,Black Gram (Whole),2021.0,6162.0,5464.0
02/12/2025,3.7,Black Gram (Whole),2517.0,5851.0,5117.0
03/12/2025,24.0,Black Gram (Whole),3066.0,5885.0,5404.0
04/12/2025,11.4,Black Gram (Whole),1509.0,6125.0,5494.0
09/12/2025,10.8,Black Gram (Whole),2616.0,6054.0,5281.0
10/12/2025,9.0,Black Gram (Whole),2221.0,6081.0,5656.0
11/12/2025,11.5,Black Gram (Whole),2086.0,6149.0,5345.0
12/12/2025,6.300000000000001,Black Gram (Whole),4216.0,6150.0,5722.0
15/12/2025,7.2,Black Gram (Whole),2086.0,6075.0,6011.0
16/12/2025,7.1000000000000005,Black Gram (Whole),2866.0,6089.0,5269.0
17/12/2025,29.900000000000002,Black Gram (Whole),2289.0,6111.0,5850.0
18/12/2025,5.300000000000001,Black Gram (Whole),2516.0,6061.0,5411.0
20/12/2025,9.8,Black Gram (Whole),1616.0,6245.0,5576.0
22/12/2025,9.600000000000001,Black Gram (Whole),1516.0,6051.0,5980.0
24/12/2025,43.5,Black Gram (Whole),1616.0,6011.0,5120.0
29/12/2025,23.8,Black Gram (Whole),1326.0,6091.0,5911.0
30/12/2025,13.700000000000001,Black Gram (Whole),2869.0,6121.0,6051.0
31/12/2025,38.400000000000006,Black Gram (Whole),2866.0,6121.0,5960.0
Market Name : Malur APMC
18/12/2025,12.700000000000001,Black Gram (Whole),7500.0,7800.0,7644.0
