date,market,arrival,modal_price
2025-12-13,Bagalakot APMC,7.5,3800.0
2025-12-13,Hospet APMC,4.0,9400.0
2025-12-17,Hospet APMC,15.8,9600.0
2025-12-23,Hospet APMC,11.1,9500.0
2025-12-01,Hubli (Amaragol) APMC,22.5,5464.0
2025-12-02,Hubli (Amaragol) APMC,3.7,5117.0
2025-12-03,Hubli (Amaragol) APMC,24.0,5404.0
2025-12-04,Hubli (Amaragol) APMC,11.4,5494.0
2025-12-09,Hubli (Amaragol) APMC,10.8,5281.0
2025-12-10,Hubli (Amaragol) APMC,9.0,5656.0
2025-12-11,Hubli (Amaragol) APMC,11.5,5345.0
2025-12-12,Hubli (Amaragol) APMC,6.300000000000001,5722.0
2025-12-15,Hubli (Amaragol) APMC,7.2,6011.0
2025-12-16,Hubli (Amaragol) APMC,7.1000000000000005,5269.0
2025-12-17,Hubli (Amaragol) APMC,29.9,5850.0
2025-12-18,Hubli (Amaragol) APMC,5.300000000000001,5411.0
2025-12-20,Hubli (Amaragol) APMC,9.8,5576.0
2025-12-22,Hubli (Amaragol) APMC,9.6,5980.0
2025-12-24,Hubli (Amaragol) APMC,43.5,5120.0
2025-12-29,Hubli (Amaragol) APMC,23.8,5911.0
2025-12-30,Hubli (Amaragol) APMC,13.7,6051.0
2025-12-31,Hubli (Amaragol) APMC,38.400000000000006,5960.0
2025-12-18,Malur APMC,12.7,7644.0
