"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Groundnut, State : Karnataka"
"Commodity : Groundnut, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bijapur APMC
10/12/2025,0.1,Gejje,4190.0,4190.0,4190.0
19/12/2025,0.1,Gejje,4357.0,4357.0,4357.0
24/12/2025,0.2,Gejje,4169.0,4169.0,4169.0
30/12/2025,0.1,Gejje,4173.0,4173.0,4173.0
Market Name : Chitradurga APMC
10/12/2025,66.5,Natte,2869.0,8062.0,7119.0
12/12/2025,115.7,Natte,3069.0,8469.0,7025.0
15/12/2025,75.9,Natte,4009.0,8369.0,6948.0
17/12/2025,43.300000000000004,Natte,4069.0,8511.0,7031.0
19/12/2025,46.6,Natte,1801.0,8600.0,7046.0
24/12/2025,52.800000000000004,Natte,3109.0,8389.0,7197.0
Market Name : Davangere APMC
04/12/2025,0.2,Gejje,4109.0,4109.0,4109.0
Market Name : Hiriyur APMC
01/12/2025,3.7,Big (With Shell),3756.0,3756.0,3756.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,14.0,Gejje,2020.0,7940.0,7226.0
02/12/2025,2.0,Gejje,3909.0,8130.0,6900.0
03/12/2025,4.4,Gejje,6342.0,8070.0,7298.0
04/12/2025,4.4,Gejje,4810.0,7770.0,6684.0
09/12/2025,1.8,Gejje,6390.0,8120.0,7352.0
10/12/2025,5.300000000000001,Gejje,4090.0,7600.0,7287.0
11/12/2025,10.4,Gejje,3270.0,7990.0,7428.0
12/12/2025,6.1000000000000005,Gejje,4510.0,8340.0,7242.0
15/12/2025,12.600000000000001,Gejje,2590.0,8410.0,7166.0
16/12/2025,5.800000000000001,Gejje,4680.0,8320.0,6300.0
17/12/2025,2.9000000000000004,Gejje,3890.0,8470.0,7309.0
18/12/2025,5.2,Gejje,2870.0,8100.0,6201.0
20/12/2025,9.8,Gejje,2570.0,7830.0,6241.0
22/12/2025,5.800000000000001,Gejje,1010.0,7702.0,6126.0
24/12/2025,3.0,Gejje,4260.0,7290.0,6167.0
29/12/2025,5.300000000000001,Gejje,5610.0,7630.0,6939.0
30/12/2025,3.0,Gejje,2060.0,8002.0,7044.0
31/12/2025,0.7000000000000001,Gejje,4610.0,7800.0,6437.0
Market Name : Kottur APMC
12/12/2025,17.7,Natte,3091.0,8370.0,7106.0
16/12/2025,5.9,Natte,3818.0,8309.0,7392.0
19/12/2025,1.4000000000000001,Natte,4800.0,8530.0,6736.0
23/12/2025,5.300000000000001,Natte,3100.0,8415.0,6376.0
26/12/2025,1.6,Natte,3050.0,8550.0,7172.0
30/12/2025,1.8,Natte,4820.0,8680.0,7736.0
Market Name : Raichur APMC
01/12/2025,0.4,Gungri (With Shell),4296.0,4296.0,4296.0
02/12/2025,0.4,Gungri (With Shell),5375.0,5375.0,5375.0
03/12/2025,1.2000000000000002,Gungri (With Shell),4905.0,5545.0,5545.0
10/12/2025,0.2,Gungri (With Shell),4305.0,4305.0,4305.0
12/12/2025,1.5,Gungri (With Shell),5655.0,6400.0,6400.0
15/12/2025,0.30000000000000004,Gungri (With Shell),4655.0,4655.0,4655.0
16/12/2025,0.4,Gungri (With Shell),4435.0,4435.0,4435.0
17/12/2025,1.5,Gungri (With Shell),5407.0,6473.0,6473.0
18/12/2025,6.6000000000000005,Gungri (With Shell),3965.0,6975.0,5699.0
20/12/2025,3.0,Gungri (With Shell),6405.0,6625.0,6625.0
22/12/2025,2.5,Gungri (With Shell),5429.0,7116.0,5889.0
23/12/2025,3.2,Gungri (With Shell),5679.0,7269.0,5999.0
24/12/2025,0.5,Gungri (With Shell),6655.0,6655.0,6655.0
26/12/2025,5.4,Gungri (With Shell),4500.0,7659.0,7109.0
29/12/2025,3.0,Gungri (With Shell),5399.0,5711.0,5711.0
30/12/2025,1.5,Gungri (With Shell),6499.0,6499.0,6499.0
31/12/2025,4.1000000000000005,Gungri (With Shell),5869.0,7099.0,6699.0
Market Name : Ramdurga APMC
24/12/2025,0.9,Gejje,7689.0,7889.0,7801.0
26/12/2025,0.4,Gejje,6219.0,7889.0,7310.0
29/12/2025,0.7000000000000001,Gejje,6029.0,7569.0,7148.0
Market Name : Savanur APMC
01/12/2025,16.5,Gejje,2639.0,6569.0,5477.0
04/12/2025,6.4,Gejje,3309.0,7814.0,5827.0
11/12/2025,5.5,Gejje,3569.0,7709.0,6108.0
15/12/2025,3.0,Gejje,2609.0,7819.0,5871.0
18/12/2025,5.6000000000000005,Gejje,3371.0,7449.0,5878.0
22/12/2025,2.4000000000000004,Gejje,2889.0,7679.0,5730.0
29/12/2025,3.2,Gejje,3249.0,6639.0,5491.0
Market Name : Tumkur APMC
29/12/2025,16.0,Other,4200.0,7200.0,5600.0
