date,market,arrival,modal_price
2025-12-10,Bijapur APMC,0.1,4190.0
2025-12-19,Bijapur APMC,0.1,4357.0
2025-12-24,Bijapur APMC,0.2,4169.0
2025-12-30,Bijapur APMC,0.1,4173.0
2025-12-10,Chitradurga APMC,66.5,7119.0
2025-12-12,Chitradurga APMC,115.7,7025.0
2025-12-15,Chitradurga APMC,75.9,6948.0
2025-12-17,Chitradurga APMC,43.3,7031.0
2025-12-19,Chitradurga APMC,46.6,7046.0
2025-12-24,Chitradurga APMC,52.8,7197.0
2025-12-04,Davangere APMC,0.2,4109.0
2025-12-01,Hiriyur APMC,3.7,3756.0
2025-12-01,Hubli (Amaragol) APMC,14.0,7226.0
2025-12-02,Hubli (Amaragol) APMC,2.0,6900.0
2025-12-03,Hubli (Amaragol) APMC,4.4,7298.0
2025-12-04,Hubli (Amaragol) APMC,4.4,6684.0
2025-12-09,Hubli (Amaragol) APMC,1.8,7352.0
2025-12-10,Hubli (Amaragol) APMC,5.300000000000001,7287.0
2025-12-11,Hubli (Amaragol) APMC,10.4,7428.0
2025-12-12,Hubli (Amaragol) APMC,6.1000000000000005,7242.0
2025-12-15,Hubli (Amaragol) APMC,12.6,7166.0
2025-12-16,Hubli (Amaragol) APMC,5.800000000000001,6300.0
2025-12-17,Hubli (Amaragol) APMC,2.9000000000000004,7309.0
2025-12-18,Hubli (Amaragol) APMC,5.2,6201.0
2025-12-20,Hubli (Amaragol) APMC,9.8,6241.0
2025-12-22,Hubli (Amaragol) APMC,5.800000000000001,6126.0
2025-12-24,Hubli (Amaragol) APMC,3.0,6167.0
2025-12-29,Hubli (Amaragol) APMC,5.300000000000001,6939.0
2025-12-30,Hubli (Amaragol) APMC,3.0,7044.0
2025-12-31,Hubli (Amaragol) APMC,0.7000000000000001,6437.0
2025-12-12,Kottur APMC,17.7,7106.0
2025-12-16,Kottur APMC,5.9,7392.0
2025-12-19,Kottur APMC,1.4,6736.0
2025-12-23,Kottur APMC,5.300000000000001,6376.0
2025-12-26,Kottur APMC,1.6,7172.0
2025-12-30,Kottur APMC,1.8,7736.0
2025-12-01,Raichur APMC,0.4,4296.0
2025-12-02,Raichur APMC,0.4,5375.0
2025-12-03,Raichur APMC,1.2000000000000002,5545.0
2025-12-10,Raichur APMC,0.2,4305.0
2025-12-12,Raichur APMC,1.5,6400.0
2025-12-15,Raichur APMC,0.3,4655.0
2025-12-16,Raichur APMC,0.4,4435.0
2025-12-17,Raichur APMC,1.5,6473.0
2025-12-18,Raichur APMC,6.6000000000000005,5699.0
2025-12-20,Raichur APMC,3.0,6625.0
2025-12-22,Raichur APMC,2.5,5889.0
2025-12-23,Raichur APMC,3.2,5999.0
2025-12-24,Raichur APMC,0.5,6655.0
2025-12-26,Raichur APMC,5.4,7109.0
2025-12-29,Raichur APMC,3.0,5711.0
2025-12-30,Raichur APMC,1.5,6499.0
2025-12-31,Raichur APMC,4.1000000000000005,6699.0
2025-12-24,Ramdurga APMC,0.9,7801.0
2025-12-26,Ramdurga APMC,0.4,7310.0
2025-12-29,Ramdurga APMC,0.7000000000000001,7148.0
2025-12-01,Savanur APMC,16.5,5477.0
2025-12-04,Savanur APMC,6.4,5827.0
2025-12-11,Savanur APMC,5.5,6108.0
2025-12-15,Savanur APMC,3.0,5871.0
2025-12-18,Savanur APMC,5.6000000000000005,5878.0
2025-12-22,Savanur APMC,2.4000000000000004,5730.0
2025-12-29,Savanur APMC,3.2,5491.0
2025-12-29,Tumkur APMC,16.0,5600.0
