date,market,arrival,modal_price
2025-12-13,Bagalakot APMC,0.9,4160.0
2025-12-16,Bagalakot APMC,0.3,3600.0
2025-12-20,Bagalakot APMC,0.2,2750.0
2025-12-01,Bailahongal APMC,528.3000000000001,4444.0
2025-12-03,Bailahongal APMC,119.7,4486.0
2025-12-04,Bailahongal APMC,192.5,4523.0
2025-12-05,Bailahongal APMC,119.9,4599.0
2025-12-09,Bailahongal APMC,94.9,4497.0
2025-12-10,Bailahongal APMC,482.4,4488.0
2025-12-11,Bailahongal APMC,392.0,4451.0
2025-12-12,Bailahongal APMC,223.2,4360.0
2025-12-16,Bailahongal APMC,89.10000000000001,4283.0
2025-12-17,Bailahongal APMC,87.2,4142.0
2025-12-18,Bailahongal APMC,214.6,4401.0
2025-12-20,Bailahongal APMC,249.0,4303.0
2025-12-22,Bailahongal APMC,139.0,4496.0
2025-12-23,Bailahongal APMC,268.7,4556.0
2025-12-24,Bailahongal APMC,124.3,4581.0
2025-12-26,Bailahongal APMC,297.90000000000003,4480.0
2025-12-29,Bailahongal APMC,520.2,4542.0
2025-12-30,Bailahongal APMC,371.2000000000001,4739.0
2025-12-31,Bailahongal APMC,218.4,4771.0
2025-12-18,Bijapur APMC,441.6,4680.0
2025-12-01,Hubli (Amaragol) APMC,39.0,4391.0
2025-12-02,Hubli (Amaragol) APMC,36.2,4427.0
2025-12-03,Hubli (Amaragol) APMC,53.8,4492.0
2025-12-04,Hubli (Amaragol) APMC,47.7,4453.0
2025-12-09,Hubli (Amaragol) APMC,37.2,4534.0
2025-12-10,Hubli (Amaragol) APMC,36.0,4306.0
2025-12-11,Hubli (Amaragol) APMC,25.200000000000003,4432.0
2025-12-12,Hubli (Amaragol) APMC,28.0,4625.0
2025-12-15,Hubli (Amaragol) APMC,83.80000000000001,4671.0
2025-12-16,Hubli (Amaragol) APMC,14.5,4625.0
2025-12-17,Hubli (Amaragol) APMC,31.8,4653.0
2025-12-18,Hubli (Amaragol) APMC,42.5,4693.0
2025-12-20,Hubli (Amaragol) APMC,59.7,4200.0
2025-12-24,Hubli (Amaragol) APMC,38.7,4729.0
2025-12-29,Hubli (Amaragol) APMC,114.2,4200.0
2025-12-30,Hubli (Amaragol) APMC,71.9,4200.0
2025-12-31,Hubli (Amaragol) APMC,14.3,4200.0
2025-12-01,Kalagategi APMC,67.0,4416.0
2025-12-08,Kalagategi APMC,30.9,4500.0
2025-12-09,Kalagategi APMC,26.4,4524.0
2025-12-10,Kalagategi APMC,26.4,4524.0
2025-12-11,Kalagategi APMC,20.200000000000003,4200.0
2025-12-12,Kalagategi APMC,12.0,4625.0
2025-12-24,Kalagategi APMC,13.1,4800.0
2025-12-25,Kalagategi APMC,12.0,4800.0
2025-12-30,Kalagategi APMC,18.4,4800.0
2025-12-04,Kalburgi APMC,7.5,3850.0
2025-12-24,Kalburgi APMC,5.0,4300.0
2025-12-31,Kalburgi APMC,3.0,4300.0
2025-12-04,Sankeshwar APMC,27.1,4100.0
2025-12-08,Sankeshwar APMC,5.1000000000000005,4000.0
2025-12-09,Sankeshwar APMC,7.5,3900.0
2025-12-17,Sankeshwar APMC,4.0,4300.0
2025-12-20,Sankeshwar APMC,4.0,4200.0
2025-12-23,Sankeshwar APMC,4.1000000000000005,4400.0
2025-12-24,Sankeshwar APMC,4.0,4200.0
2025-12-26,Sankeshwar APMC,17.0,4400.0
2025-12-01,Savanur APMC,0.1,4551.0
