"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Sunflower, State : Karnataka"
"Commodity : Sunflower, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
08/12/2025,0.7000000000000001,Sunflower,5589.0,6559.0,6111.0
09/12/2025,0.2,Sunflower,6559.0,6559.0,6559.0
10/12/2025,1.0,Sunflower,6509.0,6739.0,6597.0
11/12/2025,0.4,Sunflower,3800.0,6570.0,5779.0
12/12/2025,0.9,Sunflower,3000.0,6581.0,6151.0
13/12/2025,2.9000000000000004,Sunflower,6309.0,6674.0,6532.0
15/12/2025,3.1,Sunflower,6309.0,6675.0,6524.0
16/12/2025,2.2,Sunflower,6529.0,6769.0,6684.0
18/12/2025,2.9000000000000004,Sunflower,5111.0,6689.0,6200.0
20/12/2025,5.2,Sunflower,5211.0,6579.0,6411.0
22/12/2025,4.2,Sunflower,4011.0,6625.0,6510.0
23/12/2025,3.1,Sunflower,6651.0,6651.0,6651.0
24/12/2025,2.2,Sunflower,4211.0,6675.0,6422.0
26/12/2025,9.4,Sunflower,4211.0,6685.0,6629.0
29/12/2025,15.100000000000001,Sunflower,6511.0,6711.0,6690.0
30/12/2025,10.8,Sunflower,6001.0,6724.0,6684.0
31/12/2025,1.5,Sunflower,6007.0,6725.0,6700.0
Market Name : Bijapur APMC
01/12/2025,1.3,Sunflower,5307.0,5307.0,5307.0
02/12/2025,41.1,Sunflower,6320.0,6600.0,6460.0
03/12/2025,51.400000000000006,Sunflower,6205.0,6600.0,6403.0
10/12/2025,0.30000000000000004,Sunflower,6115.0,6115.0,6115.0
12/12/2025,0.9,Sunflower,6225.0,6225.0,6225.0
15/12/2025,30.400000000000002,Sunflower,6600.0,7060.0,6800.0
17/12/2025,22.400000000000002,Sunflower,6200.0,6451.0,6300.0
19/12/2025,0.1,Sunflower,6501.0,6501.0,6501.0
20/12/2025,15.0,Sunflower,6600.0,6600.0,6600.0
22/12/2025,25.8,Sunflower,6997.0,6997.0,6997.0
23/12/2025,1.2000000000000002,Sunflower,6538.0,6538.0,6538.0
24/12/2025,0.1,Sunflower,6448.0,6448.0,6448.0
30/12/2025,0.30000000000000004,Sunflower,6526.0,6526.0,6526.0
31/12/2025,0.2,Sunflower,5112.0,5112.0,5112.0
Market Name : Chitradurga APMC
10/12/2025,2.1,Local,6283.0,6760.0,6598.0
12/12/2025,1.6,Local,4869.0,6819.0,6694.0
15/12/2025,0.8,Local,6500.0,6849.0,6719.0
17/12/2025,2.3000000000000003,Local,6729.0,6860.0,6820.0
24/12/2025,1.2000000000000002,Local,6299.0,6875.0,6624.0
Market Name : Hubli (Amaragol) APMC
29/12/2025,0.8,Sunflower,6099.0,6169.0,6112.0
Market Name : Kottur APMC
12/12/2025,9.3,Hybrid,4559.0,8679.0,7141.0
16/12/2025,9.8,Hybrid,5808.0,9719.0,7998.0
19/12/2025,5.5,Hybrid,6460.0,10000.0,8483.0
23/12/2025,11.8,Hybrid,6159.0,10204.0,8796.0
26/12/2025,15.100000000000001,Hybrid,4559.0,10269.0,8828.0
30/12/2025,13.200000000000001,Hybrid,6530.0,10060.0,8562.0
Market Name : Raichur APMC
23/12/2025,0.4,Sunflower,5619.0,5619.0,5619.0
