date,market,arrival,modal_price
2025-12-08,Bagalakot APMC,0.7000000000000001,6111.0
2025-12-09,Bagalakot APMC,0.2,6559.0
2025-12-10,Bagalakot APMC,1.0,6597.0
2025-12-11,Bagalakot APMC,0.4,5779.0
2025-12-12,Bagalakot APMC,0.9,6151.0
2025-12-13,Bagalakot APMC,2.9000000000000004,6532.0
2025-12-15,Bagalakot APMC,3.1,6524.0
2025-12-16,Bagalakot APMC,2.2,6684.0
2025-12-18,Bagalakot APMC,2.9000000000000004,6200.0
2025-12-20,Bagalakot APMC,5.2,6411.0
2025-12-22,Bagalakot APMC,4.2,6510.0
2025-12-23,Bagalakot APMC,3.1,6651.0
2025-12-24,Bagalakot APMC,2.2,6422.0
2025-12-26,Bagalakot APMC,9.4,6629.0
2025-12-29,Bagalakot APMC,15.1,6690.0
2025-12-30,Bagalakot APMC,10.8,6684.0
2025-12-31,Bagalakot APMC,1.5,6700.0
2025-12-01,Bijapur APMC,1.3,5307.0
2025-12-02,Bijapur APMC,41.1,6460.0
2025-12-03,Bijapur APMC,51.400000000000006,6403.0
2025-12-10,Bijapur APMC,0.3,6115.0
2025-12-12,Bijapur APMC,0.9,6225.0
2025-12-15,Bijapur APMC,30.4,6800.0
2025-12-17,Bijapur APMC,22.4,6300.0
2025-12-19,Bijapur APMC,0.1,6501.0
2025-12-20,Bijapur APMC,15.0,6600.0
2025-12-22,Bijapur APMC,25.8,6997.0
2025-12-23,Bijapur APMC,1.2000000000000002,6538.0
2025-12-24,Bijapur APMC,0.1,6448.0
2025-12-30,Bijapur APMC,0.3,6526.0
2025-12-31,Bijapur APMC,0.2,5112.0
2025-12-10,Chitradurga APMC,2.1,6598.0
2025-12-12,Chitradurga APMC,1.6,6694.0
2025-12-15,Chitradurga APMC,0.8,6719.0
2025-12-17,Chitradurga APMC,2.3000000000000003,6820.0
2025-12-24,Chitradurga APMC,1.2000000000000002,6624.0
2025-12-29,Hubli (Amaragol) APMC,0.8,6112.0
2025-12-12,Kottur APMC,9.3,7141.0
2025-12-16,Kottur APMC,9.8,7998.0
2025-12-19,Kottur APMC,5.5,8483.0
2025-12-23,Kottur APMC,11.8,8796.0
2025-12-26,Kottur APMC,15.1,8828.0
2025-12-30,Kottur APMC,13.2,8562.0
2025-12-23,Raichur APMC,0.4,5619.0
