"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Banana, State : Karnataka"
"Commodity : Banana, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/12/2025,3.3000000000000003,Nendra Bale,1000.0,2900.0,1950.0
,77.0,Elakki Bale,1000.0,5000.0,3000.0
,24.900000000000002,Pachha Bale,600.0,1600.0,1100.0
02/12/2025,37.5,Pachha Bale,600.0,1500.0,1050.0
,6.4,Nendra Bale,1000.0,2800.0,1900.0
,78.80000000000001,Elakki Bale,1000.0,4900.0,2950.0
03/12/2025,2.4000000000000004,Nendra Bale,1000.0,2900.0,1950.0
,86.60000000000001,Elakki Bale,1000.0,5000.0,3000.0
,52.2,Pachha Bale,600.0,1600.0,1100.0
,4.800000000000001,Nauti Bale,700.0,2300.0,1500.0
04/12/2025,6.300000000000001,Nendra Bale,1000.0,2800.0,1900.0
,78.7,Elakki Bale,1000.0,5100.0,3050.0
,36.300000000000004,Pachha Bale,600.0,1500.0,1050.0
05/12/2025,24.0,Pachha Bale,600.0,1600.0,1220.0
,4.1000000000000005,Nendra Bale,1000.0,2900.0,1950.0
,2.8000000000000003,Nauti Bale,700.0,2500.0,1600.0
,68.7,Elakki Bale,1000.0,5200.0,3710.0
12/12/2025,82.30000000000001,Elakki Bale,1000.0,5200.0,3100.0
,41.400000000000006,Pachha Bale,600.0,1600.0,1100.0
,6.5,Nauti Bale,700.0,2600.0,1650.0
,4.7,Nendra Bale,1000.0,2900.0,1950.0
15/12/2025,52.0,Elakki Bale,1000.0,5500.0,3250.0
,10.200000000000001,Nauti Bale,700.0,2500.0,1600.0
,60.1,Pachha Bale,600.0,1600.0,1100.0
,7.800000000000001,Nendra Bale,1000.0,2700.0,1850.0
16/12/2025,42.6,Pachha Bale,600.0,1600.0,1100.0
,8.5,Nendra Bale,1000.0,2700.0,1850.0
,64.2,Elakki Bale,1000.0,5500.0,3250.0
,8.5,Nauti Bale,700.0,2500.0,1600.0
17/12/2025,5.300000000000001,Nendra Bale,1000.0,2700.0,1850.0
,48.300000000000004,Pachha Bale,600.0,1600.0,1100.0
,68.8,Elakki Bale,1000.0,5600.0,3300.0
,3.0,Nauti Bale,700.0,2500.0,1600.0
18/12/2025,7.0,Nauti Bale,700.0,2500.0,1600.0
,49.800000000000004,Pachha Bale,600.0,1600.0,1100.0
,53.900000000000006,Elakki Bale,1000.0,5500.0,3250.0
,6.5,Nendra Bale,1000.0,2700.0,1850.0
19/12/2025,3.0,Nauti Bale,700.0,2500.0,1600.0
,45.6,Pachha Bale,600.0,1600.0,1100.0
,13.4,Nendra Bale,1000.0,2600.0,1800.0
,50.2,Elakki Bale,1000.0,5500.0,3250.0
20/12/2025,5.800000000000001,Nendra Bale,1000.0,2700.0,1850.0
,7.4,Nauti Bale,700.0,2500.0,1600.0
,66.60000000000001,Pachha Bale,600.0,1600.0,1100.0
,64.10000000000001,Elakki Bale,1000.0,5600.0,3300.0
22/12/2025,4.5,Nauti Bale,700.0,2300.0,1500.0
,8.0,Nendra Bale,1000.0,2600.0,1800.0
,55.5,Pachha Bale,600.0,1500.0,1050.0
,90.9,Elakki Bale,1000.0,5500.0,3250.0
23/12/2025,0.5,Nauti Bale,700.0,2300.0,1500.0
,1.5,Nendra Bale,1000.0,2700.0,1850.0
,36.0,Pachha Bale,600.0,1600.0,1100.0
,94.30000000000001,Elakki Bale,1000.0,5600.0,3300.0
24/12/2025,10.200000000000001,Pachha Bale,600.0,1700.0,1150.0
,7.7,Nendra Bale,1000.0,2800.0,1900.0
,2.7,Nauti Bale,700.0,2300.0,1500.0
,62.800000000000004,Elakki Bale,1000.0,5700.0,3350.0
26/12/2025,7.0,Nauti Bale,700.0,2400.0,1550.0
,26.900000000000002,Pachha Bale,600.0,1500.0,1050.0
,40.300000000000004,Elakki Bale,1000.0,5600.0,3300.0
,2.7,Nendra Bale,1000.0,2800.0,1900.0
29/12/2025,4.7,Nendra Bale,1000.0,2800.0,1900.0
,4.800000000000001,Nauti Bale,700.0,2600.0,1650.0
,6.9,Pachha Bale,600.0,1600.0,1100.0
,71.60000000000001,Elakki Bale,1000.0,5700.0,3350.0
30/12/2025,36.300000000000004,Pachha Bale,600.0,1500.0,1050.0
,61.900000000000006,Elakki Bale,1000.0,5500.0,3250.0
,8.0,Nendra Bale,1000.0,2700.0,1850.0
,4.0,Nauti Bale,700.0,2700.0,1700.0
31/12/2025,79.60000000000001,Elakki Bale,1000.0,5700.0,3350.0
,42.300000000000004,Pachha Bale,600.0,1400.0,1000.0
,2.0,Nauti Bale,700.0,2800.0,1750.0
,4.5,Nendra Bale,1000.0,2900.0,1950.0
Market Name : Channapatana APMC
03/12/2025,6.5,Elakki Bale,1500.0,4100.0,3300.0
16/12/2025,6.0,Elakki Bale,1800.0,4500.0,3800.0
17/12/2025,8.3,Elakki Bale,1700.0,4300.0,3700.0
18/12/2025,8.200000000000001,Elakki Bale,1400.0,4100.0,3400.0
22/12/2025,5.800000000000001,Elakki Bale,1500.0,4500.0,3600.0
Market Name : Davangere APMC
03/12/2025,3.0,Pachha Bale,1700.0,2300.0,2000.0
,4.0,Elakki Bale,3000.0,4200.0,3600.0
04/12/2025,4.0,Pachha Bale,1800.0,2400.0,2200.0
,5.0,Elakki Bale,3100.0,4400.0,4200.0
09/12/2025,5.0,Elakki Bale,3000.0,4200.0,3600.0
,4.0,Pachha Bale,1900.0,2500.0,2200.0
10/12/2025,3.0,Pachha Bale,1900.0,2600.0,2300.0
,4.0,Elakki Bale,3000.0,4300.0,3700.0
11/12/2025,4.0,Pachha Bale,2000.0,2700.0,2400.0
,5.0,Elakki Bale,3000.0,4500.0,3800.0
12/12/2025,3.0,Pachha Bale,2000.0,2500.0,2400.0
,4.0,Elakki Bale,3100.0,4300.0,3700.0
16/12/2025,5.0,Elakki Bale,3200.0,4600.0,4000.0
,3.5,Pachha Bale,2000.0,2700.0,2500.0
17/12/2025,3.5,Elakki Bale,3000.0,4400.0,3700.0
,2.5,Pachha Bale,1900.0,2600.0,2300.0
18/12/2025,3.5,Pachha Bale,2000.0,2800.0,2500.0
,5.5,Elakki Bale,3200.0,4600.0,4000.0
19/12/2025,4.0,Elakki Bale,3100.0,4500.0,3800.0
,3.0,Pachha Bale,1900.0,2700.0,2500.0
20/12/2025,4.5,Elakki Bale,3000.0,4300.0,3600.0
,3.0,Pachha Bale,1800.0,2600.0,2400.0
23/12/2025,3.5,Pachha Bale,1900.0,2700.0,2300.0
,4.5,Elakki Bale,3100.0,4500.0,4000.0
24/12/2025,2.5,Pachha Bale,1800.0,2600.0,2300.0
,3.5,Elakki Bale,3000.0,4200.0,3600.0
26/12/2025,4.0,Elakki Bale,3000.0,4300.0,3700.0
,3.0,Pachha Bale,1900.0,2700.0,2300.0
30/12/2025,3.5,Pachha Bale,1700.0,2500.0,2100.0
,4.5,Elakki Bale,3000.0,4400.0,3700.0
31/12/2025,4.0,Pachha Bale,1700.0,2500.0,2100.0
,4.0,Elakki Bale,3000.0,4500.0,3800.0
Market Name : Hospet APMC
23/12/2025,21.0,Medium,1200.0,3200.0,2000.0
Market Name : Malur APMC
17/12/2025,5.5,Pachha Bale,2800.0,3200.0,3000.0
Market Name : Mysore (Bandipalya) APMC
06/12/2025,2.1,Pachha Bale,2000.0,2000.0,2000.0
Market Name : Udupi APMC
15/12/2025,1.5,Medium,1000.0,4000.0,1500.0
22/12/2025,1.4000000000000001,Medium,1000.0,4000.0,1500.0
