date,market,arrival,modal_price
2025-12-03,Channapatana APMC,6.5,3300.0
2025-12-16,Channapatana APMC,6.0,3800.0
2025-12-17,Channapatana APMC,8.3,3700.0
2025-12-18,Channapatana APMC,8.200000000000001,3400.0
2025-12-22,Channapatana APMC,5.800000000000001,3600.0
2025-12-03,Davangere APMC,3.0,2000.0
2025-12-04,Davangere APMC,4.0,2200.0
2025-12-09,Davangere APMC,5.0,3600.0
2025-12-10,Davangere APMC,3.0,2300.0
2025-12-11,Davangere APMC,4.0,2400.0
2025-12-12,Davangere APMC,3.0,2400.0
2025-12-16,Davangere APMC,5.0,4000.0
2025-12-17,Davangere APMC,3.5,3700.0
2025-12-18,Davangere APMC,3.5,2500.0
2025-12-19,Davangere APMC,4.0,3800.0
2025-12-20,Davangere APMC,4.5,3600.0
2025-12-23,Davangere APMC,3.5,2300.0
2025-12-24,Davangere APMC,2.5,2300.0
2025-12-26,Davangere APMC,4.0,3700.0
2025-12-30,Davangere APMC,3.5,2100.0
2025-12-31,Davangere APMC,4.0,2100.0
2025-12-23,Hospet APMC,21.0,2000.0
2025-12-17,Malur APMC,5.5,3000.0
2025-12-06,Mysore (Bandipalya) APMC,2.1,2000.0
2025-12-15,Udupi APMC,1.5,1500.0
2025-12-22,Udupi APMC,1.4,1500.0
