"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Apple, State : Karnataka"
"Commodity : Apple, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/12/2025,828.2,Apple,10000.0,18000.0,14000.0
02/12/2025,282.0,Apple,10000.0,18000.0,16000.0
03/12/2025,386.5,Apple,10000.0,18000.0,14000.0
04/12/2025,461.1,Apple,10000.0,16000.0,14000.0
05/12/2025,411.90000000000003,Apple,10000.0,16000.0,14000.0
12/12/2025,485.8,Apple,10000.0,16000.0,12000.0
15/12/2025,613.0,Apple,10000.0,16000.0,12000.0
16/12/2025,293.2,Apple,10000.0,16000.0,14000.0
17/12/2025,270.7,Apple,10000.0,17000.0,15000.0
18/12/2025,255.20000000000002,Apple,10000.0,16000.0,13000.0
19/12/2025,224.0,Apple,10000.0,16000.0,13000.0
20/12/2025,385.6,Apple,10000.0,16000.0,14000.0
22/12/2025,525.3000000000001,Apple,10000.0,16000.0,14000.0
23/12/2025,248.10000000000002,Apple,10000.0,18000.0,14000.0
24/12/2025,261.2,Apple,10000.0,16000.0,12000.0
26/12/2025,279.40000000000003,Apple,10000.0,16000.0,14000.0
29/12/2025,382.70000000000005,Apple,8000.0,16000.0,12000.0
30/12/2025,260.0,Apple,10000.0,16000.0,14000.0
31/12/2025,176.60000000000002,Apple,10000.0,16000.0,14000.0
Market Name : Davangere APMC
03/12/2025,1.0,Apple,5000.0,10000.0,7000.0
04/12/2025,1.2000000000000002,Apple,5000.0,10000.0,8000.0
09/12/2025,1.0,Apple,5000.0,10000.0,7500.0
10/12/2025,1.0,Apple,5000.0,10000.0,7000.0
11/12/2025,1.8,Apple,5000.0,10000.0,7000.0
12/12/2025,1.2000000000000002,Apple,5000.0,10000.0,7500.0
15/12/2025,1.0,Apple,5000.0,10000.0,7500.0
16/12/2025,1.2000000000000002,Apple,5000.0,10000.0,8000.0
17/12/2025,1.0,Apple,5000.0,10000.0,7500.0
18/12/2025,1.2000000000000002,Apple,5000.0,10000.0,8000.0
19/12/2025,1.0,Apple,5000.0,10000.0,7500.0
20/12/2025,1.0,Apple,5000.0,10000.0,7500.0
22/12/2025,0.8,Apple,5000.0,10000.0,7500.0
23/12/2025,1.0,Apple,5000.0,10000.0,8000.0
24/12/2025,0.6000000000000001,Apple,6000.0,10000.0,8000.0
26/12/2025,0.8,Apple,5000.0,10000.0,8000.0
29/12/2025,0.8,Apple,5000.0,10000.0,7500.0
30/12/2025,1.8,Apple,5000.0,10000.0,7500.0
31/12/2025,1.0,Apple,5000.0,10000.0,8000.0
Market Name : Hoskote APMC
29/12/2025,8.0,Apple,9000.0,11000.0,10000.0
31/12/2025,35.0,Apple,8000.0,9000.0,8500.0
Market Name : Kalburgi APMC
02/12/2025,0.1,Apple,4000.0,6000.0,5000.0
03/12/2025,0.2,Apple,4000.0,6000.0,5000.0
04/12/2025,0.2,Apple,3000.0,7000.0,5000.0
09/12/2025,0.1,Apple,4000.0,8000.0,6000.0
10/12/2025,0.2,Apple,4000.0,8000.0,6000.0
12/12/2025,0.1,Apple,6000.0,10000.0,8000.0
16/12/2025,0.1,Apple,6000.0,10000.0,8000.0
17/12/2025,0.2,Apple,6000.0,10000.0,8000.0
18/12/2025,0.1,Apple,6000.0,10000.0,8000.0
19/12/2025,0.1,Apple,6000.0,10000.0,8000.0
20/12/2025,0.2,Apple,8000.0,10000.0,9000.0
22/12/2025,0.1,Apple,8000.0,10000.0,9000.0
23/12/2025,0.1,Apple,6000.0,10000.0,8000.0
24/12/2025,0.2,Apple,6000.0,10000.0,8000.0
26/12/2025,0.1,Apple,8000.0,10000.0,9000.0
29/12/2025,0.1,Apple,8000.0,10000.0,9000.0
30/12/2025,0.1,Apple,8000.0,10000.0,9000.0
31/12/2025,0.2,Apple,8000.0,10000.0,9000.0
Market Name : Mysore (Bandipalya) APMC
12/12/2025,6.5,Kasmir/Shimla - II,12830.0,12830.0,12830.0
