date,market,arrival,modal_price
2025-12-03,Davangere APMC,1.0,7000.0
2025-12-04,Davangere APMC,1.2000000000000002,8000.0
2025-12-09,Davangere APMC,1.0,7500.0
2025-12-10,Davangere APMC,1.0,7000.0
2025-12-11,Davangere APMC,1.8,7000.0
2025-12-12,Davangere APMC,1.2000000000000002,7500.0
2025-12-15,Davangere APMC,1.0,7500.0
2025-12-16,Davangere APMC,1.2000000000000002,8000.0
2025-12-17,Davangere APMC,1.0,7500.0
2025-12-18,Davangere APMC,1.2000000000000002,8000.0
2025-12-19,Davangere APMC,1.0,7500.0
2025-12-20,Davangere APMC,1.0,7500.0
2025-12-22,Davangere APMC,0.8,7500.0
2025-12-23,Davangere APMC,1.0,8000.0
2025-12-24,Davangere APMC,0.6000000000000001,8000.0
2025-12-26,Davangere APMC,0.8,8000.0
2025-12-29,Davangere APMC,0.8,7500.0
2025-12-30,Davangere APMC,1.8,7500.0
2025-12-31,Davangere APMC,1.0,8000.0
2025-12-29,Hoskote APMC,8.0,10000.0
2025-12-31,Hoskote APMC,35.0,8500.0
2025-12-02,Kalburgi APMC,0.1,5000.0
2025-12-03,Kalburgi APMC,0.2,5000.0
2025-12-04,Kalburgi APMC,0.2,5000.0
2025-12-09,Kalburgi APMC,0.1,6000.0
2025-12-10,Kalburgi APMC,0.2,6000.0
2025-12-12,Kalburgi APMC,0.1,8000.0
2025-12-16,Kalburgi APMC,0.1,8000.0
2025-12-17,Kalburgi APMC,0.2,8000.0
2025-12-18,Kalburgi APMC,0.1,8000.0
2025-12-19,Kalburgi APMC,0.1,8000.0
2025-12-20,Kalburgi APMC,0.2,9000.0
2025-12-22,Kalburgi APMC,0.1,9000.0
2025-12-23,Kalburgi APMC,0.1,8000.0
2025-12-24,Kalburgi APMC,0.2,8000.0
2025-12-26,Kalburgi APMC,0.1,9000.0
2025-12-29,Kalburgi APMC,0.1,9000.0
2025-12-30,Kalburgi APMC,0.1,9000.0
2025-12-31,Kalburgi APMC,0.2,9000.0
2025-12-12,Mysore (Bandipalya) APMC,6.5,12830.0
