"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Orange, State : Karnataka"
"Commodity : Orange, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/12/2025,203.20000000000002,Orange,3000.0,4000.0,3500.0
02/12/2025,77.5,Orange,3000.0,4000.0,3500.0
03/12/2025,115.80000000000001,Orange,3000.0,4000.0,3500.0
04/12/2025,65.10000000000001,Orange,3000.0,4000.0,3500.0
05/12/2025,100.30000000000001,Orange,3000.0,4000.0,3500.0
12/12/2025,111.10000000000001,Orange,3000.0,5000.0,4000.0
15/12/2025,126.60000000000001,Orange,2600.0,3600.0,3300.0
16/12/2025,82.0,Orange,2800.0,3800.0,3400.0
17/12/2025,31.0,Orange,3000.0,4000.0,3500.0
18/12/2025,54.0,Orange,3000.0,4000.0,3500.0
19/12/2025,65.10000000000001,Orange,3000.0,4000.0,3500.0
20/12/2025,41.6,Orange,3000.0,4000.0,3500.0
22/12/2025,82.0,Orange,3000.0,4000.0,3500.0
23/12/2025,49.800000000000004,Orange,3000.0,4000.0,3500.0
24/12/2025,24.0,Orange,3000.0,4500.0,3500.0
26/12/2025,26.0,Orange,3000.0,4000.0,3500.0
29/12/2025,79.80000000000001,Orange,3000.0,4500.0,3500.0
30/12/2025,19.0,Orange,3000.0,4000.0,3500.0
31/12/2025,32.1,Orange,3000.0,4000.0,3600.0
Market Name : Davangere APMC
03/12/2025,1.2000000000000002,Orange,3000.0,4000.0,3500.0
04/12/2025,1.5,Orange,3000.0,4000.0,3500.0
09/12/2025,1.2000000000000002,Orange,2000.0,3000.0,2500.0
10/12/2025,1.2000000000000002,Orange,2000.0,3000.0,2500.0
11/12/2025,1.0,Orange,2500.0,3500.0,3000.0
12/12/2025,1.0,Orange,2500.0,3500.0,3000.0
15/12/2025,0.8,Orange,2000.0,3000.0,2500.0
16/12/2025,1.0,Orange,2500.0,3500.0,3000.0
17/12/2025,1.0,Orange,2500.0,3500.0,3000.0
18/12/2025,1.0,Orange,2000.0,3000.0,2500.0
19/12/2025,0.8,Orange,3000.0,4000.0,3500.0
20/12/2025,0.8,Orange,3000.0,4000.0,3500.0
22/12/2025,0.6000000000000001,Orange,3000.0,4000.0,3500.0
23/12/2025,0.6000000000000001,Orange,3000.0,4000.0,3500.0
24/12/2025,0.8,Orange,3000.0,4000.0,3500.0
26/12/2025,0.6000000000000001,Orange,3000.0,4000.0,3500.0
29/12/2025,0.5,Orange,3000.0,4000.0,3500.0
30/12/2025,0.8,Orange,3000.0,4000.0,3500.0
Market Name : Kalburgi APMC
02/12/2025,0.1,Orange,2000.0,4000.0,3000.0
03/12/2025,0.2,Orange,2000.0,4000.0,3000.0
04/12/2025,0.2,Orange,2000.0,4000.0,3000.0
09/12/2025,0.1,Orange,2000.0,4000.0,3000.0
10/12/2025,0.2,Orange,2000.0,4000.0,3000.0
12/12/2025,0.1,Orange,2000.0,4000.0,3000.0
15/12/2025,0.1,Orange,2000.0,4000.0,3000.0
16/12/2025,0.1,Orange,2000.0,4000.0,3000.0
17/12/2025,0.2,Orange,2000.0,4000.0,3000.0
18/12/2025,0.1,Orange,2000.0,4000.0,3000.0
19/12/2025,0.1,Orange,2000.0,4000.0,3000.0
20/12/2025,0.2,Orange,2000.0,4000.0,3000.0
22/12/2025,0.1,Orange,2000.0,6000.0,4000.0
23/12/2025,0.1,Orange,2000.0,4000.0,3000.0
24/12/2025,0.2,Orange,2000.0,4000.0,3000.0
26/12/2025,0.1,Orange,2000.0,5000.0,3500.0
29/12/2025,0.1,Orange,2000.0,4000.0,3000.0
30/12/2025,0.1,Orange,2200.0,4400.0,3300.0
31/12/2025,0.1,Orange,2000.0,3000.0,2500.0
Market Name : Mysore (Bandipalya) APMC
06/12/2025,13.5,Orange,3950.0,5000.0,4050.0
12/12/2025,7.0,Orange,4285.0,4285.0,4285.0
30/12/2025,6.0,Orange,5000.0,5000.0,5000.0
31/12/2025,3.0,Orange,5000.0,5000.0,5000.0
