date,market,arrival,modal_price
2025-12-03,Davangere APMC,1.2000000000000002,3500.0
2025-12-04,Davangere APMC,1.5,3500.0
2025-12-09,Davangere APMC,1.2000000000000002,2500.0
2025-12-10,Davangere APMC,1.2000000000000002,2500.0
2025-12-11,Davangere APMC,1.0,3000.0
2025-12-12,Davangere APMC,1.0,3000.0
2025-12-15,Davangere APMC,0.8,2500.0
2025-12-16,Davangere APMC,1.0,3000.0
2025-12-17,Davangere APMC,1.0,3000.0
2025-12-18,Davangere APMC,1.0,2500.0
2025-12-19,Davangere APMC,0.8,3500.0
2025-12-20,Davangere APMC,0.8,3500.0
2025-12-22,Davangere APMC,0.6000000000000001,3500.0
2025-12-23,Davangere APMC,0.6000000000000001,3500.0
2025-12-24,Davangere APMC,0.8,3500.0
2025-12-26,Davangere APMC,0.6000000000000001,3500.0
2025-12-29,Davangere APMC,0.5,3500.0
2025-12-30,Davangere APMC,0.8,3500.0
2025-12-02,Kalburgi APMC,0.1,3000.0
2025-12-03,Kalburgi APMC,0.2,3000.0
2025-12-04,Kalburgi APMC,0.2,3000.0
2025-12-09,Kalburgi APMC,0.1,3000.0
2025-12-10,Kalburgi APMC,0.2,3000.0
2025-12-12,Kalburgi APMC,0.1,3000.0
2025-12-15,Kalburgi APMC,0.1,3000.0
2025-12-16,Kalburgi APMC,0.1,3000.0
2025-12-17,Kalburgi APMC,0.2,3000.0
2025-12-18,Kalburgi APMC,0.1,3000.0
2025-12-19,Kalburgi APMC,0.1,3000.0
2025-12-20,Kalburgi APMC,0.2,3000.0
2025-12-22,Kalburgi APMC,0.1,4000.0
2025-12-23,Kalburgi APMC,0.1,3000.0
2025-12-24,Kalburgi APMC,0.2,3000.0
2025-12-26,Kalburgi APMC,0.1,3500.0
2025-12-29,Kalburgi APMC,0.1,3000.0
2025-12-30,Kalburgi APMC,0.1,3300.0
2025-12-31,Kalburgi APMC,0.1,2500.0
2025-12-06,Mysore (Bandipalya) APMC,13.5,4050.0
2025-12-12,Mysore (Bandipalya) APMC,7.0,4285.0
2025-12-30,Mysore (Bandipalya) APMC,6.0,5000.0
2025-12-31,Mysore (Bandipalya) APMC,3.0,5000.0
