"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Papaya, State : Karnataka"
"Commodity : Papaya, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/12/2025,79.0,Papaya,800.0,1600.0,1200.0
02/12/2025,46.0,Papaya,1000.0,2000.0,1500.0
03/12/2025,39.0,Papaya,800.0,1600.0,1400.0
04/12/2025,52.0,Papaya,800.0,1200.0,1000.0
05/12/2025,52.0,Papaya,800.0,1200.0,1000.0
12/12/2025,23.0,Papaya,800.0,1200.0,1000.0
15/12/2025,75.0,Papaya,800.0,1200.0,1000.0
16/12/2025,43.0,Papaya,800.0,1200.0,1000.0
17/12/2025,41.0,Papaya,800.0,1400.0,1200.0
18/12/2025,36.0,Papaya,800.0,1500.0,1300.0
19/12/2025,46.0,Papaya,800.0,1500.0,1300.0
20/12/2025,40.0,Papaya,800.0,1400.0,1200.0
22/12/2025,82.0,Papaya,1000.0,1500.0,1300.0
23/12/2025,39.0,Papaya,800.0,1400.0,1000.0
24/12/2025,53.0,Papaya,800.0,1400.0,1000.0
26/12/2025,22.0,Papaya,800.0,1500.0,1300.0
29/12/2025,74.0,Papaya,800.0,1400.0,1000.0
30/12/2025,39.0,Papaya,1000.0,1500.0,1200.0
Market Name : Channapatana APMC
17/12/2025,1.2000000000000002,Papaya,700.0,1000.0,900.0
Market Name : Davangere APMC
03/12/2025,0.6000000000000001,Papaya,500.0,1000.0,700.0
04/12/2025,0.8,Papaya,500.0,1000.0,800.0
09/12/2025,0.8,Papaya,500.0,1000.0,800.0
10/12/2025,1.0,Papaya,500.0,1000.0,800.0
11/12/2025,1.0,Papaya,500.0,1000.0,700.0
12/12/2025,0.5,Papaya,500.0,1000.0,800.0
15/12/2025,0.5,Papaya,200.0,1000.0,800.0
16/12/2025,0.5,Papaya,500.0,1000.0,800.0
17/12/2025,0.5,Papaya,500.0,1000.0,700.0
18/12/2025,0.9,Papaya,500.0,1000.0,800.0
19/12/2025,0.8,Papaya,500.0,1000.0,700.0
20/12/2025,0.8,Papaya,500.0,1000.0,800.0
22/12/2025,1.0,Papaya,500.0,1000.0,800.0
23/12/2025,0.8,Papaya,500.0,1000.0,800.0
24/12/2025,0.8,Papaya,500.0,1000.0,800.0
26/12/2025,1.0,Papaya,500.0,1000.0,700.0
29/12/2025,0.8,Papaya,500.0,1000.0,800.0
30/12/2025,0.8,Papaya,500.0,1000.0,800.0
31/12/2025,0.6000000000000001,Papaya,500.0,1000.0,800.0
Market Name : Kalburgi APMC
02/12/2025,10.0,Papaya,20.0,50.0,35.0
03/12/2025,15.0,Papaya,20.0,50.0,35.0
04/12/2025,12.0,Papaya,20.0,60.0,40.0
09/12/2025,10.0,Papaya,30.0,60.0,45.0
10/12/2025,15.0,Papaya,30.0,60.0,45.0
12/12/2025,10.0,Papaya,30.0,60.0,45.0
15/12/2025,10.0,Papaya,30.0,60.0,45.0
16/12/2025,10.0,Papaya,20.0,60.0,40.0
17/12/2025,15.0,Papaya,20.0,60.0,40.0
18/12/2025,8.0,Papaya,20.0,60.0,40.0
19/12/2025,10.0,Papaya,20.0,60.0,40.0
20/12/2025,15.0,Papaya,20.0,60.0,40.0
22/12/2025,10.0,Papaya,20.0,80.0,50.0
23/12/2025,10.0,Papaya,40.0,60.0,50.0
24/12/2025,15.0,Papaya,40.0,60.0,50.0
26/12/2025,10.0,Papaya,40.0,60.0,50.0
29/12/2025,10.0,Papaya,40.0,60.0,50.0
30/12/2025,11.0,Papaya,50.0,70.0,60.0
31/12/2025,20.0,Papaya,40.0,60.0,50.0
