date,market,arrival,modal_price
2025-12-17,Channapatana APMC,1.2000000000000002,900.0
2025-12-03,Davangere APMC,0.6000000000000001,700.0
2025-12-04,Davangere APMC,0.8,800.0
2025-12-09,Davangere APMC,0.8,800.0
2025-12-10,Davangere APMC,1.0,800.0
2025-12-11,Davangere APMC,1.0,700.0
2025-12-12,Davangere APMC,0.5,800.0
2025-12-15,Davangere APMC,0.5,800.0
2025-12-16,Davangere APMC,0.5,800.0
2025-12-17,Davangere APMC,0.5,700.0
2025-12-18,Davangere APMC,0.9,800.0
2025-12-19,Davangere APMC,0.8,700.0
2025-12-20,Davangere APMC,0.8,800.0
2025-12-22,Davangere APMC,1.0,800.0
2025-12-23,Davangere APMC,0.8,800.0
2025-12-24,Davangere APMC,0.8,800.0
2025-12-26,Davangere APMC,1.0,700.0
2025-12-29,Davangere APMC,0.8,800.0
2025-12-30,Davangere APMC,0.8,800.0
2025-12-31,Davangere APMC,0.6000000000000001,800.0
2025-12-02,Kalburgi APMC,10.0,35.0
2025-12-03,Kalburgi APMC,15.0,35.0
2025-12-04,Kalburgi APMC,12.0,40.0
2025-12-09,Kalburgi APMC,10.0,45.0
2025-12-10,Kalburgi APMC,15.0,45.0
2025-12-12,Kalburgi APMC,10.0,45.0
2025-12-15,Kalburgi APMC,10.0,45.0
2025-12-16,Kalburgi APMC,10.0,40.0
2025-12-17,Kalburgi APMC,15.0,40.0
2025-12-18,Kalburgi APMC,8.0,40.0
2025-12-19,Kalburgi APMC,10.0,40.0
2025-12-20,Kalburgi APMC,15.0,40.0
2025-12-22,Kalburgi APMC,10.0,50.0
2025-12-23,Kalburgi APMC,10.0,50.0
2025-12-24,Kalburgi APMC,15.0,50.0
2025-12-26,Kalburgi APMC,10.0,50.0
2025-12-29,Kalburgi APMC,10.0,50.0
2025-12-30,Kalburgi APMC,11.0,60.0
2025-12-31,Kalburgi APMC,20.0,50.0
