"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Pomegranate, State : Karnataka"
"Commodity : Pomegranate, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/12/2025,261.2,Pomogranate,10000.0,16000.0,12000.0
02/12/2025,189.0,Pomogranate,10000.0,16000.0,14000.0
03/12/2025,188.0,Pomogranate,10000.0,16000.0,14000.0
04/12/2025,180.10000000000002,Pomogranate,11000.0,18000.0,15000.0
05/12/2025,99.2,Pomogranate,11000.0,18000.0,15000.0
12/12/2025,254.10000000000002,Pomogranate,10000.0,16000.0,12000.0
15/12/2025,252.60000000000002,Pomogranate,10000.0,16000.0,14000.0
16/12/2025,196.3,Pomogranate,11000.0,18000.0,16000.0
17/12/2025,207.10000000000002,Pomogranate,11000.0,18000.0,16000.0
18/12/2025,109.0,Pomogranate,11000.0,17000.0,14000.0
19/12/2025,212.5,Pomogranate,11000.0,18000.0,16000.0
20/12/2025,187.5,Pomogranate,11000.0,18000.0,15000.0
22/12/2025,335.3,Pomogranate,10000.0,17000.0,15000.0
23/12/2025,168.0,Pomogranate,12000.0,18000.0,14000.0
24/12/2025,196.70000000000002,Pomogranate,10000.0,17000.0,14000.0
26/12/2025,118.0,Pomogranate,11000.0,18000.0,15000.0
29/12/2025,379.0,Pomogranate,10000.0,16000.0,12000.0
30/12/2025,196.8,Pomogranate,11000.0,18000.0,16000.0
31/12/2025,158.10000000000002,Pomogranate,11000.0,17000.0,15000.0
Market Name : Davangere APMC
03/12/2025,0.8,Pomogranate,7000.0,8000.0,7500.0
04/12/2025,1.0,Pomogranate,7000.0,8000.0,7500.0
09/12/2025,1.2000000000000002,Pomogranate,7000.0,8000.0,7500.0
10/12/2025,1.0,Pomogranate,8000.0,9000.0,8500.0
11/12/2025,1.0,Pomogranate,7000.0,8000.0,7500.0
12/12/2025,1.0,Pomogranate,7000.0,8000.0,7500.0
15/12/2025,0.8,Pomogranate,7000.0,8000.0,7500.0
16/12/2025,1.0,Pomogranate,7000.0,8000.0,7500.0
17/12/2025,1.0,Pomogranate,7000.0,8000.0,7500.0
18/12/2025,1.0,Pomogranate,6000.0,7000.0,6500.0
19/12/2025,1.0,Pomogranate,7000.0,8000.0,7600.0
20/12/2025,1.0,Pomogranate,7000.0,8000.0,7500.0
22/12/2025,1.0,Pomogranate,6000.0,7000.0,6500.0
23/12/2025,0.5,Pomogranate,8000.0,9000.0,8300.0
24/12/2025,0.8,Pomogranate,7000.0,8000.0,7500.0
26/12/2025,1.0,Pomogranate,6000.0,7000.0,6500.0
29/12/2025,0.8,Pomogranate,7000.0,8000.0,7500.0
30/12/2025,0.8,Pomogranate,7000.0,8000.0,7500.0
31/12/2025,0.8,Pomogranate,7000.0,8000.0,7500.0
Market Name : Hoskote APMC
01/12/2025,60.0,Pomogranate,10000.0,12000.0,11000.0
03/12/2025,120.0,Pomogranate,10000.0,12000.0,11000.0
10/12/2025,15.0,Pomogranate,10000.0,12000.0,11000.0
11/12/2025,3.0,Pomogranate,11000.0,11500.0,11250.0
12/12/2025,9.0,Pomogranate,10500.0,12500.0,11250.0
15/12/2025,38.0,Pomogranate,10000.0,12500.0,11250.0
17/12/2025,45.0,Pomogranate,11000.0,12000.0,11500.0
18/12/2025,35.0,Pomogranate,10000.0,12000.0,11000.0
22/12/2025,19.0,Pomogranate,10000.0,12000.0,11000.0
24/12/2025,24.0,Pomogranate,10000.0,11000.0,10500.0
26/12/2025,19.0,Pomogranate,11000.0,12000.0,11500.0
29/12/2025,13.0,Pomogranate,10000.0,11000.0,10500.0
30/12/2025,25.0,Pomogranate,10500.0,12000.0,11000.0
31/12/2025,80.0,Pomogranate,10000.0,12000.0,11000.0
Market Name : Kalburgi APMC
02/12/2025,0.1,Pomogranate,2000.0,3500.0,2750.0
03/12/2025,0.2,Pomogranate,2000.0,4000.0,3000.0
04/12/2025,0.1,Pomogranate,1000.0,3000.0,2000.0
09/12/2025,0.2,Pomogranate,2000.0,3000.0,2500.0
10/12/2025,0.2,Pomogranate,2000.0,3000.0,2500.0
12/12/2025,0.2,Pomogranate,1000.0,2000.0,1500.0
15/12/2025,0.2,Pomogranate,1000.0,2000.0,1500.0
16/12/2025,0.1,Pomogranate,1000.0,2000.0,1500.0
17/12/2025,0.2,Pomogranate,1000.0,2000.0,1500.0
18/12/2025,0.1,Pomogranate,1500.0,2500.0,2000.0
19/12/2025,0.2,Pomogranate,1500.0,2500.0,2000.0
20/12/2025,0.2,Pomogranate,1500.0,2500.0,2000.0
22/12/2025,0.2,Pomogranate,2500.0,3500.0,3000.0
23/12/2025,0.1,Pomogranate,1000.0,2000.0,1500.0
24/12/2025,0.2,Pomogranate,2000.0,3000.0,2500.0
26/12/2025,0.1,Pomogranate,2000.0,3000.0,2500.0
29/12/2025,0.1,Pomogranate,2000.0,3000.0,2500.0
30/12/2025,0.1,Pomogranate,2200.0,3000.0,2600.0
31/12/2025,0.1,Pomogranate,2000.0,3000.0,2500.0
Market Name : Mysore (Bandipalya) APMC
06/12/2025,22.8,Pomogranate,8200.0,9000.0,8300.0
12/12/2025,0.9,Pomogranate,8333.0,8333.0,8333.0
30/12/2025,4.3,Pomogranate,8300.0,10000.0,9000.0
31/12/2025,1.7000000000000002,Pomogranate,9375.0,10000.0,10000.0
