date,market,arrival,modal_price
2025-12-03,Davangere APMC,0.8,7500.0
2025-12-04,Davangere APMC,1.0,7500.0
2025-12-09,Davangere APMC,1.2000000000000002,7500.0
2025-12-10,Davangere APMC,1.0,8500.0
2025-12-11,Davangere APMC,1.0,7500.0
2025-12-12,Davangere APMC,1.0,7500.0
2025-12-15,Davangere APMC,0.8,7500.0
2025-12-16,Davangere APMC,1.0,7500.0
2025-12-17,Davangere APMC,1.0,7500.0
2025-12-18,Davangere APMC,1.0,6500.0
2025-12-19,Davangere APMC,1.0,7600.0
2025-12-20,Davangere APMC,1.0,7500.0
2025-12-22,Davangere APMC,1.0,6500.0
2025-12-23,Davangere APMC,0.5,8300.0
2025-12-24,Davangere APMC,0.8,7500.0
2025-12-26,Davangere APMC,1.0,6500.0
2025-12-29,Davangere APMC,0.8,7500.0
2025-12-30,Davangere APMC,0.8,7500.0
2025-12-31,Davangere APMC,0.8,7500.0
2025-12-01,Hoskote APMC,60.0,11000.0
2025-12-03,Hoskote APMC,120.0,11000.0
2025-12-10,Hoskote APMC,15.0,11000.0
2025-12-11,Hoskote APMC,3.0,11250.0
2025-12-12,Hoskote APMC,9.0,11250.0
2025-12-15,Hoskote APMC,38.0,11250.0
2025-12-17,Hoskote APMC,45.0,11500.0
2025-12-18,Hoskote APMC,35.0,11000.0
2025-12-22,Hoskote APMC,19.0,11000.0
2025-12-24,Hoskote APMC,24.0,10500.0
2025-12-26,Hoskote APMC,19.0,11500.0
2025-12-29,Hoskote APMC,13.0,10500.0
2025-12-30,Hoskote APMC,25.0,11000.0
2025-12-31,Hoskote APMC,80.0,11000.0
2025-12-02,Kalburgi APMC,0.1,2750.0
2025-12-03,Kalburgi APMC,0.2,3000.0
2025-12-04,Kalburgi APMC,0.1,2000.0
2025-12-09,Kalburgi APMC,0.2,2500.0
2025-12-10,Kalburgi APMC,0.2,2500.0
2025-12-12,Kalburgi APMC,0.2,1500.0
2025-12-15,Kalburgi APMC,0.2,1500.0
2025-12-16,Kalburgi APMC,0.1,1500.0
2025-12-17,Kalburgi APMC,0.2,1500.0
2025-12-18,Kalburgi APMC,0.1,2000.0
2025-12-19,Kalburgi APMC,0.2,2000.0
2025-12-20,Kalburgi APMC,0.2,2000.0
2025-12-22,Kalburgi APMC,0.2,3000.0
2025-12-23,Kalburgi APMC,0.1,1500.0
2025-12-24,Kalburgi APMC,0.2,2500.0
2025-12-26,Kalburgi APMC,0.1,2500.0
2025-12-29,Kalburgi APMC,0.1,2500.0
2025-12-30,Kalburgi APMC,0.1,2600.0
2025-12-31,Kalburgi APMC,0.1,2500.0
2025-12-06,Mysore (Bandipalya) APMC,22.8,8300.0
2025-12-12,Mysore (Bandipalya) APMC,0.9,8333.0
2025-12-30,Mysore (Bandipalya) APMC,4.3,9000.0
2025-12-31,Mysore (Bandipalya) APMC,1.7000000000000002,10000.0
