"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Grapes, State : Karnataka"
"Commodity : Grapes, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/12/2025,3.5,White,3000.0,4000.0,3500.0
,31.400000000000002,Black,3000.0,5000.0,4000.0
02/12/2025,3.5,White,3000.0,4000.0,3500.0
,2.4000000000000004,Black,2000.0,3000.0,2500.0
03/12/2025,2.0,Black,2000.0,3000.0,2500.0
,4.0,White,3000.0,4000.0,3500.0
04/12/2025,7.0,White,3000.0,4000.0,3500.0
,2.3000000000000003,Black,2000.0,3000.0,2500.0
05/12/2025,2.1,Black,2000.0,3000.0,2500.0
,3.0,White,3000.0,4000.0,3500.0
12/12/2025,14.600000000000001,Black,3000.0,5000.0,4000.0
,3.7,White,3000.0,4000.0,3500.0
15/12/2025,7.0,White,3000.0,4000.0,3500.0
,16.0,Black,3000.0,5000.0,4000.0
16/12/2025,14.700000000000001,White,3000.0,4000.0,3500.0
,6.0,Black,2000.0,3000.0,2500.0
17/12/2025,26.1,Black,3000.0,5000.0,4000.0
,5.0,White,3000.0,4000.0,3500.0
18/12/2025,10.5,White,3000.0,4000.0,3500.0
,1.5,Black,3000.0,5000.0,4000.0
19/12/2025,3.5,White,3000.0,4000.0,3500.0
,1.5,Black,2000.0,3000.0,2500.0
20/12/2025,4.0,Black,2000.0,3000.0,2500.0
,9.700000000000001,White,3000.0,4000.0,3500.0
22/12/2025,12.0,White,3000.0,4000.0,3500.0
,6.800000000000001,Black,2000.0,3000.0,2500.0
23/12/2025,2.2,Black,3000.0,5000.0,4000.0
,5.9,White,3000.0,4000.0,3500.0
24/12/2025,12.0,White,3000.0,4500.0,3500.0
,3.0,Black,2000.0,3500.0,2500.0
26/12/2025,5.0,White,3000.0,4000.0,3500.0
,4.0,Black,3000.0,5000.0,4000.0
29/12/2025,14.8,White,3000.0,4500.0,3500.0
,6.0,Black,2000.0,3000.0,2500.0
30/12/2025,4.0,Black,2000.0,3000.0,2500.0
,10.600000000000001,White,3000.0,4500.0,3500.0
31/12/2025,4.0,Black,3000.0,4000.0,3500.0
Market Name : Malur APMC
22/12/2025,13.3,Black,2800.0,3500.0,3000.0
Market Name : Mysore (Bandipalya) APMC
06/12/2025,1.7000000000000002,Black,4000.0,4000.0,4000.0
12/12/2025,6.9,Black,4000.0,4594.0,4300.0
30/12/2025,4.3,Black,4500.0,5000.0,4500.0
31/12/2025,2.7,Black,4533.0,5000.0,4533.0
