"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Dry Chillies, State : Karnataka"
"Commodity : Dry Chillies, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Hubli (Amaragol) APMC
01/12/2025,2.3000000000000003,Kaddi,2509.0,45160.0,16174.0
03/12/2025,26.3,Kaddi,2000.0,45099.0,15696.0
09/12/2025,2.1,Kaddi,18700.0,22500.0,21216.0
10/12/2025,42.5,Kaddi,1700.0,49790.0,23662.0
11/12/2025,4.1000000000000005,Dabbi,29000.0,29500.0,29250.0
12/12/2025,0.30000000000000004,Kaddi,20000.0,20000.0,20000.0
15/12/2025,25.200000000000003,Kaddi,1666.0,44300.0,12900.0
16/12/2025,4.800000000000001,Other,32250.0,32250.0,32250.0
,24.900000000000002,Kaddi,27009.0,30109.0,29057.0
17/12/2025,73.7,Kaddi,1100.0,62259.0,14400.0
,2.9000000000000004,Other,19000.0,19000.0,19000.0
18/12/2025,2.3000000000000003,Kaddi,5500.0,19700.0,18582.0
20/12/2025,135.20000000000002,Kaddi,1000.0,60219.0,13700.0
,3.3000000000000003,Local,19400.0,19400.0,19400.0
24/12/2025,1.6,Local,13500.0,13500.0,13500.0
,66.4,Kaddi,1000.0,48450.0,32899.0
29/12/2025,10.8,Kaddi,1200.0,43699.0,22800.0
31/12/2025,150.4,Kaddi,800.0,65200.0,22944.0
Market Name : Mangalore APMC
11/12/2025,5.0,Other,12000.0,22000.0,18000.0
Market Name : Sindhanur APMC
26/12/2025,5.5,Local,7700.0,17300.0,11840.0
Market Name : Sirsi APMC
16/12/2025,0.4,Byadgi,12000.0,13285.0,13285.0
