date,market,arrival,modal_price
2025-12-01,Hubli (Amaragol) APMC,2.3000000000000003,16174.0
2025-12-03,Hubli (Amaragol) APMC,26.3,15696.0
2025-12-09,Hubli (Amaragol) APMC,2.1,21216.0
2025-12-10,Hubli (Amaragol) APMC,42.5,23662.0
2025-12-11,Hubli (Amaragol) APMC,4.1000000000000005,29250.0
2025-12-12,Hubli (Amaragol) APMC,0.3,20000.0
2025-12-15,Hubli (Amaragol) APMC,25.200000000000003,12900.0
2025-12-16,Hubli (Amaragol) APMC,4.800000000000001,32250.0
2025-12-17,Hubli (Amaragol) APMC,73.7,14400.0
2025-12-18,Hubli (Amaragol) APMC,2.3000000000000003,18582.0
2025-12-20,Hubli (Amaragol) APMC,135.20000000000002,13700.0
2025-12-24,Hubli (Amaragol) APMC,1.6,13500.0
2025-12-29,Hubli (Amaragol) APMC,10.8,22800.0
2025-12-31,Hubli (Amaragol) APMC,150.4,22944.0
2025-12-11,Mangalore APMC,5.0,18000.0
2025-12-26,Sindhanur APMC,5.5,11840.0
2025-12-16,Sirsi APMC,0.4,13285.0
