"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Ginger(Green), State : Karnataka"
"Commodity : Ginger(Green), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangalore APMC
01/12/2025,8.1,Green Ginger,3600.0,4500.0,4000.0
02/12/2025,17.8,Green Ginger,3600.0,4500.0,4000.0
03/12/2025,19.700000000000003,Green Ginger,3600.0,4500.0,4000.0
04/12/2025,41.800000000000004,Green Ginger,3600.0,4500.0,4000.0
08/12/2025,29.700000000000003,Green Ginger,3300.0,4200.0,3800.0
09/12/2025,25.6,Green Ginger,3300.0,4200.0,3800.0
10/12/2025,29.1,Green Ginger,3300.0,4200.0,3800.0
11/12/2025,30.400000000000002,Green Ginger,3300.0,4200.0,3800.0
12/12/2025,20.5,Green Ginger,3300.0,4200.0,3800.0
15/12/2025,18.2,Green Ginger,3300.0,4200.0,3800.0
16/12/2025,30.400000000000002,Green Ginger,3300.0,4200.0,3800.0
17/12/2025,45.1,Green Ginger,3300.0,4200.0,3800.0
18/12/2025,24.400000000000002,Green Ginger,3300.0,4200.0,3800.0
19/12/2025,33.2,Green Ginger,3300.0,4200.0,3800.0
20/12/2025,28.0,Green Ginger,3300.0,4200.0,3800.0
22/12/2025,34.300000000000004,Green Ginger,3300.0,4200.0,3800.0
23/12/2025,28.0,Green Ginger,3300.0,4200.0,3800.0
24/12/2025,23.900000000000002,Green Ginger,3300.0,4200.0,3800.0
26/12/2025,32.2,Green Ginger,3300.0,4200.0,3800.0
29/12/2025,23.200000000000003,Green Ginger,3300.0,4200.0,3800.0
30/12/2025,28.0,Green Ginger,3300.0,4200.0,3800.0
31/12/2025,19.900000000000002,Green Ginger,3300.0,4300.0,3800.0
Market Name : Bangarpet APMC
01/12/2025,0.4,Green Ginger,3000.0,4300.0,4000.0
02/12/2025,0.8,Green Ginger,2500.0,3300.0,3100.0
03/12/2025,0.5,Green Ginger,2500.0,3500.0,3000.0
04/12/2025,0.30000000000000004,Green Ginger,3000.0,3700.0,3500.0
05/12/2025,1.1,Green Ginger,3500.0,4500.0,4000.0
06/12/2025,0.8,Green Ginger,2000.0,2700.0,2500.0
08/12/2025,1.1,Green Ginger,3500.0,4200.0,4000.0
09/12/2025,0.8,Green Ginger,2500.0,3500.0,3000.0
10/12/2025,0.7000000000000001,Green Ginger,3000.0,4300.0,4000.0
11/12/2025,0.8,Green Ginger,2500.0,3500.0,3000.0
12/12/2025,0.4,Green Ginger,3500.0,4200.0,4000.0
15/12/2025,1.2000000000000002,Green Ginger,3000.0,3700.0,3500.0
16/12/2025,0.7000000000000001,Green Ginger,2500.0,3700.0,3500.0
17/12/2025,0.8,Green Ginger,3500.0,4200.0,4000.0
18/12/2025,0.4,Green Ginger,3000.0,3700.0,3500.0
19/12/2025,0.6000000000000001,Green Ginger,3000.0,4000.0,3500.0
20/12/2025,0.7000000000000001,Green Ginger,3500.0,4500.0,4000.0
22/12/2025,1.0,Green Ginger,3000.0,3700.0,3500.0
23/12/2025,0.8,Green Ginger,3000.0,4000.0,3500.0
24/12/2025,0.30000000000000004,Green Ginger,3000.0,4000.0,3500.0
30/12/2025,0.5,Green Ginger,2000.0,3000.0,2500.0
31/12/2025,1.1,Green Ginger,2000.0,3000.0,2500.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,7.2,Green Ginger,4000.0,4500.0,4300.0
03/12/2025,6.0,Green Ginger,4000.0,4500.0,4300.0
04/12/2025,6.9,Green Ginger,3800.0,4200.0,4000.0
05/12/2025,7.2,Green Ginger,3800.0,4200.0,4000.0
15/12/2025,18.0,Green Ginger,4000.0,4500.0,4300.0
16/12/2025,7.2,Green Ginger,4000.0,4500.0,4300.0
17/12/2025,7.2,Green Ginger,4000.0,4500.0,4300.0
18/12/2025,7.300000000000001,Green Ginger,4000.0,4500.0,4300.0
19/12/2025,6.300000000000001,Green Ginger,4000.0,4500.0,4300.0
20/12/2025,6.0,Green Ginger,4000.0,4500.0,4300.0
22/12/2025,7.800000000000001,Green Ginger,4000.0,4500.0,4300.0
23/12/2025,7.300000000000001,Green Ginger,4000.0,4500.0,4300.0
24/12/2025,6.9,Green Ginger,4000.0,4500.0,4300.0
26/12/2025,19.400000000000002,Green Ginger,4000.0,4500.0,4300.0
29/12/2025,14.600000000000001,Green Ginger,4000.0,4500.0,4300.0
30/12/2025,5.7,Green Ginger,4000.0,4500.0,4300.0
31/12/2025,8.1,Green Ginger,3800.0,4200.0,4000.0
Market Name : Doddaballa Pur APMC
01/12/2025,0.8,Green Ginger,4000.0,5000.0,4500.0
02/12/2025,0.8,Green Ginger,3500.0,4500.0,4000.0
03/12/2025,0.8,Green Ginger,4000.0,5000.0,4500.0
04/12/2025,0.6000000000000001,Green Ginger,3500.0,4100.0,3800.0
06/12/2025,0.8,Green Ginger,3500.0,4200.0,3800.0
08/12/2025,0.8,Green Ginger,3500.0,4500.0,4000.0
09/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
10/12/2025,0.8,Green Ginger,3500.0,4500.0,4000.0
11/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
12/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
15/12/2025,0.8,Green Ginger,3500.0,4500.0,4000.0
16/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
18/12/2025,0.8,Green Ginger,3500.0,4500.0,4000.0
19/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
20/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
22/12/2025,0.7000000000000001,Green Ginger,3500.0,4200.0,3850.0
23/12/2025,0.6000000000000001,Green Ginger,3500.0,4500.0,4000.0
24/12/2025,0.6000000000000001,Green Ginger,4000.0,4600.0,4300.0
26/12/2025,0.6000000000000001,Green Ginger,4000.0,4800.0,4500.0
29/12/2025,0.6000000000000001,Green Ginger,4000.0,6000.0,5000.0
30/12/2025,0.6000000000000001,Green Ginger,4000.0,6000.0,5000.0
Market Name : Hirekerur APMC
01/12/2025,141.0,Green Ginger,2200.0,2400.0,2360.0
03/12/2025,54.0,Green Ginger,2400.0,2400.0,2400.0
04/12/2025,64.0,Green Ginger,2200.0,2400.0,2212.0
Market Name : Hospet APMC
10/12/2025,2.5,Green Ginger,2200.0,2400.0,2400.0
23/12/2025,2.5,Green Ginger,2200.0,2200.0,2200.0
Market Name : Hunsur APMC
02/12/2025,23.0,Green Ginger,2000.0,2300.0,2300.0
03/12/2025,58.0,Green Ginger,1500.0,2300.0,2000.0
04/12/2025,24.0,Green Ginger,2000.0,2300.0,2300.0
05/12/2025,34.0,Green Ginger,1100.0,2300.0,2000.0
09/12/2025,16.0,Green Ginger,1100.0,2300.0,2300.0
11/12/2025,14.0,Green Ginger,1800.0,1800.0,1800.0
12/12/2025,37.0,Green Ginger,1200.0,2300.0,1800.0
15/12/2025,74.0,Green Ginger,1500.0,2300.0,1800.0
16/12/2025,59.0,Green Ginger,1100.0,2300.0,1700.0
17/12/2025,22.0,Green Ginger,1700.0,2300.0,2300.0
18/12/2025,26.0,Green Ginger,1700.0,1700.0,1700.0
20/12/2025,22.0,Green Ginger,1100.0,1700.0,1700.0
22/12/2025,78.0,Green Ginger,1700.0,2300.0,2300.0
23/12/2025,16.0,Green Ginger,1100.0,2300.0,2300.0
24/12/2025,48.0,Green Ginger,1700.0,2300.0,2300.0
29/12/2025,112.0,Green Ginger,1600.0,2300.0,2300.0
30/12/2025,20.0,Green Ginger,1100.0,1600.0,1600.0
31/12/2025,82.0,Green Ginger,1100.0,2300.0,1600.0
Market Name : K.R.Nagar APMC
12/12/2025,3.8000000000000003,Green Ginger,2400.0,2400.0,2400.0
Market Name : Malur APMC
18/12/2025,0.8,Green Ginger,6000.0,6500.0,6250.0
Market Name : Mysore (Bandipalya) APMC
09/12/2025,1.6,Green Ginger,2800.0,3000.0,2900.0
11/12/2025,2.6,Green Ginger,3000.0,3200.0,3100.0
15/12/2025,0.5,Green Ginger,2800.0,3000.0,2900.0
16/12/2025,0.9,Green Ginger,2800.0,3000.0,2900.0
22/12/2025,1.1,Green Ginger,2800.0,3000.0,2900.0
29/12/2025,1.5,Green Ginger,2800.0,3000.0,2900.0
30/12/2025,1.2000000000000002,Green Ginger,2800.0,3000.0,2900.0
Market Name : Piriya Pattana APMC
01/12/2025,125.0,Green Ginger,1200.0,1500.0,1400.0
02/12/2025,107.0,Green Ginger,1200.0,1400.0,1300.0
03/12/2025,136.5,Green Ginger,1200.0,1500.0,1400.0
04/12/2025,57.5,Green Ginger,1200.0,1500.0,1400.0
05/12/2025,105.0,Green Ginger,1200.0,1500.0,1400.0
06/12/2025,89.5,Green Ginger,1200.0,1500.0,1400.0
10/12/2025,100.0,Green Ginger,1400.0,1500.0,1450.0
11/12/2025,53.5,Green Ginger,1200.0,1400.0,1300.0
12/12/2025,76.0,Green Ginger,1200.0,1500.0,1350.0
15/12/2025,99.5,Green Ginger,1200.0,1500.0,1400.0
16/12/2025,99.5,Green Ginger,1200.0,1400.0,1300.0
17/12/2025,53.0,Green Ginger,1200.0,1500.0,1350.0
18/12/2025,123.5,Green Ginger,1200.0,1500.0,1400.0
19/12/2025,108.0,Green Ginger,1200.0,1500.0,1400.0
20/12/2025,85.5,Green Ginger,1200.0,1500.0,1400.0
22/12/2025,83.7,Green Ginger,1200.0,1500.0,1400.0
23/12/2025,113.4,Green Ginger,1200.0,1500.0,1400.0
24/12/2025,105.0,Green Ginger,1200.0,1500.0,1350.0
26/12/2025,70.0,Green Ginger,1400.0,1500.0,1450.0
29/12/2025,82.5,Green Ginger,1200.0,1500.0,1400.0
30/12/2025,105.5,Green Ginger,1200.0,1500.0,1400.0
31/12/2025,80.5,Green Ginger,1200.0,1900.0,1600.0
Market Name : Ramanagara APMC
01/12/2025,1.2000000000000002,Green Ginger,4000.0,6000.0,5000.0
02/12/2025,1.2000000000000002,Green Ginger,4400.0,5500.0,5000.0
04/12/2025,1.2000000000000002,Green Ginger,4400.0,5800.0,5000.0
05/12/2025,1.6,Green Ginger,4000.0,5500.0,5000.0
06/12/2025,1.4000000000000001,Green Ginger,4400.0,6000.0,5500.0
07/12/2025,1.2000000000000002,Green Ginger,4500.0,6000.0,5500.0
08/12/2025,0.8,Green Ginger,4000.0,5500.0,5000.0
09/12/2025,0.8,Green Ginger,5000.0,6000.0,5600.0
10/12/2025,0.6000000000000001,Green Ginger,5000.0,5800.0,5500.0
11/12/2025,0.8,Green Ginger,5000.0,5800.0,5500.0
12/12/2025,1.3,Green Ginger,4000.0,5500.0,5000.0
13/12/2025,1.6,Green Ginger,4000.0,6000.0,5000.0
14/12/2025,1.2000000000000002,Green Ginger,4400.0,5500.0,5000.0
15/12/2025,1.0,Green Ginger,4400.0,6000.0,5500.0
16/12/2025,1.0,Green Ginger,4400.0,5500.0,5000.0
17/12/2025,0.8,Green Ginger,4500.0,6000.0,5000.0
18/12/2025,0.7000000000000001,Green Ginger,4400.0,5500.0,5000.0
19/12/2025,1.0,Green Ginger,4000.0,5500.0,5000.0
20/12/2025,1.2000000000000002,Green Ginger,4000.0,5200.0,4800.0
21/12/2025,0.8,Green Ginger,4400.0,5000.0,4800.0
22/12/2025,0.9,Green Ginger,4000.0,5000.0,4400.0
23/12/2025,0.9,Green Ginger,4400.0,5500.0,5000.0
24/12/2025,0.8,Green Ginger,4400.0,5200.0,4800.0
26/12/2025,1.6,Green Ginger,4000.0,5000.0,4500.0
27/12/2025,1.6,Green Ginger,4000.0,5400.0,5000.0
29/12/2025,1.2000000000000002,Green Ginger,4400.0,5600.0,5200.0
30/12/2025,1.2000000000000002,Green Ginger,4400.0,5000.0,4800.0
31/12/2025,1.6,Green Ginger,4000.0,5200.0,4800.0
Market Name : Shimoga APMC
01/12/2025,0.1,Green Ginger,1500.0,2500.0,2000.0
02/12/2025,0.30000000000000004,Green Ginger,1500.0,3000.0,2250.0
03/12/2025,0.2,Green Ginger,1500.0,3000.0,2250.0
08/12/2025,0.6000000000000001,Green Ginger,1500.0,3000.0,2250.0
11/12/2025,0.1,Green Ginger,1500.0,2500.0,2000.0
12/12/2025,0.30000000000000004,Green Ginger,1500.0,2500.0,2000.0
Market Name : Sirsi APMC
16/12/2025,0.2,Green Ginger,4000.0,4000.0,4000.0
29/12/2025,0.2,Green Ginger,2094.0,2094.0,2094.0
Market Name : Somvarpet APMC
04/12/2025,50.0,Green Ginger,1400.0,1666.0,1500.0
06/12/2025,201.0,Green Ginger,1500.0,1666.0,1500.0
31/12/2025,89.0,Green Ginger,1500.0,1666.0,1666.0
