date,market,arrival,modal_price
2025-12-01,Bangalore APMC,8.1,4000.0
2025-12-02,Bangalore APMC,17.8,4000.0
2025-12-03,Bangalore APMC,19.700000000000003,4000.0
2025-12-04,Bangalore APMC,41.8,4000.0
2025-12-08,Bangalore APMC,29.700000000000003,3800.0
2025-12-09,Bangalore APMC,25.6,3800.0
2025-12-10,Bangalore APMC,29.1,3800.0
2025-12-11,Bangalore APMC,30.4,3800.0
2025-12-12,Bangalore APMC,20.5,3800.0
2025-12-15,Bangalore APMC,18.2,3800.0
2025-12-16,Bangalore APMC,30.4,3800.0
2025-12-17,Bangalore APMC,45.1,3800.0
2025-12-18,Bangalore APMC,24.4,3800.0
2025-12-19,Bangalore APMC,33.2,3800.0
2025-12-20,Bangalore APMC,28.0,3800.0
2025-12-22,Bangalore APMC,34.300000000000004,3800.0
2025-12-23,Bangalore APMC,28.0,3800.0
2025-12-24,Bangalore APMC,23.9,3800.0
2025-12-26,Bangalore APMC,32.2,3800.0
2025-12-29,Bangalore APMC,23.200000000000003,3800.0
2025-12-30,Bangalore APMC,28.0,3800.0
2025-12-31,Bangalore APMC,19.9,3800.0
2025-12-01,Bangarpet APMC,0.4,4000.0
2025-12-02,Bangarpet APMC,0.8,3100.0
2025-12-03,Bangarpet APMC,0.5,3000.0
2025-12-04,Bangarpet APMC,0.3,3500.0
2025-12-05,Bangarpet APMC,1.1,4000.0
2025-12-06,Bangarpet APMC,0.8,2500.0
2025-12-08,Bangarpet APMC,1.1,4000.0
2025-12-09,Bangarpet APMC,0.8,3000.0
2025-12-10,Bangarpet APMC,0.7000000000000001,4000.0
2025-12-11,Bangarpet APMC,0.8,3000.0
2025-12-12,Bangarpet APMC,0.4,4000.0
2025-12-15,Bangarpet APMC,1.2000000000000002,3500.0
2025-12-16,Bangarpet APMC,0.7000000000000001,3500.0
2025-12-17,Bangarpet APMC,0.8,4000.0
2025-12-18,Bangarpet APMC,0.4,3500.0
2025-12-19,Bangarpet APMC,0.6000000000000001,3500.0
2025-12-20,Bangarpet APMC,0.7000000000000001,4000.0
2025-12-22,Bangarpet APMC,1.0,3500.0
2025-12-23,Bangarpet APMC,0.8,3500.0
2025-12-24,Bangarpet APMC,0.3,3500.0
2025-12-30,Bangarpet APMC,0.5,2500.0
2025-12-31,Bangarpet APMC,1.1,2500.0
2025-12-02,Bangarpet APMC,7.2,4300.0
2025-12-03,Bangarpet APMC,6.0,4300.0
2025-12-04,Bangarpet APMC,6.9,4000.0
2025-12-05,Bangarpet APMC,7.2,4000.0
2025-12-15,Bangarpet APMC,18.0,4300.0
2025-12-16,Bangarpet APMC,7.2,4300.0
2025-12-17,Bangarpet APMC,7.2,4300.0
2025-12-18,Bangarpet APMC,7.300000000000001,4300.0
2025-12-19,Bangarpet APMC,6.300000000000001,4300.0
2025-12-20,Bangarpet APMC,6.0,4300.0
2025-12-22,Bangarpet APMC,7.800000000000001,4300.0
2025-12-23,Bangarpet APMC,7.300000000000001,4300.0
2025-12-24,Bangarpet APMC,6.9,4300.0
2025-12-26,Bangarpet APMC,19.4,4300.0
2025-12-29,Bangarpet APMC,14.6,4300.0
2025-12-30,Bangarpet APMC,5.7,4300.0
2025-12-31,Bangarpet APMC,8.1,4000.0
2025-12-01,Doddaballa Pur APMC,0.8,4500.0
2025-12-02,Doddaballa Pur APMC,0.8,4000.0
2025-12-03,Doddaballa Pur APMC,0.8,4500.0
2025-12-04,Doddaballa Pur APMC,0.6000000000000001,3800.0
2025-12-06,Doddaballa Pur APMC,0.8,3800.0
2025-12-08,Doddaballa Pur APMC,0.8,4000.0
2025-12-09,Doddaballa Pur APMC,0.6000000000000001,4000.0
2025-12-10,Doddaballa Pur APMC,0.8,4000.0
2025-12-11,Doddaballa Pur APMC,0.6000000000000001,4000.0
2025-12-12,Doddaballa Pur APMC,0.6000000000000001,4000.0
2025-12-15,Doddaballa Pur APMC,0.8,4000.0
2025-12-16,Doddaballa Pur APMC,0.6000000000000001,4000.0
2025-12-18,Doddaballa Pur APMC,0.8,4000.0
